Title,Country of Creation,Description,Type of Artwork
Summer Flowers,"Japan, Edo period","DescriptionWhite hydrangea, orange-colored demon’s lantern, and greenbrier vine appear together in this scroll. The artist used the dripping-in (tarashikomi) technique to create a sense of depth and dimension in the leaves of the plants. A carefully controlled brush loaded with a high ratio of water to ink or color is key to the success of this brush method. Gold lines indicate the veins of leaves and the seams of pods.",Type of artwork: Painting
Self Portrait,"France, School of Lyon, 19th century","DescriptionFrançois LePage belonged to a family of flower painters and worked in the French city of Lyon, which was famous for producing silk, particularly fabric with flower motifs. Flower painting was a specialty associated with the Lyon school of painting, and is a subject that requires both delicacy and dexterity, both of which are highlighted in this small self-portrait.",Type of artwork: Painting
Stater: Three-Petal Flower (obverse); Horse and wheels (reverse),,"DescriptionThe Iceni were a native tribe inhabiting Norfolk, Suffolk, and parts of Cambridgeshire. They were described by the Romans as powerful, unbroken by war. In AD 61 the king of the Iceni, Prasutagus, died, leaving his apparently considerable wealth to his two daughters and to the Roman Emperor, as joint heirs. However, while the Roman legions under Aulus Plautius were in Wales taking drastic steps to exterminate Druidism, Boadicea, the widow of Prasutagus, was ill-treated by the Romans and her two daughters were outraged. The Iceni rose in revolt and helped by their neighbors the Trinovantes, they overran the Roman settlements. It is said that 70,000 Romans were massacred at Camulodunum, and the Iceni, with Boadicea in a war chariot at their head, sacked and burned Verulamium (St. Albans, Hertfordshire), and London. Suetonius, one of the leading Roman generals, returned from the west with all possible speed and came up with the Iceni in the northwest of Roman London. Here a great battle was fought, resulting in a complete victory for the disciplined Roman forces; thousands of Britons were killed. The site of this battle is supposed to have been near what is now Kings Cross, in central London, commemorated by Battle Bridge Road.",Type of artwork: Coins
Studies of Flowers after Nature:  Spray of Flowers,"France, 18th century","DescriptionCrayon manner etching was invented in the 18th century to simulate the texture of chalk drawings, which were very popular at the time. A tool with toothed points of varying thicknesses set at irregular intervals and angles (mattoir) imitated the random character of grains of chalk on textured paper. Etudes de fleurs d’après nature demonstrates how prints propagated floral designs that could be used in the applied arts. Artisans designing textiles or decorating furniture, for instance, were inspired by the compositions found on prints.",Type of artwork: Print
"Makaras, Phoenixes and Flowers",,"DescriptionCentral Asian designers drew from a wide variety of motifs, both imaginary and real. In this silk, rows of soaring phoenixes alternate with rows of makaras. Combining a fish body and tail, wings, and a dragon's head, the makara originated in India as a water creature. With the spread of Buddhism, the motif migrated into the art of Central Asia and, from there, into the art of northern China. In Italy, exotic Central Asian patterns such as this inspired flights of imagination. One such example (seen in the photograph below) shows a creature, strikingly similar to the makara, spewing forth a dragon while a dog walks up its back.",Type of artwork: Textile
Flower-shaped Mirror,,"DescriptionFrom ancient times, a mirror assumed various roles; a ritualistic tool, a diplomatic gift, and a luxury commodity. During the Goryeo dynasty (918-1392), which saw the great advancement of metallurgy, the royal court was the center of distributing sophisticated bronze artifacts. According to historical records, on the 7th day of the Lunar New Year, the king bestowed a bronze mirror inscribed with auspicious symbols upon each court official as part of a ceremony to celebrate the Day of Humans. This explains why a large quantity of bronze mirrors were excavated from elite tombs.",Type of artwork: Metalwork
Velvet panel with four youths smelling flowers,,"DescriptionA new style depicting single figures with limited modeling and European artistic influence was spearheaded by the Iranian painter Riza ‘Abbasi and adopted by textile designers in sumptuous brocaded velvets. Even with faded colors, this grand length retains ten colors of velvet pile, a feat that Iranian velvet weavers achieved by skillfully replacing colored pile warp during weaving, and thereby creating the most colorful velvets in the world. Elegant youths dominate the simplified outdoor setting here with diminutive cypresses and silver ponds on a ground originally covered with gold thread. Fashionably dressed young men wear wide-brimmed hats, silver robes, stole-like scarves, and knotted sashes that are symbols of status and rank.",Type of artwork: Velvet
Tong-Shaped Vase with Flowers and Grasses,"Japan, Taishō period (1912-26) or Shōwa period","DescriptionSeifū Yohei III (1851–1914) was a son of the Maruyama school painter Okada Ryōhei (dates unknown). Though he studied painting, he ultimately succeeded his ceramics mentor, Seifū Yohei II (1845–1878), in Kyoto. He distinguished himself as a remarkable porcelain artist, taking Qing dynasty Chinese wares as his inspiration. He experimented widely with new glazing techniques. In 1893, he became the first ceramicist to be appointed as an Imperial Household Artist under a system introduced by the Japanese government in 1890. He produced many works for use in Chinese-style tea gatherings called sencha.",Type of artwork: Ceramic
Pair of Hexagonal Flower Pots,,"DescriptionThis deep hexagonal flowerpot, one of a pair in the collection, is numbered ""8"" and bears additional inscriptions to indicate specifically the location of its usage within the palace: ""for use in the Study of Illumination (Mingchuang yong)"" within the ""Hall of Cultivating the Mind (Yangxin Dian)"" of the Forbidden City. The inscriptions seem to suggest the Qing imperial provenance of this pair.",Type of artwork: Ceramic
Dish with Zhou Maoshu Admiring Lotus Flowers,,"DescriptionThis dish portrays Chinese scholar Zhou Dunyi—also known as Zhou Maoshu (1017–1073)—appreciating lotuses, a motif borrowed from Chinese porcelains. The ceramics painter of this work depicted Zhou seemingly appreciating both the lotus and the young lady with a lotus in the boat.",Type of artwork: Ceramic
"Christ Gathering Roses, Centerpiece of an Altar Cloth(?)",,"DescriptionThe altar cloth was probably made for a southern German convent in the 15th century. While the focus on the Christ child is typical for female spirituality in the late Middle Ages, there are no comparative examples for the Christ child picking flowers. The detailed depiction of plants and flowers is of unusual quality for the embroideries of this period.",Type of artwork: Embroidery
Birds and Flowers,"Japan, Muromachi period","DescriptionThese two paintings are possibly by Sesshū Tōyō. They once flanked a central scroll with an ink landscape. The unbalanced nature of the compositions, however, suggests they may be images recycled from larger paintings. The one with sweet osmanthus and hibiscus is an autumn scene, the other is a summer scene with daylilies and gardenias. Folding screens often contrast two seasons or depict all four across a single pair of screens. Sesshū’s works were sufficiently prized that repurposing them in fragmentary form to display in an alcove of a luxurious room would not be an unusual choice.",Type of artwork: Painting
Flowers and Rocks,,"DescriptionHere, the painter uses delicate brushwork and vivid colors to depict an early summer scene of three kinds of flowers growing beside a garden rock: From top to bottom we see flowering pomegranate, then peonies, and lilies below. Like the peony, which conveys wishes for wealth and prosperity, the pomegranate flower, here in festive red color turning soon into fruit with many seeds, is associated with the wish for many sons. The lily, in Chinese ""baihe,"" is a homophone with the pun ""togetherness for a hundred years,"" expressing wishes for harmony and unity. The scroll would have made a suitable gift to married women.",Type of artwork: Painting
Eight-foiled Mirror with Flower and Phoenix Design,,"DescriptionFrom ancient times, a mirror assumed various roles; a ritualistic tool, a diplomatic gift, and a luxury commodity. During the Goryeo dynasty (918-1392), which saw the great advancement of metallurgy, the royal court was the center of distributing sophisticated bronze artifacts. According to historical records, on the 7th day of the Lunar New Year, the king bestowed a bronze mirror inscribed with auspicious symbols upon each court official as part of a ceremony to celebrate the Day of Humans. This explains why a large quantity of bronze mirrors were excavated from elite tombs.",Type of artwork: Metalwork
Floral-shaped Cup and Saucer with Inlaid Chrysanthemum Design,,"DescriptionIn Korea, chrysanthemum flowers and leaves were made into both tea and wine. Chrysanthemum wine was enjoyed during the the Double Nine Festival (the ninth day of the ninth month in the lunar calendar) praying for longevity.The flower design on the saucer is less delicate than the cup, suggesting that the cup and saucer originally were not related to each other.",Type of artwork: Ceramic
Brocade with Lotus Flowers,,"DescriptionThe tradition of brocade weaving in northern China continued after the Mongol conquest. However, the arrival of eastern Iranian craftsmen affected both the design and the structure of the brocades: patterns became symmetrical and paired warps replaced single warps. Both of these modifications can be observed in this example. At the same time, however, the Jin tradition of floating foundation wefts across the back sides of the brocaded areas continued. Brocades such as this may have been woven in Hongzhou (in Hebei province), where weavers from both western Asia and from the former Jin capital, Bianjing, are known to have worked together.",Type of artwork: Textile
Water Container with Birds and Flowers,,"DescriptionThe shape of this small vessel suggests it may be a fresh-water container included among the tools used in Japan for preparing steeped tea, introduced to Japan by Chan (Zen) monks from southern China in the mid-1600s.",Type of artwork: Ceramic
Border Fragment of a Shawl,,"DescriptionGreen, yellow, red, blue, and white woolen threads were woven to create the instantly recognizable Kashmiri teardrop flower patterns on this shawl border. Such a work was part of a larger textile, which would have entranced the viewer with its complexity and vibrancy, especially as it moved with the wearer and contrasted with other articles of clothing.",Type of artwork: Textile
Bowl with Flower Petals,,"DescriptionYuan dynasty Shufu ware was a further development of the earlier qingbai ware and is characterized by a more heavily constructed body, opaque white glaze, molded decoration, and at times the inscription Shufu that gives the ware its name. Although lacking the inscription here, this bowl possesses the characteristics and decoration of Shufu pieces.",Type of artwork: Ceramic
Flowers of a Hundred Worlds (Momoyogusa),"Japan, Meiji period",DescriptionThis is the cover for a group of 22 preparatory drawings for Kamisaka Sekka's print series Flowers of a Hundred Worlds.,Type of artwork: Drawing
Border with Double-Headed Birds and Vases with Vines and Flowers,,"DescriptionDouble-headed birds alternating with flowering vases appear on this filet/lacis lace. The pattern repeats horizontally, with organic spirals which burst into the upper and lower registers.",Type of artwork: Lace
Morning Glory with Black,"America, 20th century","DescriptionO'Keeffe is best known for close-up flower subjects whose magnified forms fill the entire space of each canvas. Likely inspired by similar compositions in modern photography, these images are not only celebrations of nature, but also striking essays in abstract design. Although many critics interpreted O'Keeffe's flower paintings as reflections of femininity in general and female sexuality in particular, the artist strongly opposed such readings. Throughout most of her career, she frequently attempted to persuade others to discuss her work without referring to her gender, writing on one occasion, ""I have always been very annoyed at being referred to as a 'woman artist' rather than an 'artist.'""",Type of artwork: Painting
"Page from the Late Shah Jahan Album: Persian Calligraphy framed by an ornamental border of flowers, birds, and deer","Mughal India, court of Shah Jahan","DescriptionAbout 100 years after the calligraphy was completed by a Persian master and embellished with gold and floral arabesques, the small page was mounted into an album for the Mughal emperor of India. Mughal artists filled the outer border with floral vines, blooming and budding with many varieties. Pairs of birds perch throughout; male and female deer relax, listening to the birdsong. The Indian artists chose to emphasize nature’s abundance and life-giving forces, whereas the Persian artists sought to achieve exquisite, gemlike refinement.The central poem, by Ibn-i Yamin (Persian, 1286–1368), encourages the reader not to worry about unexpected calamities.",Type of artwork: Painting
Mirror with Lotus and Mantra,,"DescriptionThis mirror features intricate Buddhist designs. Around the central knob are four leaves, a ring of tiny beads, and then a circle made up of small lotus flower designs. Outside of that are eight big petal shapes, inside each is a Sanskrit letter. The mirror has the phrase ""In the name of Om mani padme hum"" written in a slightly incorrect form of Sanskrit, possibly because the Chinese mirror maker was not familiar with the language.",Type of artwork: Metalwork
Flowers in Blue and Black Striped Vase,"America, 20th century","DescriptionBaumann loved flowers and made many drawings (exemplified by House and Garden and Hollyhock Garden in this gallery) and several color woodcuts of gardens. He also painted vases of flowers in front of decorative octagonal or oval backgrounds, some of which he then executed as prints. Although, Flowers in Blue and Black Striped Vase was never translated into a color woodcut. Sunny Messengers, with a similar format, was made in 1915.   Sunny Messengers was included in the first exhibition of contemporary American woodblock prints. Organized by Baumann, the show opened at the Art Institute of Chicago in 1916. Color woodcuts were growing in popularity; Baumann’s prints won a gold medal at the Panama Pacific International Exposition in San Francisco in 1915.",Type of artwork: Drawing
Flower Vase with Butterflies,"Japan, Meiji period","DescriptionKyoto-based Japanese ceramist Seifū Yohei III (1851–1914) admired the glaze colors found on Chinese porcelain and tried to replicate them through intensive experimentation. His green and creamy white glazes were particularly well received. The combinations of colors with subtle molded and incised decorations in his ceramics respond powerfully to changes in light, creating a dynamic viewing experience. Names for the glazes, written in ink with a brush on the lids of the custom-made storage boxes for the works, often indicate a specific glaze or ware that had inspired him, even when the resulting color was distinctively his own.",Type of artwork: Ceramic
Jar with Bird and Flower Decoration,,"DescriptionJoseon blue-and-white porcelains were called “靑畫,"" meaning “painted in blue.” The blue here indicates cobalt pigment. In the 1700s, the royal court banned the importation of cobalt blue for its luxurious nature; thus, relatively few Joseon blue-and-white porcelain vessels were produced at that time. In that context, this modest-looking jar was considered to be a rare luxury.",Type of artwork: Ceramic
Flower Vase with Dragon Roundels,"Japan, Meiji period","DescriptionKyoto-based Japanese ceramist Seifū Yohei III (1851–1914) admired the glaze colors found on Chinese porcelain and tried to replicate them through intensive experimentation. His green and creamy white glazes were particularly well received. The combinations of colors with subtle molded and incised decorations in his ceramics respond powerfully to changes in light, creating a dynamic viewing experience. Names for the glazes, written in ink with a brush on the lids of the custom-made storage boxes for the works, often indicate a specific glaze or ware that had inspired him, even when the resulting color was distinctively his own.",Type of artwork: Ceramic
"Two Women Pluck Flowers on a Terrace: Gunakari Ragini, from a Ragamala",,"DescriptionA woman with dark complexion and her fair-skinned companion collect flowers in a white bowl from a plant growing in a golden pot. Two huge yellow bolsters set rakishly on the bed suggest restlessness inside the chamber. A gold box for breath-freshening betel (paan) is on the bed, and golden wine vessels are in the two turrets and on the roof, probably to be drunk while watching for her lover to arrive.",Type of artwork: Painting
Fluted Cup with Dragon Handle,,"DescriptionVery thinly potted, the subtly lobed body of this cup is almost translucent. The thin, slightly opaque, light greenish glaze lends a sugary shine. Applied elements, including the handle, beaded borders, and sculptural floret, are constructed and glazed with the same materials as the body, providing a seamless blend of form and decorative embellishment. The result is an evocative reminder of slightly earlier silver cups, also created in the form of flowers. This pristine, natural construction is challenged, however, by the archaic dragon that acts as the handle. Borrowed from the decoration found on much earlier bronzes, this added form illustrates the eclecticism of the Yuan, the attempt to blend present vision with interest in the past.",Type of artwork: Ceramic
Flower Pot and Flowers,"England, Derby, 19th century",,Type of artwork: Ceramic
Flower Container,"France, 18th century",,Type of artwork: Ceramic
Las Meninas,America,"DescriptionLas Meninas draws on traditions throughout global art and culture to address issues surrounding the female body, race, beauty, and community. The work’s skirted form conjures figures from the Spanish Golden Age painting Las Meninas (1656) by Diego Velazquez, apparel worn in the Afro-Brazilian religious tradition candomblé, and Mousgoum buildings in Cameroon. The white-glazed terracotta torso, alluding to sacred and secular traditions of body painting, leads to a faceless head, incorporating both figuration and abstraction.",Type of artwork: Sculpture
In Blue,"America, 20th century","DescriptionIn his work, Jim Hodges reveals qualities of beauty and grace in the most unassuming materials. Through relatively simple acts of manipulation and reappraisal, he invests the man-made with a previously absent level of emotion and authenticity. In Blue is a diaphanous curtain of lush, tropical colors that is both imposing for its monumental scale and delicate in its fragility. Activated by the slightest breeze, its artificial elements ripple with the movement of natural life forms. To create In Blue, Hodges took apart hundreds of silk flowers, flattened and ironed each element, pinned the pieces together, and then carefully hand-sewed them into a scrim.",Type of artwork: Textile
Bowl with Birds and Flowers,,"DescriptionThis porcelain bowl is considered to have been made in the ""Transitional period,"" a term used to define the period between about 1620 and 1683 when official kilns in Jingdezhen were no longer under imperial supervision due to the transition from the Ming to the Qing dynasties.",Type of artwork: Ceramic
"Child Standing on a Chair Holding Flowers, with Mother",,"DescriptionUntil the mid-1850s the daguerreotype process was the method preferred by the commercial photographers willing to meet the ever-growing demand for likenesses of family and friends. This daguerreotype captures the patience of a mother and child, who were required to hold their poses for some time during the exposure of the silver-coated copper plate. Only the bouquet of flowers held by the child is slightly blurred. Characteristic of the technique, the details in the image—fabric, facial features, and accessories—are clearly defined.",Type of artwork: Photograph
"Jar with Flowers, Rocks and Pheasants",,"DescriptionIn the Qing dynasty, art reached a high standard of technical perfection despite a tendency for extravagance and exaggerated ornament. This jar with susancai (plain three-color) decoration uses shades of light green, purple, and yellow, but no red. The vase features a pair of pheasants looking at each other among flowering plants, such as peonies and magnolia. The porcelain painter used fine dark outlines in a more graphic style to delineate motifs, to texture rocks, and depict minute details such as holes in weathered leaves of plants.",Type of artwork: Ceramic
Flower Garden,"Japan, 20th century","DescriptionWatanabe is associated with the Japanese folk art movement
that admired traditional crafts, like stencil, for their
unpretentiousness. Here, Watanabe employed wrinkled
handmade paper, commonly used for book covers and
endpapers, to add texture to the broad areas of flat color and
to emphasize the rough, handcrafted quality of his prints.
The unsophisticated, folk-like images allude to early Japanese
Buddhist prints, in which black lines, rich color contrasts,
and simple naïve forms are paramount. Being a Christian,
Watanabe often chose religious themes from the Bible.",Type of artwork: Print
Flowering Crab Apple,"China, Ming dynasty","DescriptionShen Zhou painted a broken branch (zhezhi 折枝) of crab apple, a fragment of nature rather than the full plant in its natural context. Shen uses calligraphic outlines in pure ink to depict the flower petals. The swift yet precise brushstrokes together with the slight S-shaped branch convey vitality. The inscription is a poem written by the artist, commenting on the lovely color and melancholic aura of the crab apple blossom. Shen Zhou is the founder of the Wu School, a group of scholars and officials active around Suzhou in eastern China, known for practicing painting and calligraphy in a refined and elegant style.",Type of artwork: Painting
Tulips,France,"DescriptionHenri Matisse, leader of the French Fauves (“Wild Beasts”), advocated the complete liberation of color from natural appearances and reducing formal elements to absolute essentials. “What I dream of,” he wrote, “is an art of balance, purity, and serenity.” In Tulips a vase of flowers floats mysteriously against fields of thinly applied turquoise, aqua, and lavender. While the colorful tulips express a joyful sentiment, the vase rests precariously on a planar shape, perhaps a tabletop. The uncertainty of the vase’s position as it extends over the edge, and whether the tabletop continues to the right through a plane of transparent color, together with the strange black rectangle in the background, inserts a contravening feeling of disquiet and visual tension into the time-honored genre of still-life painting.",Type of artwork: Painting
Plate with Bird and Flower,,,Type of artwork: Ceramic
"Fish and Flower and Female Buddha (Sakana, Hana to Butsujo)","Japan, 20th century","DescriptionMunakata did not make detailed designs for his prints, preferring instead to develop the composition on the block itself, aided by a rough sketch (see drawing for Fish and Flower and Female Buddha [1959.9]). He identified with the woodblock itself and said, ""If there is anything here [in my print] that is inferior to an uncarved block, then I have not created my print. I have lost to the board."" Fish and Flower and Female Buddha was commissioned by the Print Club of Cleveland as its 1959 presentation print.",Type of artwork: Print
Sword Guard (Tsuba) with Fence and Flower,,"DescriptionAn inscription on one side of this sword guard states that the maker went by the first name of Masafusa, and worked in the historical province of Musashi. This area includes modern Tokyo.",Type of artwork: Arms and Armor
Pair of Figure in Flower Ornaments,,"DescriptionFigures within flowers are one of the most enchanting themes of the Maya ceramic art of Jaina, an island off the western Yucatán coast. The figures, usually males who cross their arms over their bodies, are either radiantly youthful or aged (as here), suggesting a relationship to the life cycle.",Type of artwork: Jewelry
Plate from Dessert Service: Nettle Leaved Bell Flower,"England, Derby, 18th century","DescriptionEach dish is decorated with recognizable plants, the names of which are inscribed on the base in both Latin and English. Identifying the blossoms only became customary in the late 18th century when a single piece of porcelain was decorated with one species, and flowers were represented along with leaves, stems, seed pods, and roots. All of this reflects Carolus Linnaeus’s recent invention of a scientific method to categorize all known flora. The decorations on the Derby factory’s products derive from contemporary English botanical publications. For instance, illustrations in William Curtis’s The Botanical Magazine served as models for the French marigold and nettle-leaved bell flower on the dessert service.",Type of artwork: Ceramic
"A Mughal Prince, Perhaps Danyal, Holding a Sprig of Flowers",,"DescriptionPrince Danyal (1527–1605), the emperor Akbar’s youngest son, is said to have been his favorite. Danyal served his father as a military officer, leading contingents to the Deccan plateau in southern India, until he succumbed to an untimely death of alcoholism; Akbar himself died later that year. Here, Danyal wears the thumb ring of an archer and grasps a white flower in his hand, recalling his epithet, Nosegay of Fortune’s Spring. In his right hand he holds prayer beads. A sword, knife, and dagger hang from his sash. This early Mughal portrait depicts him as he appeared in his mid-teens.",Type of artwork: Painting
Nō Costume (Nuihaku) with  Blossoming Trees and Flowers,,"DescriptionThis magnificent robe was a costume specifically designed for performances of Noh theater in Japan. Originating during the 1300s from simple folk plays, Noh drama evolved into formal presentations of ritual, theater, dance, and music performed in the courts and shrines of the nobility. Stories were derived from a variety of sources—myths, legends, poetry, and prose—many dating back to the medieval period. Because great importance was placed on subtlety and elegance, plots tended to be minimal. Whether male or female all roles were played by men. Central to these performances were the masks and costumes worn by the actors. The brilliance and elegance of this robe are characteristic of costumes made solely for Noh theater. Its date in the first half of the 1700s is indicated by the proportions of the robe, the choice of embroidery stitches (satin, couching, and outline), and the absence of decoration at the hips, a fashion also reflected in kimonos at that time. The design of weeping cherry trees and irises in the snow was very likely inspired by a medieval Japanese poem. Robes decorated with embroidery against a gold ground were reserved for female roles. These robes were worn under the external garment and were only partially visible.",Type of artwork: Garment
Flowers and Grasses,"Japan, Edo period","DescriptionThis album contains six small paintings, each of which takes a different plant as its subject. The paintings include depictions of pomegranates, as well as flowering narcissus and orchid.",Type of artwork: Bound Volume
The Blue Passion-flower,"England, late 18th-early 19th Century","DescriptionIn the 18th century, new engraving and etching techniques offered a variety of tonal effects that enhanced botanical prints. While mezzotint (in which the plate is roughened and then the engraver works from dark to light creating different values) and stipple (dots create values) make it possible to create the rich tonal scale and velvety texture of oil paint, aquatint imitates the delicacy and transparency of watercolor and ink wash.",Type of artwork: Print
Basket of Anemones,"France, 20th century","DescriptionGeorges Braque and Pablo Picasso worked closely together in the invention of Cubism from 1908 to 1914. “We were like two mountain climbers roped together,” Braque recalled. They separated when Braque enlisted in the French army at the outbreak of WWI in August 1914. Following a severe head wound and hospitalization, he returned to painting in 1916, but worked alone developing a personal Cubist style concerned with complex spatial constructions, color relationships, and textured surfaces. The flowers and basket in this still life are flattened, pressed tightly against the upright forms in the background, and surrounded by an illusionistic shadow. A decorator’s comb was used to create the wood grain pattern in the tabletop.",Type of artwork: Painting
A Collection of Flowers Drawn from Nature:  Large Double China Aster,"England, late 18th-early 19th Century",DescriptionEdwards was one of the best botanical draftsmen of the 18th century. Large Double China Aster is from a superb and extremely rare book with 77 plates illustrating a variety of beautiful flowers. The coloring is particularly fine owing to the use of pale printer’s ink that does not interfere with the delicacy of the watercolor.,Type of artwork: Print
Bird on a Flowering Branch,,"DescriptionA male redstart, a type of small bird, sits hunched on the branch of a flowering plum tree in early spring. The bird’s plumage is rendered in fine detail with a great naturalistic sense, characteristic of Southern Song court painting. While redstarts tend to spend the winter in warmer climates, they may have been seen during the mild winters in China’s southeast in Hangzhou, the seat of the former imperial painting academy where this album leaf was presumably produced. The small square painting must have once been part of an album. When collected in Japan, it was mounted as a hanging scroll, presumably to fit it in an alcove to be enjoyed during the tea ceremony.",Type of artwork: Painting
Étude de fleurs d'après nature:  Spray of Flowers,"France, 18th century","DescriptionCrayon manner etching was invented in the 18th century to simulate the texture of chalk drawings, which were very popular at the time. A tool with toothed points of varying thicknesses set at irregular intervals and angles (mattoir) imitated the random character of grains of chalk on textured paper. Etudes de fleurs d’après nature demonstrates how prints propagated floral designs that could be used in the applied arts. Artisans designing textiles or decorating furniture, for instance, were inspired by the compositions found on prints.",Type of artwork: Print
Large Dish with Artichokes,,"DescriptionCeramic vessels and tiles produced in Iznik, Turkey, for the Ottoman court in Istanbul represented the finest Islamic ceramics. Floral and vegetal motifs are a hallmark of Iznik pottery. The center of this dish is covered in a dynamic artichoke motif interwoven with rosettes and serrated saz leaves. The artichoke design was likely inspired by luxury Italian textiles imported into the Ottoman court. The dish represents a high point of Ottoman art during the reign of Sultan Suleyman the Magnificent (1520–66) in which European, Persian, Chinese, and Egyptian influences contributed to a distinct artistic language.",Type of artwork: Ceramic
Flowers,"America, Ohio, Cleveland",,Type of artwork: Print
Flowers and Birds in a Spring Landscape,"Japan, Muromachi period",,Type of artwork: Painting
"Collection of Flowers and Fruits Painted after Nature:  Bouquet of Foxglove, Clematis, Pansy, Peony, Poppy, and Yellow Day Lily","France, late 18th-early 19th Century","DescriptionBy the mid-17th century, there was a surge of interest in beautiful, exotic plants and formal royal gardens. At Fountainebleau and the Louvre, the gardens were filled with flowers from far-away places, such as the Near East, India, the East and West Indies, and South America. In 1735 Carl Linnaeus (1707-1778) invented the first scientific classification system for 7,700 plants. As a result, accuracy as well as artistic skill were required for the numerous portfolios of botanical prints popular with gardeners and those involved with the decorative arts. In these lavish productions, some of the color is printed but the remainder is added with watercolor, giving the illusion of transparency, luminosity, and the delicacy characteristic of flowers. Stipple was a technique developed in England from the 1760s. A point is used to build up a mass of flicks and dots to create a wide range of tones.",Type of artwork: Print
Flower Vase with Bamboo Joints,"Japan, Taishō period","DescriptionSeifū Yohei III (1851–1914) was a son of the Maruyama school painter Okada Ryōhei (dates unknown). Though he studied painting, he ultimately succeeded his ceramics mentor, Seifū Yohei II (1845–1878), in Kyoto. He distinguished himself as a remarkable porcelain artist, taking Qing dynasty Chinese wares as his inspiration. He experimented widely with new glazing techniques. In 1893, he became the first ceramicist to be appointed as an Imperial Household Artist under a system introduced by the Japanese government in 1890. He produced many works for use in Chinese-style tea gatherings called sencha.",Type of artwork: Ceramic
Still Life with Wild Flowers,"France, 19th century",,Type of artwork: Drawing
"Flower, Birds, and Profile Animal Mola Panel",,"DescriptionThis whimsical, well-made panel was created by a female artist of the Guna, an Indigenous people of the Republic of Panamá. It was one of two identical or similar panels that were stitched into the front or back of a blouse (mola). Such blouses are so distinctive to the Guna that they are the single most recognizable element of Guna cultural identity.",Type of artwork: Garment
"Hatsuito of the Yamashiroya Likened to Bush Clover, from Beauties of the Floating World Compared to Flowers","Japan, Edo period","DescriptionCourtesan Hatsuito of a brothel named Yamashiroya is likened to autumnal bush clover in this series comparing the qualities of courtesans to flowers. Hatsuito ties her servant’s obi sash while a gibbon emerges from a painting in the room’s viewing alcove to offer a love letter on which Hatsuito’s name appears. Gibbons reaching in vain for the moon’s reflection in water is a common metaphor for the deluded mind, and bush clover in moonlight is a popular seasonal motif. Here, the ideas are combined as the gibbon woos this unattainable beauty.",Type of artwork: Print
Bodhidharma Crossing the Yangzi on a Reed,,"DescriptionChan Buddhism was introduced to China in the early 500s by the Indian monk Bodhidharma, or Puti Damo (died before 534). Upon his arrival in China, Bodhidharma was allegedly granted an audience with the Liang dynasty emperor Wu (reigned 502–49). Realizing the emperor did not understand his mission, the monk left Nanjing, crossed the Yangzi on a reed, and settled north in Henan province’s Shaolin monastery. Here, Bodhidharma is sketched in few pale brushstrokes. The diluted and swift lines on an empty ground emphasize the Chan idea that all things are illusionary. The inscription reads: Wind rises from the reed flowers, the waves are high; It’s a long way to go beyond the cliff of the Shaoshi mountain; Above the worlds of kalpas a flower is opening into five petals; So that your barefoot heels are just fine for the whipping rattans. —translated by Wai-Kam Ho",Type of artwork: Painting
Wine Flowers,"America, Ohio, Cleveland",,Type of artwork: Sculpture
In Praise of Verse: Autumnal Equinox Buddist Service: Manjusaka Flowers,"Japan, 20th century","DescriptionAn ardent Zen Buddhist, Munakata frequently portrayed Buddhist themes in his prints. His style was inspired in part by the direct and simple imagery of popular medieval Buddhist prints and 18th-century Japanese folk paintings.",Type of artwork: Print
Pair of Potpourri Vases with Covers,"France, Saint Cloud, 18th century","DescriptionThese vases were created to contain potpourri, a mixture of flowers, herbs, and spices emitting ambient fragrance. This specific function offered a particularly fertile ground for the development of French porcelain, as manufactories experimented with forms, surface ornamentations, and placement of perforations.",Type of artwork: Ceramic
A marbled picture of Rustam catching Rakhsh,"India, Bijapur, Deccan","DescriptionThis scene depicts the young hero Rustam catching a foal, Rakhsh (meaning “light”), who will be his faithful companion through many adventures. A prophet-like shepherd figure with a staff at the upper left predicts that Rustam will be the savior of Iran. At the top of the page a feline has caught its prey, while a hunter steps on its tail. This extraordinary painting has more applications of marbled colorant than any other known example. Even all the flowers and birds have been articulated through marbling in a feat of registration and control by a master of the technique.",Type of artwork: Painting
Pair of Flower Pots (Pots de fleurs),"France, Bourg-la-Reine, 18th century","DescriptionThe mark on this piece indicates that it was made after the Mennecy factory was moved to Bourg-la- Reine in 1773. The tradition of Mennecy's decoration on soft-paste porcelain can be recognized in the piece, but its style has been modified in response to the emerging neo-classic taste. The flowers are now organized into formal garland's and motifs of classical origin, such as the lion's heads, are introduced.",Type of artwork: Ceramic
The Botanical Magazine or Flower Garden Displayed:  Umbel-Flowering Bulb-Bearing Orange-Lily,"England, 19th century","DescriptionEngland was central to botanical concerns in the 18th century. For example, Kew Gardens was founded in 1721 and became a major institution for knowledge about plants from every continent. Interest in gardening led William Curtis to found the specialized magazine Botanical Magazine: or Flower Garden Displayed in 1787. Curtis aimed “to illustrate and describe the most ornamental flowering plants including information on their cultivation and illustrations drawn from living plants and colored as near to nature as the imperfection of color will admit.”",Type of artwork: Print
