Title,Country of Creation,Description,Type of Artwork
Flower Pot (2 of 2),"France, Vincennes",,Type of artwork: Ceramic
The Sue Poems: Frontispiece: Untitled (Flower),"America, 20th century",,Type of artwork: Bound Volume
Devi,,"DescriptionExuding power and grace this diminutive image of a goddess is one of the earliest surviving bronze sculptures from Nepal. Her broad hips and simple, elegant garments and jewelry barely interrupt the contours of her form. Her lowered right hand, in the gift-giving gesture, holds a fruit, and her left hand once held the stem of a flower.",Type of artwork: Sculpture
Vase in the Form of a Melon,,"DescriptionAs early as the seventh century, the practice of drinking tea and wine became an important part of elite culture in Korea. Elites of the Goryeo period commissioned a variety of types of utensils and vessels including this elegant bottle, not only to make their drinking experience more exciting, but also to show their appreciation of nature. During the Goryeo period (918-1392), kilns operated in Jeolla and Chungcheong provinces, meeting a soaring demand for high-quality tableware.",Type of artwork: Ceramic
Pomona Britannica: No. 10 - Cherries,England,"DescriptionThis color aquatint etching is one plate from George Brookshaw’s 1812 illustrated volume Pomona Britannica. Named after the Roman goddess of fruit trees, gardens, and orchards, Brookshaw intended the volume to be the English “country gentleman’s” guide to the science of classifying and identifying fruits (pomology). Many of Brookshaw’s models came from the Royal Gardens at Hampton Court and Kensington Gardens. Each print featured one fruit, often life-size, including detailed depictions of its flower and leaves. Printed in color with hand-painted highlights, this and other illustrated botanicals formed an essential part of the cultured English library in the early 19th century.",Type of artwork: Print
Quatrelobed Dish from Dessert Service: Nettle-leaved Bell Flower,"England, Derby, 18th century",,Type of artwork: Ceramic
Covered Jar with Carved Lotus Petals,,"DescriptionThis jar still has its original cover, which is rare among surviving examples. Its missing knob most likely had the shape of a lotus bud. Beautifully carved lotus petals cover the vessel’s shoulder and lid under a translucent green glaze. In Buddhism, the lotus is a flower symbolizing purity and detachment from worldly affairs; its presence suggests that this vessel was meant to be used in a religious context. The well-crafted double loop handles may have held a silk cloth or other textile that would have been folded over the lid to keep it in place. This aesthetic prefigures the celebrated green celadons in adjacent regions.",Type of artwork: Ceramic
"Portrait of Sardar Singh (Son of Savant Singh, 1730–68)",,"DescriptionThe ruler of the princely state of Kishangarh chose to have himself depicted in an intoxicatingly paradisiacal setting. He and his queen occupy jeweled chairs on a white marble terrace with formal flower gardens overlooking a lake. They listen to a musical performance while female attendants stand ready to whisk away flies and serve tiny bottles liquor. The fresh palette and dramatically elongated eyes, especially on the women, are hallmarks of the most celebrated works from this Rajput court. The king is portrayed with less exaggerated features than the women, which makes him seem more human, despite the halo that sets off his face and elaborate turban.",Type of artwork: Painting
Vaslav Nijinsky in Le Spectre de la Rose,"France, 20th century","DescriptionThe Phantom of the Rose tells the story of a young woman who returns from her first ball with a souvenir rose. She dreams that the flower becomes a phantom who dances with her, the role played by Vaslav Nijinsky. This ballet became one of the most beloved productions of the Ballets Russes, which toured Europe and North and South America between 1909 and 1929.",Type of artwork: Photograph
Female Figure of a Court Entertainer Dancing,,"DescriptionDuring the Han era, tombs of the elite were provided with sculpted renditions of their earthly entourage, such as guardians or musicians, to signify their status in the afterlife. The female dancer with elaborate hairdo held by flower ornaments raises one arm holding her wide sleeve with one hand, while the other lifts her robe to reveal what appears to be a drum underneath her garment, her face smiling, all in a gesture of an entertainer.",Type of artwork: Ceramic
Hookah Base,,"DescriptionSmoking tobacco was introduced to the Mughal court from Iran in the very early 1600s and soon became popular. This base formed part of a hookah, or water pipe, which consisted of a base that held water—sometimes perfumed with herbs or fresh fruit—a detachable bowl to hold tobacco, and a long tube. Early hookahs used existing vessels for bases, including coconut shells. By the late 1600s or early 1700s, richly decorated pieces like this were produced. The jewel-like decoration of blue and green blossoms evokes a garden in which a smoker might have sat.",Type of artwork: Glass
Nō Costume (Nuihaku) with  Blossoming Trees and Flowers,,"DescriptionThis magnificent robe was a costume specifically designed for performances of Noh theater in Japan. Originating during the 1300s from simple folk plays, Noh drama evolved into formal presentations of ritual, theater, dance, and music performed in the courts and shrines of the nobility. Stories were derived from a variety of sources—myths, legends, poetry, and prose—many dating back to the medieval period. Because great importance was placed on subtlety and elegance, plots tended to be minimal. Whether male or female all roles were played by men. Central to these performances were the masks and costumes worn by the actors. The brilliance and elegance of this robe are characteristic of costumes made solely for Noh theater. Its date in the first half of the 1700s is indicated by the proportions of the robe, the choice of embroidery stitches (satin, couching, and outline), and the absence of decoration at the hips, a fashion also reflected in kimonos at that time. The design of weeping cherry trees and irises in the snow was very likely inspired by a medieval Japanese poem. Robes decorated with embroidery against a gold ground were reserved for female roles. These robes were worn under the external garment and were only partially visible.",Type of artwork: Garment
Padmapani Lokeshvara Seated on the Rock,,"DescriptionThough diminutive, this image conveys a monumental power through the intense expression particular to Kashmiri art. He sits alert in yogic concentration on a lotus pedestal that exists miraculously in a rocky wilderness. His left hand holds the stem of a lotus flower—the main attribute of this bodhisattva of compassion. His generously sized right hand with fleshy palm is in the gift-giving gesture. The tiny figure of Amitabha, the Buddha who sits in meditation in his crown, identifies the image as Avalokiteshvara.",Type of artwork: Sculpture
Violette Heymann,"France, early 20th Century","DescriptionAlthough he was known early in his career for works primarily in black and white, such as charcoal drawings and lithographs, Odilon Redon turned to more colorful media, including pastel, later on. In particular, he focused on commissioned pastel portraits of women with flowers, such as this one. Here, the young niece of the Parisian collector Marcel Kapferer appears alongside colorful blossoms as she looks forward, focused as if in the dreamlike state evoked by her surroundings.",Type of artwork: Drawing
Pomona Britannica: No. 33 - Peaches,"England, 19th century","DescriptionThis color aquatint etching is one plate from George Brookshaw’s 1812 illustrated volume Pomona Britannica. Named after the Roman goddess of fruit trees, gardens, and orchards, Brookshaw intended the volume to be the English “country gentleman’s” guide to the science of classifying and identifying fruits (pomology). Many of Brookshaw’s models came from the Royal Gardens at Hampton Court and Kensington Gardens. Each print featured one fruit, often life-size, including detailed depictions of its flower and leaves. Printed in color with hand-painted highlights, this and other illustrated botanicals formed an essential part of the cultured English library in the early 19th century.",Type of artwork: Print
Bowl with Flowering Plants,,,Type of artwork: Ceramic
Flowering Plants,"China, Qing dynasty",,Type of artwork: Painting
Flower of the Desert: No. C761,"America, New York, 20th century",,Type of artwork: Textile
Scenes from the Life of Buddha,,"DescriptionIn this compact narrative relief, which was made to adorn a Buddhist stupa, scenes from the early life of the Buddha are depicted in order from top to bottom. His birth is at the top. The infant, now broken, is being received by Indra, King of the Gods, from the right side of his mother, who is depicted like a tree deity, grasping a branch with one hand. The baby Buddha miraculously took seven steps immediately after he was born, as indicated by the standing diminutive figure at the left of the scene. The next scene depicts the bodhisattva Maitreya, who will be the next Buddha to be born in the future, as an element of foreshadowing. Returning to the life of the historical Buddha, the sculptors then depict him as a prince, enjoying palace life with his wife. Eventually, he is compelled to leave his family to seek enlightenment and try to end the suffering in the world. In the lowest panel he rides off to the forest with a carved halo behind his head. In the border areas are meditating Buddha images, worshippers, guardians, and earth deities who drag a massive flower garland adorning the panel.",Type of artwork: Sculpture
Lotus No. 12,China,"DescriptionChen Qi's works often show a single object up close. Here an open lotus flower set against a black ink ground evokes the image of a blossom merged into and reflecting the bright moonlight. At close view, the bulging petals defined by crisp printed lines show fine veins in relief, embossed into the paper and achieved through a blind impressed wooden block that has no ink.Chen Qi has been awarded many prizes for his art on a national and international level, including a gold medal at the 13th National Print Exhibition in 1996 in Beijing. He has exhibited in Europe and Asia, including Paris, Geneva, Kuala Lumpur, and New Delhi.",Type of artwork: Print
Fatima,"Austria, Vienna","DescriptionInspired by English cotton chintz patterns, Josef Frank created several designs for cotton textiles used as clothing. Fatima was likely meant for summer evening gowns due to the cotton’s light weight. The design’s vibrant floral motifs in intricate arrangements would have made a fresh and fashionable impression without overemphasizing the pattern’s geometry.",Type of artwork: Textile
Bouquet,"France, 17th century","DescriptionSeventeenth-century botanical illustrators were stimulated by a surge of interest in their subject. While in the mid-16th century only 500 plants were known, less than a century later that number had grown to 6,000. A passion for cultivating beautiful rather than useful plants took hold, and formal gardens with carefully arranged flower beds based on embroidery designs supplemented varieties of local plants with foreign samples. Exotic flowers became available in Europe as the Dutch founded colonies in the East and West Indies, South America, and India. While fabulous royal gardens were planted in France at Fontainebleau and the Louvre, for instance, in England “a whole nation went mad about flowers.”",Type of artwork: Print
Millefiori Bowl,,"DescriptionMosaic glass, also called millefiori, was cast in a two-part mold. Fused glass rods of different colors were bundled together into patterns, then sliced into disk-shaped cross sections. These were placed within the mold and heated until fused. After cooling, the vessel’s surface was fire- or wheel-polished.",Type of artwork: Glass
Still Life Arrangement with Flower Pot and Fruit,"America, 20th century",,Type of artwork: Drawing
Pomona Britannica: No. 74 - Figs,England,"DescriptionThis color aquatint etching is one plate from George Brookshaw’s 1812 illustrated volume Pomona Britannica. Named after the Roman goddess of fruit trees, gardens, and orchards, Brookshaw intended the volume to be the English “country gentleman’s” guide to the science of classifying and identifying fruits (pomology). Many of Brookshaw’s models came from the Royal Gardens at Hampton Court and Kensington Gardens. Each print featured one fruit, often life-size, including detailed depictions of its flower and leaves. Printed in color with hand-painted highlights, this and other illustrated botanicals formed an essential part of the cultured English library in the early 19th century.",Type of artwork: Print
Lotus No. 8,China,"DescriptionChen Qi's works often show a single object up close. Here an open lotus flower set against a black ink ground evokes the image of a blossom merged into and reflecting the bright moonlight. At close view, the bulging petals defined by crisp printed lines show fine veins in relief, embossed into the paper and achieved through a blind impressed wooden block that has no ink.Chen Qi has been awarded many prizes for his art on a national and international level, including a gold medal at the 13th National Print Exhibition in 1996 in Beijing. He has exhibited in Europe and Asia, including Paris, Geneva, Kuala Lumpur, and New Delhi.",Type of artwork: Print
The Temple of Flora; or Garden of Nature: The Queen Flower,"England, Late 18th- Early 19th century",,Type of artwork: Print
"Krishna sporting with the gopis in the Jumna River, from a Bhagavata Purana",,"DescriptionThis page is from one of the earliest surviving illustrated Hindu manuscripts from India. It belongs to an extensive series on the life of Krishna, an incarnation of Vishnu. Shown here in blue, frolicking energetically with a bevy of young women from the cowherder village where he lived as a youth, Krishna is in the middle of the composition and the center of attention. Celestial musicians offer flower garlands and beat percussion instruments in the skies to accompany their passionate play. Lively gestures and bold patterning of the water lend to the exuberance of the scene.",Type of artwork: Painting
Necklace: SIRO BO MALEYA  -- (pepper-flower-garland),,,Type of artwork: Jewelry
Flowers and Birds in a Spring Landscape,"Japan, Muromachi period",,Type of artwork: Painting
Fragment of Lotus Flower surrounded by Leaves,,,Type of artwork: Embroidery
Yellow Chrysanthemums and Red Osmanthus in the Style of Wang Yuan,"China, Ming dynasty","DescriptionShen Zhou, a native from Suzhou, was descended from a prominent land-owning family with strong ties to literati culture. Because Shen Zhou never entered government service, he had ample opportunity to cultivate the arts of painting, poetry, and calligraphy.Chrysanthemums and red osmanthus both bloom in autumn. The deep orange osmanthus flowers emanate a characteristically sweet fragrance. According to his inscription on the painting, Shen Zhou sought to imitate the style of the Yuan dynasty (1271–1368) painter Wang Yuan. His color-filled brushstrokes and washes, however, anticipate the flower painting style of Yun Shouping, whose Peonies are also in the Cleveland Museum of Art collection, https://www.clevelandart.org/art/1967.192. The sheer size and complex composition of this scroll are impressive.",Type of artwork: Painting
"Four-armed goddess, with hearts in margin",,"DescriptionThis goddess holds a lotus flower and a discus, along with two other unidentified objects. Historically, Madhubani paintings were murals created with brushes made of bamboo and cotton. They ornamented domestic spaces on the occasion of a festival or rite of passage in a woman's life, such as a birth or a wedding. In the wake of a drought in 1966, the All India Handicrafts Board encouraged women of the Mithila region make paintings on paper, so they could sell them and help support their communities.",Type of artwork: Painting
"The Lovelorn Heroine, from a Sat Sai of Bihari",,"DescriptionThe Sat Sai is a collection of poems mainly describing the beauty of women in a range of emotional states. The heroine of this poem sits against a tree that is in full flower, like her, but her lover is absent, and other girls walk by, gossiping. Not coincidentally, her dress matches the color of the blossoms, and no bees come to pollinate.",Type of artwork: Painting
Untitled (Farm Animals),"France, 19th century","DescriptionThis charming view of village life by Braun is one of only about five known large-scale prints produced from a small number of negatives. It represents one of the earliest studies of animals not portrayed by a daguerreotype. This complex and densely filled composition is beautifully balanced and enhanced by the skillful use of natural light in order to highlight the animals. The abundant clarity of detail suggests that Braun intended to market these photographs to visual artists as models for their compositions, just as he did with flower studies accomplished around the same time.",Type of artwork: Photograph
Youth as a Stand-in Monju,"Japan, Edo period","DescriptionIn this image, a handsome young man replaces the Buddhist figure Monju, a bodhisattva—or enlightened being—often shown riding a lion. Monju symbolizes wisdom and customarily holds a sword and a sacred text atop a lotus flower. The youth here meditates instead on his tobacco kit and a long pipe. The print was once paired with another, showing a young woman replacing Fugen, a bodhisattva who rides an elephant.",Type of artwork: Print
Fragment of Lotus Flower surrounded by Leaves,,,Type of artwork: Embroidery
Étude de fleurs d'après nature:  Spray of Flowers,"France, 18th century","DescriptionCrayon manner etching was invented in the 18th century to simulate the texture of chalk drawings, which were very popular at the time. A tool with toothed points of varying thicknesses set at irregular intervals and angles (mattoir) imitated the random character of grains of chalk on textured paper. Etudes de fleurs d’après nature demonstrates how prints propagated floral designs that could be used in the applied arts. Artisans designing textiles or decorating furniture, for instance, were inspired by the compositions found on prints.",Type of artwork: Print
"Portfolio XVII, Plate 581:  Póvi-tám (""Flower Morning"") - San Ildefonso","America, 20th century",,Type of artwork: Portfolio
Hevajra,,"DescriptionHevajra was an important figure signaling the practice of Buddhist rituals. King Jayavarman VII placed particular emphasis on Hevajra during consecration rituals and set up a colossal stone sculpture of dancing Hevajra at the east gate of his fortified city in the Khmer capital at Angkor. In the Cambodia of Jayavarman VII, tantric Buddhism became public and widespread, practiced together with other more mainstream forms of Buddhism, Hinduism, and ancestor worship. The iconography of Hevajra is described in detail in a text that bears his name, the Hevajra-tantra, first composed in India probably in the 800s. Hevajra has eight heads, sixteen arms, and four legs. His left hands hold images of Indic gods; wealth, death, sun, moon, fire, wind, water, and earth. In his right hands are animals: bull, lion, human, cat, camel, sheep, horse, and elephant. They all sit in skull cups, objects also used in tantric rituals. He dances on a corpse that embodies ignorance and is surrounded by eight yoginis who dance triumphantly in a ring around him. Yoginis functioned as intercessors between human practitioners and enlightened beings. Many bronze images of Hevajra were made during the reign of Jayavarman VII, but few survive in as pristine condition as this example. According to scientific analysis and curatorial reports, this sculpture survived in a clay vessel submerged in water, which accounts for its high tin content and unusual gray patina. Samples from the clay core reveal the presence of the mineral feldspar, a characteristic of clay from the Isaan plateau, on the other side of the mountain range not far from Banteay Chhmar, in present-day Thailand.",Type of artwork: Sculpture
"Vase with Inlaid Lotus, Plum, and Bamboo Design",,"DescriptionFlattened-shaped jars like this one started to appear around the late 13th century. Each of the flattened sides is decorated with an image of a lotus flower pond, enclosed in a lobed panel. The protruding sides, on the other hand, depict an image of bamboo trees and plum blossoms. This particular example seems to have been produced in the late 14th century, when the overall quality of techniques involved in making celadon works sharply deteriorated. In contrast to translucent greenish blue celadon works of the 12th century, this flask has gray greenish glaze due to less refined clay. Furthermore, its rather roughly executed inlaid design shows a clear sign of decline in craftsmanship. Nevertheless, less attention to technical details gave way to a freer style pottery called buncheong in the succeeding centuries.",Type of artwork: Ceramic
Round Box with Bird and Peonies Design,,"DescriptionThe carved lacquer box and lobed silver container nearby both feature pairs of birds and flowers on their covers. There is a striking similarity in decoration, shape, and aesthetic appeal. Both boxes suggest that successful designs and shapes circulated among craftsmen, workshops, and beyond regional borders.",Type of artwork: Lacquer
"The parrot addresses Khujasta at the beginning of the forty-first night, from a Tuti-nama (Tales of a Parrot): Forty-first Night",,"DescriptionOn the forty-first of fifty-two nights, Khujasta consults Tuti the parrot for advice on how to balance her lover’s wishes with her vow of marriage. Tuti, perched atop his cage, responds by telling her a story about a donkey who was punished for singing too brazenly.",Type of artwork: Painting
Section from a Portable Shrine,,"DescriptionFigures of deities who protect children are featured in this relief carving. A form of Skanda holding a bird and a flower stands next to a regal yakshi with pointed rodent or elephant ears. A diminutive figure who may be a child is shown kneeling at his feet. Above, the six-headed mother goddess Shashthi sits next to Skanda, holding the spear.",Type of artwork: Sculpture
Still Life with Wild Flowers,"France, 19th century",,Type of artwork: Drawing
"Hatsuito of the Yamashiroya Likened to Bush Clover, from Beauties of the Floating World Compared to Flowers","Japan, Edo period","DescriptionCourtesan Hatsuito of a brothel named Yamashiroya is likened to autumnal bush clover in this series comparing the qualities of courtesans to flowers. Hatsuito ties her servant’s obi sash while a gibbon emerges from a painting in the room’s viewing alcove to offer a love letter on which Hatsuito’s name appears. Gibbons reaching in vain for the moon’s reflection in water is a common metaphor for the deluded mind, and bush clover in moonlight is a popular seasonal motif. Here, the ideas are combined as the gibbon woos this unattainable beauty.",Type of artwork: Print
Border Strips of a Skirt,,"DescriptionThe primary motif is a large stylized flowering vase with fantastic flowers and foliage, two small figures sitting among the foliage, two birds at the top eating flowers and, in the center, a double-headed eagle. Two of these motifs appear on the large strip, separated by a much smaller flowering vase with two goat-like animals at the base. At the top and bottom is a border of arched compartments containing, alternately, a flower and a two-tailed mermaid or a double-headed eagle.",Type of artwork: Embroidery
Flowers,"America, Ohio, Cleveland",,Type of artwork: Print
Armchair,"America, New York, 19th century","DescriptionLouis Comfort Tiffany began his artistic career as a painter, having studied with George Innes and Samuel Colman in America as well as with various artists in Paris. While he achieved some early success with his orientalist works, his interests were soon drawn to interior furnishings and design. He collaborated with other artisans to form Associated Artists in 1879 and began work on major commissions such as the Mark Twain House (1881) and the White House for President Chester Arthur (1882). He debuted designs for furniture at the 1893 Chicago world's fair, and this armchair is believed to have been among those pieces. Even after he achieved enormous success with his glass production, Tiffany continued to produce interior furnishings and design schemes for artistic interiors throughout the rest of his career.",Type of artwork: Furniture and woodwork
Sword Guard (Tsuba) with Chinese Landscape in Flower,,,Type of artwork: Arms and Armor
Leaf from a Book of Hours: Initial D,,"DescriptionNot all books of hours were decorated with conventional historiated initials or full-page miniatures containing figural scenes. The illuminator of this leaf incorporated a more subtle decorative scheme consisting of a large, flower-filled initial D for Deus that gives a focus to the page. A rectangular bar border with ivy leaf sprays punctuated with flowers in the corners flows from this initial. The layout is neat, yet elegant. The palette of orange-reds and pale blues is typically English.",Type of artwork: Manuscript
Figural Group Supported by Flower Holder in Form of a Turtle,"America, 20th century",,Type of artwork: Metalwork
"Lotuses, Insects, and Birds",,"DescriptionPairs of herons, kingfishers, and dragonflies punctuate a profusion of lotus in this composition that, given the orientation of the herons and the clustering of motifs in the left-hand side of the work, may have once been the left painting of a pair. Given its subject matter, this hanging scroll may have been hung for display during the summer.",Type of artwork: Painting
Portrait of a Woman with Flowers,"America, 20th century","DescriptionFor more than 50 years, James VanDerZee produced images that embody the spirit of Harlem. From the 1920s to the 1940s, he was the neighborhood's most popular and prolific photographer, his camera capturing everyone from ordinary citizens to celebrities. In the studio VanDerZee photographed glamorously dressed young people and dignified men and women. On location, he chronicled picnics, parades, families, church congregations, and the dead in their coffins. These four prints, from a collection of 33 recently acquired by the museum, show VanDerZee's skill at posing and lighting his subjects. His artistic sensibilities are reflected in elaborate backdrops and the use of accessories that reinforced his sitters' associations with culture and wealth. The artist worked with a variety of techniques, including multiple negatives and hand coloring, to make artful photographs that set him apart from his more traditional, less aesthetically inclined competitors. Just as he often signed his name and date directly onto the negative, he would also selectively draw on it-to smooth a complexion and touch up imperfections, or to add extra jewelry or smoke drifting from a cigarette-whatever was necessary to emphasize the grace and dignity of his client, regardless of race, age, or social status.",Type of artwork: Photograph
Flower designs for plates and borders (no. 14),"France, 19th century",,Type of artwork: Print
Incense Burner with Lotus Petal Design in Relief,,"DescriptionCeladons wares used for everyday such as this incense burner were among the most common burial objects in tombs during the Goryeo period (918–1392). Furnishing tombs with an elaborate assemblage of objects was believed to honor and comfort the newly dead. Generally, Goryeo tombs were left untouched until the late 19th century. During the colonial period (1910–45), however, Japanese archaeologists competitively excavated the tombs located in Kaeseong, the former capital of the Goryeo period, and these wares soon became available for Japanese and Western collectors.",Type of artwork: Ceramic
A feast in a pavilion setting,"India, Mughal, 17th century","DescriptionTwo gentlemen sit on a low carpeted platform in a walled garden. They wear bulbous turbans meant to indicate a historical time or distant place other than Mughal India. Behind them is the entry of a wealthy family’s house with one of the double doors open, leading to the inner quarters and a covered pavilion on the rooftop. The vestibule’s rear wall is ornamented with niches and wall paintings. Emperor Jahangir admired Persian art and culture, employing Persian painters such as Muhammad Ali in his royal atelier. He enjoyed gatherings such as this, with books and music, wine and fruits.",Type of artwork: Painting
Figures Depicting the Four Seasons,"England, Bristol","DescriptionIn this group depicting the four seasons, a young boy in ice skates represents winter; a young lady adorns her hair with flowers in spring; a young man guards his beehive in summer; and a girl gathers fruit in autumn.",Type of artwork: Ceramic
Figure of a Gardener,"England, London, Bow","DescriptionEven though this figure and her counterpart (1945.37) are not accompanied by a sheep, these ceramic sculptures were sometimes known as “Garland Shepherds” during the mid-1700s. The name derived from a similar set produced by one of the Bow Porcelain Factory’s rivals, the Derby Porcelain Factory, in which the male figure holds a lamb. While these two factories often produced similar sets of pastoral, allegorical, biographical, and religious figures, the Bow Factory was known as one of the preeminent porcelain manufacturers, rivaled only by the Chelsea Porcelain Factory, with which Bow would later merge.",Type of artwork: Ceramic
Shalabhanjika (Woman and Tree),,"DescriptionThe full carving of a flowering tree on the back of this figurine indicates that she is a figure of a nature divinity who personifies the life-giving qualities of the sap that envigorates the tree and causes it to flower. These figures are sometimes called shalabhanjika, ""she who breaks the tree,"" probably because her fertile properties are so powerful that it causes the tree to fruit so heavily that the branches break.",Type of artwork: Sculpture
Stand-in Fugen,"Japan, Edo period","DescriptionHere, a woman dressed as a man replaces Fugen, a bodhisattva—a being among those considered enlightened in Buddhism—who symbolizes learning as a path to awakening and typically rides an elephant. The painting teaches the lesson of impermanence through the petals falling from the lotus flower the woman holds. It also alludes to the legend of Eguchi, a 12th-century courtesan who, following an encounter with a Buddhist monk-poet called Saigyō, revealed herself to be a manifestation of Fugen.",Type of artwork: Painting
Water-Moon Kannon (Suigetsu Kannon),,"DescriptionKannon represents a primary figure of benevolence and compassion in the Buddhist pantheon. Identified early in Buddhist texts as a close attendant to the Buddha, by the 700s Kannon's popularity soared to such an extent in China, Korea, and Japan that the bodhisattva was often worshipped independently. Here at the lower left, Kannon is depicted with the child Zenzai Dōji (Sakskrit: Sudhana), a wealthy boy who, according to the final chapter of the Flower Garland Sutra, visited Kannon's abode Fudaraka (Sanskrit: Potalaka) during a long journey to learn the bodhisattva path.",Type of artwork: Painting
In Praise of Verse: Autumnal Equinox Buddist Service: Manjusaka Flowers,"Japan, 20th century","DescriptionAn ardent Zen Buddhist, Munakata frequently portrayed Buddhist themes in his prints. His style was inspired in part by the direct and simple imagery of popular medieval Buddhist prints and 18th-century Japanese folk paintings.",Type of artwork: Print
Flora [II],"Austria, Vienna","DescriptionAlso affectionately called Pepi’s Flora after Josef Frank’s childhood nickname “Pepi,” this design depicts imaginary wildflowers concocted by Frank. The whimsically placed yet tightly packed flowers are meant to evoke flowers in the background as well as the borders of French tapestries.",Type of artwork: Textile
Icon of the Virgin and Child,,"DescriptionThis tapestry glorifying the Virgin Mary is among the rarest objects in the museum’s collection. In a composition borrowed from imperial Byzantine art, Mary is shown seated on a jeweled throne with the Christ child and flanked by archangels Michael and Gabriel. Above, Christ appears in a radiant light supported by two angels. Portraits of the apostles, identified in Greek, appear in the surrounding wreath symbolizing eternal life. This portable sacred textile was presumably displayed at the front of a public or private place of worship. This unique tapestry is one of the earliest Christian icons to survive. Woven icons were among the miraculous works shown to pilgrims in Jerusalem according to Abbot Adomnan of Iona (about 624–704) who described a linen cloth ""said to have been woven by Saint Mary, and is for this reason preserved in a church and venerated by the whole population. Pictures of the twelve apostles are woven into it, and there is also a portrait of the Lord."" The abbot’s description of the woven icon suggests it must have been similar to the tapestry displayed here. The delicate effects of shading in the facial features, garments, and vegetation were achieved by weaving the panel sideways with at least 20 colors, just as medieval tapestry weavers did centuries later in Europe. The high cost of dyes caused this majestic icon to be far costlier than painted images.",Type of artwork: Textile
Seated Buddha,,"DescriptionThis rare image of the historical Buddha Shakyamuni is shown seated with crossed legs in the position of meditation. His left hand rests on his lap, referring to his meditation under the Bodhi tree, and his right hand is in the earth-touching gesture—calling the earth to witness his enlightenment. The Buddha sits on a double lotus pedestal that indicates the presence of a transcendent being. The sculptural style is typical of sculptures made at the Buddhist site of Pagan. Sculptures such as this were installed in niches in an interior passage of a temple. As is typical of Burmese works, this sculpture was carved from a solid piece of wood. Its surface was covered in black lacquer and then gilded; a great deal of the gilding remains intact. Because lacquer is an easily perishable material, works of this type and size are exceedingly rare; this sculpture is one of the best extant examples.",Type of artwork: Lacquer
Octafoil Mirror with Two Immortals Crossing the Ocean,,"DescriptionThis mirror in the shape of a flower represents two immortals crossing the ocean, surrounded by surging waves. The younger figure on the left wears two buns on his head; the elder one with a long beard is carrying a musical instrument, sheng. The scene may illustrate “The Eight Immortals Crossing the Ocean,” in which their supernatural power to walk on water is depicted. The two men here stand on their swords to travel on water. In Daoist and Buddhist thinking, swords are considered powerful, magical implements to exorcise demons and destroy evil spirits.",Type of artwork: Metalwork
Maharana Jagat Singh Attending the Raslila,"Northwestern India, Rajasthan, Mewar, Udaipur, 18th century","DescriptionTo celebrate the New Year festival of Diwali, dancers reenact the life story of the Hindu god Krishna in a palace courtyard by candlelight under the full moon. The king, a vassal of the Mughal emperor, sits with the halo of divine sanction for his rule at the left of the courtyard, smoking from a golden goat-shaped hookah, with his young son and heir at his side. At the top of the composition, a dancer dressed in blue with a peacock-feather crown plays the part of Krishna. In the upper right corner, a canopy painted with swirling storm clouds stands for the rainstorm sent by the jealous king of the gods, who is shown in the middle of the canopy with his consort and mount, the elephant with seven trunks. Guards and grooms in the foreground entertain themselves with music while they wait with the horses of visiting nobles. The formal geometric gardens, playful use of perspective, and individualized portraiture indicate the selective adoption of the styles and sensibilities of the imperial Mughal court in the paintings from this large-format series.",Type of artwork: Painting
Black and White Lilies III,"America, 20th century","DescriptionIn the early 1920s, Cunningham combined the clarity and directness of modernism with her long-held interest in botanical imagery. For two decades she created a remarkable group of close-up studies of plants and flowers that identified her as one of the most sophisticated and experimental photographers working in America. In this dramatic, tightly cropped composition, Cunningham isolated two lilies against a simple velvet backdrop. A black calla (arum palaestium) was rhythmically placed in front of a white calla (zantedeschia aethiopica). The expanded scale of the black flower, with its partially visible spadix diagonally positioned, dominates the picture. The sculptural shapes and rich textures were emphasized by the combination of daylight and blue tungsten photofloods and the copious detail provided by the 8x10-inch negative. This sensuous print also encompasses a luxurious range of tones, from velvety black to milky white.",Type of artwork: Photograph
Wine Flowers,"America, Ohio, Cleveland",,Type of artwork: Sculpture
Plate from Dessert Service: Chinese Ixia,"England, Derby, 18th century","DescriptionEach dish is decorated with recognizable plants, the names of which are inscribed on the base in both Latin and English. Identifying the blossoms only became customary in the late 18th century when a single piece of porcelain was decorated with one species, and flowers were represented along with leaves, stems, seed pods, and roots. All of this reflects Carolus Linnaeus’s recent invention of a scientific method to categorize all known flora. The decorations on the Derby factory’s products derive from contemporary English botanical publications. For instance, illustrations in William Curtis’s The Botanical Magazine served as models for the French marigold and nettle leaved bell flower on the dessert service.",Type of artwork: Ceramic
Mirror,,"DescriptionThe Japanese used chrysanthemums as decorative elements on mirrors. In the Heian period, a chrysanthemum with cranes or long-tailed birds was a common motif. Later, in the Kamakura and Muromachi periods, chrysanthemum designs were divided into three patterns with different symbolic associations: Chrysanthemum with Cranes represented longevity; Water Flowing suggested longevity as well as the Noh drama Kikujido, or Chrysanthemum Boy; and East Fence alluded to the poem ""Drinking Wine"" by Tao Yuanming (AD 365-427). Here, the mirror featuring Buddhist iconography (kyojo) and a chrysanthemum design on the back shows that the flower was also appreciated in the context of Buddhism in the Kamakura period.",Type of artwork: Metalwork
