Title,Country,Period,Classification
"[Woman with Flower in Hair, Standing]",Null,Date Unknown,Photographs
238. Which Flower Will you Have?,Null,Date Unknown,Photographs
"Actress wearing pink flower in hair, from Stars of the Stage, Third Series (N131) issued by Duke Sons & Co. to promote Honest Long Cut Tobacco",Null,Date Unknown,Prints
"Flower Market and Butter Tower, Rouen",Null,Date Unknown,Prints
Man Holding Flower between Clasped Hands,Null,Date Unknown,Paintings
"Drive, flower bank, looking towards Long Island Sound.",Null,Date Unknown,Not Assigned
Botanical plate with a flowering eggplant,Null,Date Unknown,Ceramics
Stand with Autumn Grasses and Flowers,Japan,17th - 19th Century,Lacquer
Dish with a vase of flowers,Null,Date Unknown,Ceramics
Plate with a vase of flowers,Null,Date Unknown,Ceramics
Tray with vase of flowers,Null,Date Unknown,Ceramics
Pouring Vessel (Kendi) with Flowers and Fruits,Null,16th - 17th Century,Ceramics
Foliated dish with flowers and fruits,China,17th - 20th Century,Enamels
Snuff bottle with flowers and rocks,Null,19th Century,Snuff Bottles
Base for a Water Pipe (Huqqa) with Poetry and Flowers,India,Date Unknown,Metal
Nude with Flowering Branch,Null,Date Unknown,Paintings
Still life with bronze vessels and flowering plants,Korea,14th - 20th Century,Paintings
"Blind with scrollwork, bat, and flowers",China,17th - 20th Century,Basketry
"Illustrated Six-Character Poems of the Tang Dynasty, one volume of Eight Kinds of Painting Manuals (vol. 1); Illustrated Poems of Plants and Flowers, one volume of Eight Kinds of Painting Manuals (vol. 2)",China,14th - 17th Century,Illustrated Books
Tile decorated with birds and flowers,Korea,10th - 14th Century,Ceramics
Flower-shaped Negoro Tray (Kōban) with Three Feet,Japan,14th - 16th Century,Lacquer
Limestone head of a bearded male with a wreath of flowers,Greece,7th - 5th Century,Sculpture
Karamono-Style Flower Basket (Hanakago),Japan,19th - 20th Century,Basketry
Birds and Flowers of Summer and Autumn,Japan,14th - 16th Century,Paintings
"""Shelledge"" dinner and luncheon plate with flowers",United States,Date Unknown,Not Assigned
Design for a Vase or Flower Pot on a Tripod,Null,Date Unknown,Drawings
Textile Design with Large Stylized Flowers and Undulating Branches with Flower Buds,Null,Date Unknown,Drawings
Two Panels with Flower Designs,India,Date Unknown,Paintings
"Textile Design with Groups of Stylized Roses, Tulips, Flower Buds and Leaves",Null,Date Unknown,Drawings
"Textile Design with Vertical Garlands of Stylized Flowers, Flower Buds and Leaves",Null,Date Unknown,Drawings
Textile Design with Small Blue and Brown Flower Buds,Null,Date Unknown,Drawings
"[Stereographic View of Flower Arbor, Central Park, New York]",Null,Date Unknown,Photographs
Botanical Painting: Composite Flower,India,Date Unknown,Codices
Dish with lotus flower design,China,17th Century,Ceramics
A View of the Aviary and Flower Garden at Kew,Null,Date Unknown,Prints
"Actress wearing blue sleeveless bodice with red flower at neckline, from Stars of the Stage, First Series (N129) issued by W. Duke, Sons & Co. to promote Honest Long Cut Tobacco",Null,Date Unknown,Prints
Design for a ceiling with grotesques and flower garlands,Null,Date Unknown,Drawings
Leaf and Flower Pictures and How to Make them,Null,Date Unknown,Books
Johnny-Tuck – Orthocarpus erianthus and Yellow Pelican Flower – O. faucibarbatus,Null,Date Unknown,Drawings
Young Woman Holding a Flower in her left hand,Null,Date Unknown,Prints
Siam - Burmese Flower Girl,Null,Date Unknown,Photographs
Design for a Covered Cup with a Flower Vase,Null,Date Unknown,Prints
Charger with flowers and butterflies,Null,Date Unknown,Pottery
"Tureen with rocks, flowers, and birds",Japan,17th - 19th Century,Ceramics
"Still Life with a Vase of Flowers, Melon, Peaches, and Grapes",Null,Date Unknown,Paintings
The Flowering Orchard,Null,Date Unknown,Paintings
Fabric Design with Red Flower Buds,Null,Date Unknown,Drawings
Poem Card (Tanzaku) Box with Flower Bouquet,Japan,19th - 20th Century,Lacquer
Bamboo vase with flowering cherry blossoms,Null,Date Unknown,Ceramics
Fragment of Frieze with Acanthus Leaves Encircling Fruit and Flowers,Egypt,Date Unknown,Sculpture
Majolica plate with flowering branch and butterflies,United States,Date Unknown,Not Assigned
Tea bowl with decoration of six-petaled flowers,China,12th - 13th Century,Ceramics
"Textile Design with Interlacing Branches with Leaves, Stylized Flowers and Flower Buds Over a Grid",Null,Date Unknown,Drawings
"Textile Design with Undulating Garlands With Leaves, Daisies and Scrolling Branches with Flower Buds",Null,Date Unknown,Drawings
"[7 Stereographic Views of Plant Specimen and Flower Garden, Central Park, New York]",Null,Date Unknown,Photographs
"Christ Child in a Rose or Jesus, Flower of Heaven (Jesus Caeli Flosculus)",Null,Date Unknown,Prints
Virgin holding the Christ Child who take a flower offered by an angel,Null,Date Unknown,Prints
"Chelsea Palaces on Scarab, Grecian Key and Fly Pattern Mount, in Stag and Flower Pattern Frame",Null,Date Unknown,Prints
"The Holy Family, the Christ child holding a flower at right, Joseph reading at top center",Null,Date Unknown,Prints
A Flower Wedding Described by Two Wallflowers,England,Date Unknown,Books
Lotus flower inlay with brown-glazed calyxes,Egypt,28th - 23rd Century BCE,Not Assigned
Lotus flower inlay with brown-glazed calyxes,Egypt,28th - 23rd Century BCE,Not Assigned
Lotus flower inlay with brown-glazed calyxes,Egypt,28th - 23rd Century BCE,Not Assigned
[Vase of Flowers],Null,Date Unknown,Photographs
[Glass Brick and Flowers in Field],Null,Date Unknown,Photographs
"Flowers, fish, and crabs",China,14th - 17th Century,Paintings
"A Flower Seller, from Le Arti che vanno per via nella citta di Venezia, plate 56",Null,Date Unknown,Prints
Flower Painting in Water Colours,Null,Date Unknown,Books
The Flower with Seven-Colored Petals,Russia,Date Unknown,Books
"Carpet with Irises, Tulips, and Other Flowering Plants",Null,Date Unknown,Textiles
A Basket of Flowers,Null,Date Unknown,Paintings
Flowers in a vase,Null,Date Unknown,Drawings
Flower Holder in form of a Section of Bamboo Stem,Japan,17th - 19th Century,Ceramics
Pair of candelabra with porcelain flowers,Null,Date Unknown,Ceramics
"Horizontal Panel with a Row of Flowers Above a Frieze with a Hunting Scene in a Landscape, from Livre Nouveau de Fleurs Tres-Util",France,Date Unknown,Prints
A Bouquet of Flowers in a Crystal Vase,Null,Date Unknown,Paintings
"Friezes with Birds, Flowers and Meandering Wreaths and Scrolls (6)",Null,Date Unknown,Prints
Fragment of a Hanging with Birds and Flowers,Egypt,Date Unknown,Textiles
Sutra cover with phoenixes amid flowers,China,14th - 17th Century,Textiles
Letter Enclosing Flowers,Japan,17th - 19th Century,Paintings
Let a Thousand Flowers Bloom,Null,Date Unknown,Drawings
"Sutra Cover with Pattern of Peaches, Flowers, and Auspicious Motifs",China,14th - 17th Century,Textiles
"Friezes with Birds, Flowers and Meandering Wreaths and Scrolls (9)",Null,Date Unknown,Prints
Titmouse with Pomegranate Flowers,Japan,14th - 16th Century,Paintings
"Field Book of Western Wild Flowers, with five hundred illustrations in black and white, and forty-eight plates in color drawn from nature by the author",Null,Date Unknown,Books
Colored Pattern Design with Lotusflowers,Null,Date Unknown,Drawings
Flora Receiving Flowers and Festoon of Flowers,Null,Date Unknown,Prints
"Horizontal Panel with a Row of Flowers Above a Frieze with a Battle Scene in a Landscape, from Livre Nouveau de Fleurs Tres-Util",France,Date Unknown,Prints
"Horizontal Panel with a Row of Flowers Above a Frieze with Figures in a Landscape, from Livre Nouveau de Fleurs Tres-Util",France,Date Unknown,Prints
"Horizontal Panel with a Row of Flowers Above a Frieze with Figures in a Landscape, from Livre Nouveau de Fleurs Tres-Util",France,Date Unknown,Prints
"Horizontal Panel with a Row of Flowers Above a Frieze with Figures in a Landscape, from Livre Nouveau de Fleurs Tres-Util",France,Date Unknown,Prints
"Horizontal Panel with a Row of Flowers Above a Frieze with Figures in a Landscape, from Livre Nouveau de Fleurs Tres-Util",France,Date Unknown,Prints
"Horizontal Panel with a Row of Flowers Above a Frieze with a Hunting Scene in a Landscape, from Livre Nouveau de Fleurs Tres-Util",France,Date Unknown,Prints
"Horizontal Panel with a Row of Flowers Above a Frieze with a Battle Scene in a Landscape, from Livre Nouveau de Fleurs Tres-Util",France,Date Unknown,Prints
"Horizontal Panel with a Row of Flowers Above a Frieze with Figures in a Landscape, from Livre Nouveau de Fleurs Tres-Util",France,Date Unknown,Prints
"Horizontal Panel with a Row of Flowers Above a Frieze with Figures in a Landscape, from ""Livre Nouveau de Fleurs Tres-Util""",France,Date Unknown,Prints
"Horizontal Panel with a Row of Flowers Above a Frieze with a Battle Scene in a Landscape, from ""Livre Nouveau de Fleurs Tres-Util""",France,Date Unknown,Prints
Illustration to the poem “The Flower’s Revenge” (Der Blumen Rache – Ferdinand Freiligrath),Null,Date Unknown,Prints
Summer Flowers,Null,Date Unknown,Paintings
"Horizontal Panel with a Row of Flowers Above a Frieze with a Hunting Scene in a Landscape, from Livre Nouveau de Fleurs Tres-Util",France,Date Unknown,Prints
Flowers,Null,Date Unknown,Paintings
Millefleur Carpet with a Flower-and-Trellis Pattern,India,Date Unknown,Textiles
Flowers and Birds of the Four Seasons,Japan,17th - 19th Century,Paintings
"Arch of Morning Glories, Study for ""A Basket of Flowers""",Null,Date Unknown,Drawings
Sutra Cover with Pattern of Phoenixes among Flowers,China,14th - 17th Century,Textiles
"Friezes with Birds, Flowers and Meandering Wreaths and Scrolls (5)",Null,Date Unknown,Prints
[Woman in Flowered Bonnet],Null,Date Unknown,Photographs
Vase with flowers,United States,Date Unknown,Not Assigned
Vase with flowers,United States,Date Unknown,Not Assigned
Tile with fish and lotus flowers in a canal,Egypt,13th - 11th Century BCE,Not Assigned
Furniture Cover with Pattern of Flowers and Sonorous Stones,China,17th - 20th Century,Textiles
Panel with Flowers in Vase and Scholar's Objects,China,17th - 20th Century,Textiles
"How to Know the Wild Flowers: A Guide to the Names, Haunts and Habits of Our Common Wild Flowers",Null,Date Unknown,Books
"012 (from the series ""Flowers"")",Null,Date Unknown,Photographs
"Cornflower: Modesty, from the series Floral Beauties and Language of Flowers (N75) for Duke brand cigarettes",Null,Date Unknown,Prints
“Fourth Month” from Fujiwara no Teika’s “Birds and Flowers of the Twelve Months”,Japan,17th - 19th Century,Paintings
Winged passionflower (Passiflora alata),Null,Date Unknown,Drawings
"Gilly-flower: Unfading Beauty, from the series Floral Beauties and Language of Flowers (N75) for Duke brand cigarettes",Null,Date Unknown,Prints
"Poppy: Consolation, from the series Floral Beauties and Language of Flowers (N75) for Duke brand cigarettes",Null,Date Unknown,Prints
"Snowball: Thoughts of Heaven, from the series Floral Beauties and Language of Flowers (N75) for Duke brand cigarettes",Null,Date Unknown,Prints
"Clematis: Mental Beauty, from the series Floral Beauties and Language of Flowers (N75) for Duke brand cigarettes",Null,Date Unknown,Prints
"Jack Rose: Bashful Love, from the series Floral Beauties and Language of Flowers (N75) for Duke brand cigarettes",Null,Date Unknown,Prints
"Forget-Me-Not, from the series Floral Beauties and Language of Flowers (N75) for Duke brand cigarettes",Null,Date Unknown,Prints
"Canterbury Bells: Constancy, from the series Floral Beauties and Language of Flowers (N75) for Duke brand cigarettes",Null,Date Unknown,Prints
"Wild Rose: Poetry, from the series Floral Beauties and Language of Flowers (N75) for Duke brand cigarettes",Null,Date Unknown,Prints
"Geranium: Recall, from the series Floral Beauties and Language of Flowers (N75) for Duke brand cigarettes",Null,Date Unknown,Prints
"Pansy: Thoughtfulness, from the series Floral Beauties and Language of Flowers (N75) for Duke brand cigarettes",Null,Date Unknown,Prints
"Fuchsia: Taste, from the series Floral Beauties and Language of Flowers (N75) for Duke brand cigarettes",Null,Date Unknown,Prints
"Primrose: Flirtation, from the series Floral Beauties and Language of Flowers (N75) for Duke brand cigarettes",Null,Date Unknown,Prints
"Honeysuckle: Fidelity, from the series Floral Beauties and Language of Flowers (N75) for Duke brand cigarettes",Null,Date Unknown,Prints
"White Violet: Candor, from the series Floral Beauties and Language of Flowers (N75) for Duke brand cigarettes",Null,Date Unknown,Prints
"Buttercups: Riches, from the series Floral Beauties and Language of Flowers (N75) for Duke brand cigarettes",Null,Date Unknown,Prints
"Cyclamen: Diffidence, from the series Floral Beauties and Language of Flowers (N75) for Duke brand cigarettes",Null,Date Unknown,Prints
"Magnolia: Magnificence, from the series Floral Beauties and Language of Flowers (N75) for Duke brand cigarettes",Null,Date Unknown,Prints
"Holly: Foresight, from the series Floral Beauties and Language of Flowers (N75) for Duke brand cigarettes",Null,Date Unknown,Prints
"Acacia: Chaste Love, from the series Floral Beauties and Language of Flowers (N75) for Duke brand cigarettes",Null,Date Unknown,Prints
"Hollyhock: Ambition, from the series Floral Beauties and Language of Flowers (N75) for Duke brand cigarettes",Null,Date Unknown,Prints
"Rhododendron: Expectancy, from the series Floral Beauties and Language of Flowers (N75) for Duke brand cigarettes",Null,Date Unknown,Prints
"Narcissus: Self Love, from the series Floral Beauties and Language of Flowers (N75) for Duke brand cigarettes",Null,Date Unknown,Prints
"Chrysanthemum: Resignation, from the series Floral Beauties and Language of Flowers (N75) for Duke brand cigarettes",Null,Date Unknown,Prints
"Marigold: Disdain, from the series Floral Beauties and Language of Flowers (N75) for Duke brand cigarettes",Null,Date Unknown,Prints
"Carnation: Pride, from the series Floral Beauties and Language of Flowers (N75) for Duke brand cigarettes",Null,Date Unknown,Prints
"Lilacs: First Love, from the series Floral Beauties and Language of Flowers (N75) for Duke brand cigarettes",Null,Date Unknown,Prints
"Pomegranate: Come to Me, from the series Floral Beauties and Language of Flowers (N75) for Duke brand cigarettes",Null,Date Unknown,Prints
"Gladiola: On the Defensive, from the series Floral Beauties and Language of Flowers (N75) for Duke brand cigarettes",Null,Date Unknown,Prints
"Heliotrope: Devotion, from the series Floral Beauties and Language of Flowers (N75) for Duke brand cigarettes",Null,Date Unknown,Prints
"Dahlia: Dignity, from the series Floral Beauties and Language of Flowers (N75) for Duke brand cigarettes",Null,Date Unknown,Prints
"Tea Rose: Jealousy, from the series Floral Beauties and Language of Flowers (N75) for Duke brand cigarettes",Null,Date Unknown,Prints
"Begonia: Originality, from the series Floral Beauties and Language of Flowers (N75) for Duke brand cigarettes",Null,Date Unknown,Prints
"Orange Blossom: Maidenly Reserve, from the series Floral Beauties and Language of Flowers (N75) for Duke brand cigarettes",Null,Date Unknown,Prints
"Cactus: Beware, from the series Floral Beauties and Language of Flowers (N75) for Duke brand cigarettes",Null,Date Unknown,Prints
"Azalea: Attraction, from the series Floral Beauties and Language of Flowers (N75) for Duke brand cigarettes",Null,Date Unknown,Prints
"China Aster: Versatility, from the series Floral Beauties and Language of Flowers (N75) for Duke brand cigarettes",Null,Date Unknown,Prints
"Iris: Sweet Message, from the series Floral Beauties and Language of Flowers (N75) for Duke brand cigarettes",Null,Date Unknown,Prints
"Cobaea: Gossip, from the series Floral Beauties and Language of Flowers (N75) for Duke brand cigarettes",Null,Date Unknown,Prints
"Nasturtium: Patriotism, from the series Floral Beauties and Language of Flowers (N75) for Duke brand cigarettes",Null,Date Unknown,Prints
Dish with flowering sprays,China,17th - 20th Century,Enamels
Flowers and Garden Rock,China,13th - 17th Century,Textiles
Vase with flowers,Null,Date Unknown,Pottery
Panel with Flowers and Pods Between Pairs of Gold Rectangles with Blue Scrolls,Null,Date Unknown,Drawings
"Repetitive Pattern with a Door, an Umbrella Stand, and a Basket of Flowers",Null,Date Unknown,Drawings
Horizontal Pattern with Decorative Flowers on a Checkered Pedestal and Ornamental C-Scrolls,Null,Date Unknown,Drawings
Horizontal Panel with Pattern of Flowers in Hanging Blue Vases,Null,Date Unknown,Drawings
Horizontal Panel with Vertical Gold Lines and Scrolls and Decorative Flowers with Orange Circles,Null,Date Unknown,Drawings
Horizontal Panel with Intersecting Diagonal Wedges Over Decorative Flowers Formed by Layered Undulating Lines,Null,Date Unknown,Drawings
Dish with long-tailed birds and flowers,China,13th - 17th Century,Lacquer
"Still Life with Flowers, a Snail and Insects",Null,Date Unknown,Drawings
Autumn Flowers in a Bamboo Basket,Japan,17th - 19th Century,Paintings
"Snowdrop (Galanthus Nivalis), from the Flowers series for Old Judge Cigarettes",Null,Date Unknown,Prints
"Dahlia (Dahlia Coccinea), from the Flowers series for Old Judge Cigarettes",Null,Date Unknown,Prints
"Tulip (Tulipa Gesheriana), from the Flowers series for Old Judge Cigarettes",Null,Date Unknown,Prints
"Azalia (Azalea Indica), from the Flowers series for Old Judge Cigarettes",Null,Date Unknown,Prints
"Pinks (Dianthus Caryophyllus), from the Flowers series for Old Judge Cigarettes",Null,Date Unknown,Prints
"Pansy (Viola tricolor), from the Flowers series for Old Judge Cigarettes",Null,Date Unknown,Prints
"Daffodils (Narcissis Pseudo-Narcissus), from the Flowers series for Old Judge Cigarettes",Null,Date Unknown,Prints
"Bride Rose, from the Flowers series for Old Judge Cigarettes",Null,Date Unknown,Prints
"Bluebells (Campanula rotundifolia), from the Flowers series for Old Judge Cigarettes",Null,Date Unknown,Prints
"Iris (Iris Germanica), from the Flowers series for Old Judge Cigarettes",Null,Date Unknown,Prints
"Mignonette (Reseda Odorata), from the Flowers series for Old Judge Cigarettes",Null,Date Unknown,Prints
"Snowball (Viburnum Oputus), from the Flowers series for Old Judge Cigarettes",Null,Date Unknown,Prints
"Clover (Trifolium pratense), from the Flowers series for Old Judge Cigarettes",Null,Date Unknown,Prints
"Heliotrope (Heliotropium Peruvianum), from the Flowers series for Old Judge Cigarettes",Null,Date Unknown,Prints
"Magnolia (Magnolia Soulangeana), from the Flowers series for Old Judge Cigarettes",Null,Date Unknown,Prints
"Quaker Lady (Houstonia caerulea), from the Flowers series for Old Judge Cigarettes",Null,Date Unknown,Prints
"Hollyhocks (Althea rosea), from the Flowers series for Old Judge Cigarettes",Null,Date Unknown,Prints
"Bachelor's Button (Centaurea Cyanus), from the Flowers series for Old Judge Cigarettes",Null,Date Unknown,Prints
"Begonia (Begonia Rex), from the Flowers series for Old Judge Cigarettes",Null,Date Unknown,Prints
"Wild Rose (Rosa Lucida), from the Flowers series for Old Judge Cigarettes",Null,Date Unknown,Prints
"Forget-Me-Not (Myosotis palustris), from the Flowers series for Old Judge Cigarettes",Null,Date Unknown,Prints
"Tuberose (Pollanthes tuberosa), from the Flowers series for Old Judge Cigarettes",Null,Date Unknown,Prints
"Verbena (Verbena chamaedrifolia), from the Flowers series for Old Judge Cigarettes",Null,Date Unknown,Prints
"Chrysanthemum (Chrysanthemum Indicum), from the Flowers series for Old Judge Cigarettes",Null,Date Unknown,Prints
"Primrose (Primula Vulgaris), from the Flowers series for Old Judge Cigarettes",Null,Date Unknown,Prints
"Jessamine (Jasminum Officinale), from the Flowers series for Old Judge Cigarettes",Null,Date Unknown,Prints
"Morning Glory (Convolvalus arrensis), from the Flowers series for Old Judge Cigarettes",Null,Date Unknown,Prints
"Cardinal (Lobelia cardinalis), from the Flowers series for Old Judge Cigarettes",Null,Date Unknown,Prints
"Buttercups (Ranunculus bulbosus), from the Flowers series for Old Judge Cigarettes",Null,Date Unknown,Prints
"Lilac (Syringa Vulgaris), from the Flowers series for Old Judge Cigarettes",Null,Date Unknown,Prints
"Clemantis (Clemantis Flammula), from the Flowers series for Old Judge Cigarettes",Null,Date Unknown,Prints
"Mock orange (Philadelphus coronarius), from the Flowers series for Old Judge Cigarettes",Null,Date Unknown,Prints
"Moonflower (Ipomoea Bona Nox), from the Flowers series for Old Judge Cigarettes",Null,Date Unknown,Prints
"Sweet William (Dianthus barbutas), from the Flowers series for Old Judge Cigarettes",Null,Date Unknown,Prints
Flowers in a Stone Vase,Null,Date Unknown,Paintings
Flowers by a Stone Vase,Null,Date Unknown,Paintings
Flowering Plants and Vegetables of the Four Seasons,Japan,17th - 19th Century,Paintings
Kimono with Cockscomb Flowers,Japan,19th Century,Clothing
"Study for ""Flower Fountain""",Null,Date Unknown,Drawings
"Sweet-Peas: Goodbye Sweetheart!, from the series Floral Beauties and Language of Flowers (N75) for Duke brand cigarettes",Null,Date Unknown,Prints
"Moss Rose: Confession of Love, from the series Floral Beauties and Language of Flowers (N75) for Duke brand cigarettes",Null,Date Unknown,Prints
"Morning Glories: Bonds of Affection, from the series Floral Beauties and Language of Flowers (N75) for Duke brand cigarettes",Null,Date Unknown,Prints
Sutra Cover with Pattern of Various Flowers with Leaves and Scrolling Stems,China,14th - 17th Century,Textiles
Basket of Flowers with Bamboo Blind,Japan,17th - 19th Century,Prints
Horizontal Panel with a Pattern of Three Decorative Blue Flowers on a Semi-Circle Between Interlacing Green Lines,Null,Date Unknown,Drawings
Vertical Panel with a Vase of Flowers Resting on the Corner of a Gold and Blue Border,Null,Date Unknown,Drawings
Horizontal Panel with a Pattern of Oval Flowers on a Green Frame with a Blue and Brown Striped Background,Null,Date Unknown,Drawings
"Vertical Panel with Decorative Floral Designs in Teal, Yellow, and Magenta, with Budding Pink Flowers Above",Null,Date Unknown,Drawings
Vertical Panel with Decorative Flowers and Leaves Growing from a Geometrical Gold and Orange Stem,Null,Date Unknown,Drawings
"Horizontal Panel with a View of Decorative Flowers in an Oval Frame, Between a Two-Layered Horizontal Band",Null,Date Unknown,Drawings
Horizontal Panel with a Pattern of Five-Petalled Purple Flowers Surrounded by Black Linework,Null,Date Unknown,Drawings
Symmetrical Panel with Three Fan-Shaped Flowers and an Ornamental Band in Yellow and Green,Null,Date Unknown,Drawings
"Vertical Panel with a Repetitive Pattern of Groupings of Decorative Flowers, Forming Rows Connected by Vines",Null,Date Unknown,Drawings
Horizontal Panel with Pattern of Decorative Flowers in a Geometric Vases Alternating with Sections of Fence,Null,Date Unknown,Drawings
"Horizontal Panel with Green Lines Forming V-Shaped Areas Filled with Decorative Flowers in Blue, Red and Yellow, Combined with Green and Yellow Latticework Above",Null,Date Unknown,Drawings
Repetitive Pattern with Yellow Petalled Flowers and Alternating Orange and Green Vertical Stripes in the Background,Null,Date Unknown,Drawings
Incense Burner in the Shape of a Melon with Autumn Flowers and Grasses,Japan,17th - 19th Century,Lacquer
Vase decorated with flowers of the four seasons,China,17th Century,Ceramics
Birds and Flowers,Korea,14th - 20th Century,Paintings
Birds and Flowers of the Twelve Months with Chinese Calligraphy,Japan,14th - 16th Century,Paintings
Writing Box with Yellow Rose Flowers and Rushing Stream,Japan,17th - 19th Century,Lacquer
"Ashoka Tree Flower, Leaves, Pod, and Seed",India,Date Unknown,Codices
Birds and Flowers,Japan,17th - 19th Century,Paintings
"(Maquette for) ""Flower Fountain""",Null,Date Unknown,Sculpture
Broken Flowers and Grass,Null,Date Unknown,Drawings
"Textile Design with Round Dotted Frames with Bundles of Stylized Flowers and Small Flowers, Flower Buds and Branches with Leaves",Null,Date Unknown,Drawings
Flowers in a Blue Vase,Null,Date Unknown,Paintings
"Album Page with Decoupe Vase of Flowers, Insects, and Birds",India,Date Unknown,Codices
"Pink and white flowers, bakery card from the Picture Cards series (D63), issued by The Heissler & Junge Company",Null,Date Unknown,Prints
"Kimono with Design of Lilies, Chinese Bellflowers, and Pinks",Japan,20th Century,Textiles
Textile Design with a Floral Design of White and Brown Stylized Flowers and Flower Buds Over a Yellow Background,Null,Date Unknown,Drawings
Cotton Tree Flowers,India,Date Unknown,Codices
"Still Life with Flowers, Fan, and Pearls",Null,Date Unknown,Paintings
"Textile Design with Small Stylized Flowers and Flower Buds of Red, White and Dark Blue Color over a Light Blue Ground",Null,Date Unknown,Drawings
Textile Panel with Birds amid Flowering Vines,Iran,Date Unknown,Textiles
"Friezes with Birds, Flowers and Meandering Wreaths and Scrolls (7)",Null,Date Unknown,Prints
Winter Flowers,China,14th - 17th Century,Textiles
Flowers and Goldfish,Japan,17th - 19th Century,Paintings
Basket of flowers with garlands,Null,Date Unknown,Paintings
[Nude Draped with Cloth Surrounded by Flowers],Null,Date Unknown,Photographs
"Tiered Box with Figural Scenes, Flowers, and Birds",China,14th - 17th Century,Lacquer
Quail and Autumn Flowers,Japan,17th - 19th Century,Paintings
"Square Panel with Vegetal Scrollwork, Flowers and Fruits",Null,Date Unknown,Prints
"Textile Design with Horizontal Stips of Stylized Flowers Over a Background with Interlacing Branches with Small Rosettes, Flower Buds and Leaves",Null,Date Unknown,Drawings
Textile Design with a Floral Pattern with Bundles of Stylized Flowers and Flower Buds and a Large Leaf,Null,Date Unknown,Drawings
Flowers by the Sea,Null,Date Unknown,Paintings
"Scenic house with yellow and blue flowers, bakery card from the Picture Cards series (D63), issued by the Vienna Model Bakery",Null,Date Unknown,Prints
"Deep Plate with Eight-Lobed Rim and Decoration of Birds, Flowers and Insects",Japan,17th - 19th Century,Ceramics
Piece from a Kosode with Pattern of Scattered Snow Roundels (Yukiwa) Filled with Small Flowers,Japan,17th - 19th Century,Textiles
[Flowers Arranged in a Glass Vase],France,Date Unknown,Prints
Flowers in a Vase,Null,Date Unknown,Prints
"Basket of Flowers from the Book of Several Baskets of Flowers, Designed and Engraved by Baptiste Monnoyer (Livre de Plusieurs Corbeilles de Fleurs dessiné et gravé par Baptiste Monnoyer)",Null,Date Unknown,Prints
Flowers,Null,Date Unknown,Paintings
"Landscapes, Flowers and Birds",China,14th - 17th Century,Paintings
Flowers,Null,Date Unknown,Paintings
Little Girl with Flowers (Amelia Palmer),Null,Date Unknown,Not Assigned
Vase of Flowers,Null,Date Unknown,Paintings
Flowering Plant,Null,Date Unknown,Paintings
Landscapes and Flowers,China,17th - 20th Century,Paintings
Birds and Flowers of Autumn and Winter,Japan,17th - 19th Century,Paintings
"Tsujigahana Textile with Horizontal Stripes, Flowering Plants, Fans, Snowflakes, Clouds, and Bellflowers",Japan,16th - 17th Century,Textiles
Hollyhocks and Prince’s-Feather Flowers,Japan,17th - 19th Century,Paintings
Birds and Flowers of the Four Seasons,Japan,17th - 19th Century,Paintings
The Month of May: An Elegant Man Holding a Flower and Lute,Null,Date Unknown,Drawings
Writing Box with Design of Chinese-Style Flower Arrangement (Inside: Design of Geese),Japan,19th - 20th Century,Lacquer
Wild Flowers,Null,Date Unknown,Photographs
Design for Fantasy Branches of Flowers,Null,Date Unknown,Drawings
Flowers and Snail,Null,Date Unknown,Prints
Magnolia Flowers,Null,Date Unknown,Prints
Hotei Flowers,Null,Date Unknown,Prints
Grandmother's Flowers,Null,Date Unknown,Prints
Basket of Flowers,Null,Date Unknown,Prints
Design of Flowers,Japan,17th - 19th Century,Prints
"Flowering Plants, Cat and Three Kittens",Null,Date Unknown,Paintings
Vase with flowers,Null,Date Unknown,Woodwork
Mold (Square-Shaped with Flower),Null,Date Unknown,Sculpture
Boy Holding Flowers,Null,Date Unknown,Drawings
Design with Flowers,Null,Date Unknown,Drawings
Two Flowers,Null,Date Unknown,Prints
Flowers,China,17th - 20th Century,Paintings
Drunk with Flowers,Japan,17th - 19th Century,Prints
Yellow Basket of Flowers,Null,Date Unknown,Not Assigned
Bottle with flowers,China,17th - 20th Century,Ceramics
Flowers,Null,Date Unknown,Drawings
Dish with flowers,China,18th Century,Ceramics
Camellia Flowers,China,14th - 19th Century,Paintings
Dish with flowers,China,17th - 20th Century,Ceramics
Vase with bird and flowers,China,17th - 20th Century,Hardstone
Vase with flowers,China,17th - 20th Century,Ceramics
Vase with flowers,China,17th - 20th Century,Ceramics
Bowl with flowers,China,17th - 20th Century,Ceramics
Netsuke of Assorted Flowers,Japan,17th - 20th Century,Netsuke
Birds and Flowers,Japan,17th - 19th Century,Prints
"Birds, Insects and Flowers",China,17th - 20th Century,Paintings
Flowers (from Sketchbook),Null,Date Unknown,Not Assigned
Flowers (from Sketchbook),Null,Date Unknown,Not Assigned
Album Containing Twelve Paintings of Flowers,Null,Date Unknown,Paintings
Initial letter I with flowers,Null,Date Unknown,Prints
Vase of Flowers,Null,Date Unknown,Drawings
Flowering Plant,Null,Date Unknown,Paintings
Studies of Flowers,Null,Date Unknown,Drawings
Flowers and Bamboo,Japan,17th - 19th Century,Paintings
Leaves and Flowers,Null,Date Unknown,Drawings
Flowers of May,Null,Date Unknown,Prints
White Flowers in a Vase,France,Date Unknown,Drawings
Flowers in a Vase,France,Date Unknown,Drawings
