Title,Country,Period,Classification,_ - description
Lappet,Belgium,19th Century,Textiles,Lattet of so-called Point appliqué. Bobbin made flowers on machine made net.
Fan,Null,19th Century,Textiles,Black Chantilly lace with smoked mother-of-pearl sticks decorated with sprays of flowers and leaves in silver and gilt damascene technique. Black cord with long black and gold tassel attached to handle. Costume Acc.
Toile Fragment,France,18th - 19th Century,Textiles,"Toile, fragment, copper plate print in rose, from Le Carrousel design. The motif is a flower-filled urn on a vine-clad, trellised balustrade. On the face if the column on which the urn stands is the monogram in a lozenge shield. Below and to the left, clumps of leafy branches."
Sword guard (tsuba),Japan,18th Century,Arms and Armor,"Sword guard, Kaneiye school, quadrilobed. Low relief oxherd at a waterfall meeting the man who dreamt of the Emperor on obverse; geese, flowers and stream on reverse. Carved and engraved design; gold and silver inlays; brown patina; rough rim. Three blade holes; two lateral holes ringed with brass."
Sword guard (tsuba),Japan,17th - 18th Century,Arms and Armor,"Sword guard, Higo school, circular. Negative silhouette of flower and two cloves; surface of radiating line (Amida Yasuri). Pierced and engraved design; black patina; smooth rim. Two black holes."
Panel,France,19th Century,Textiles,"Toile, length of, printed in plum and yellow with a large scale repeat design of birds, flowers, and baskedt of fruit."
Coat,India,18th Century,Textiles,"Green wool coat embroidered in silver and gold. Body of coat made of gored sections with an all-over design of single blossoms embroidered in gold. On either side of front opening a shaped panel solidly embroidered in a design of stylized floral sprays and arabesque. A large panel of same design covers three quarters of back of coat. Opening and bottom edged with a narrow n\band embroidered with pear forms and blossoms, and bottom\m corners, font and back, with large flower-filled pears. Dolman sleeves with embroidered epaulet sections. Lining of colored, striped cotton."
Basket,United States,20th Century,Basketry,"Miniature round basket with cover; coiled. Design consists of rows of horizontal stripes broken by four vertical red stripes. Cover has a flower design in black and red. Colors are black, red and natural."
Basket,United States,20th Century,Basketry,shallow basket with flared sides; coiled. Design consists of central devil's claw from which emanate three squash blossom petals which enlarge concentrically to the rim. In between the petals the design is worked to resemble a flower petal. Colors are natural and black.
Basket,United States,20th Century,Basketry,"miniature basket, very shallow with sloping sides; finely woven, design consists of a flower with fifteen petals in natural fiber against a black background; the main part of the flower is the bottom of the basket, while the petals fill the sides"
Buddhist Priest Robe,China,17th - 18th Century,Clothing,"Buddhist priest robe, kesi, Kangxi blue. An exceptionally fine example of kesi weaving with five-clawed dragons in gold and individual flower motifs in shades of red and pink. Patched character of robe achieved with narrow bindings of yellow satin."
Rug with vases and peacocks,Iran,19th Century,Floor Coverings,"rug, dark blue field carrying two vases flanked by stylized pale blue peacocks at the ends; stylized flowers spring from the vases and are scattered throughout the field; small, stiffly drawn animals appear at intervals; three borders, the main one carrying a running flower and leaf design in shades of blue on a red ground; pile worn to warp in places; cotton warp; Selma knot; woven fabric"
Basket,United States,20th Century,Basketry,Saucer-shaped basket; coiled. Design consists of a modified fret pattern in successive rows that forms a four-petal flower. Colors are natural and black.
Basket,United States,20th Century,Basketry,Miniature shallow basket; coiled. Design consists of a series of rhombiodal figures produced by crossing three sets of radial curves. It results in flower-like pattern. Colors are natural and black.
Basket,United States,20th Century,Basketry,Saucer-shaped basket in crud coilwork. Design consists of checkered areas in black and natural (probably represents sunflower motif.)
Basket,United States,20th Century,Basketry,"Oval basket in heavy coilwork. Design consists of double row of brown triangles, possibly representing flower petals. Colors are brown and natural."
Cap,Belgium,18th Century,Textiles,Cap of Point d'Anleterre a brides with ground of vrai réseau. Modes of oeil de perdrix design. Design of flower basket flanked with sprays and garlands of flowers.
Border,Italy,17th Century,Textiles,Strip of Rose Point lace known as Point de Venise. the pattern is a scrolling design terminating in conventional leaves and flowers with occasional raised work. Ground of brides picotées.
Shawl (kussaba),India,18th Century,Textiles,"Kussaba, or square shawl. Elaborate all-over design of floral arabesques and trailing vines in shade of red, green, yellow, and blue. Black center with embroidered cartouche. Border of flowering shrub, blossoms, arabesques, with supplementary border of strips of fringed wool of various colors. An exceptionally fine example of weaving, with two sides almost identical in appearance. Several holes and tears appear in border. Cf. 30.62.4 which Mrs. Bovey thinks is the same and possibly woven by the same hand. 42.48 purchased in Pasadena; 30.62.4 at Liberty's"
Border,France,18th Century,Textiles,Strip of Binche with a pattern of naturalistic flowers.
Brocade Fragment,China,14th - 17th Century,Textiles,Brocade fragment with precious image flower in gold on purplish brown ground (Pao Hsing Hua). Faded and soiled.
Manchu Prince's Semiformal Twelve-Symbol Court Robe,China,18th Century,Clothing,"Emperor's twelve-symbol robe of fine k'ossu in shades of blue and white. Nine five-clawed dragons, those in profile grasping the Heavenly Jewel. This robe, of the blue color worn in sacrifice to the Heavens, bears some of the twelve ancient ornaments reserved for the emperor alone; the sun, the moon, and the constellation are present. Others appear only in part toward side seams of garment, indicating that the robe was cut down - perhaps from K'ang Hsi for Yung Cheng? Border pattern of rather short slanting waves, topped with floral forms where stripes curl into waves, is similar to border in 42.8.9. Loosely drawn cloud forms, bats, and Happy Augury signs in ground. Note single flower springing from waves to right and left of mountain motif in fornt and back- collar, band, and cuffs of same motifs on ground of darker blue k'ossu. Coat slit at sides and lined with light blue silk."
Robe,China,19th Century,Clothing,"Theatrical robe of palest lavendar satin with couched and embroidered applique designs in gold, silver, green, and peacock blue silk threads. In the field two large gold four-clawed gold dragons with bulging green glass eyes and studded with mirror and metal studs. Below dragons, front and back, two gold fish in same technique. On sleeves silver thread butterflies and gold thread frogs, also with studs and green glass eyes. Surrounding these animals in the field are embroidered applique peonies and single clouds. Cuffs, collar-band and border of bright blue satin with appliqued flowers of couched silver threads, and shaped, embroidered applique medallions of white satin. Large silvered studs scattered liberally over ground and along all borders. Lining of coarse linen. Robe boned under arms and fitted with deep satin loops- for a belt? Inscription inside front."
Theatrical woman's robe,China,19th Century,Clothing,"Actor's robe, imitating a priest robe, made up of pieces of satin in shades of blue, pink, and pale lavendar, and embroidered with butterflies, flower sprays, and good luck characters in gold and colored silk threads. Cuffs and shaped border of white satin embroidered with similar designs at sides; an inner border of red satin embroidered with bats, good luck characters and Taoist symbols. In center back a shaped medallion containing the appliqued figure of a god surrounded by floral sprays. Satin, stem, laid, and outline stitch. Lining of coarse pink cotton. Inscription in center back (lining)."
Manchu Emperor’s ceremonial twelve-symbol jifu court robe,China,18th Century,Clothing,"Emperor's ceremonial twelve-symbol coat of yellow k'ossu with nine five-clawed dragons, those in profile clasping the Heavenly Jewel. Background of loosely drawn cloud forms, bats, and good luck emblems in shades of blue, green, violet, red, rose, and gold. At bottom wide border of tossing waves dotted with flowers, flower vases, swastika and other emblems. At sides, center front and back where coat is slit, small areas of slanting, wavy stripes. Similar reduced border at elbows, where sleeve is extended by a strip of ribbed yellow silk finished with cuffs of dark blue k'ossu. Band of same dark blue k'ossu around neck and down front to under arm. Coat lined with figured blue silk and lightly interlined. Yellow ceremonial coats worn in sacrifices to earth."
Actor's coat,China,19th Century,Clothing,"Actor's coat of green satin embroidered in saitn stitch with 4-clawed dragons flowers, Foo dogs, etc. Shaped panels front and back, with over-hanging apron-like panel in front. Lined with faded pink canvas. Coarse workmanship. Inscription in front."
Basket,United States,20th Century,Basketry,Miniature flat round plaque; coiled. Design consists of a flower pattern with four central petals and eight outer petals. Colors are natural and black.
Panel,France,18th - 19th Century,Textiles,"Toile, fragment of, with statue of Jeanne d'Arc on a pedestal bearing her name and surrounded by large sprays of leaves and flowers. The ground between the repeats is dotted with stars. Copperplate engraving in eggplant on white. Strip pieced at lower right corner."
Shawl,India,19th Century,Textiles,"Shawl, of patchwork, embroiderd in a design of star-shaped medallions alternately red and yellow, red and green. expanding outward from center of field. Double border of flower-filled cones and floral sprays. Embroidered cones in corners of field. Material, design, color, and execution of inferior quality. #16 in exhibition. Embroidery."
Shawl,Iran,19th Century,Textiles,"Shawl, made up of remounted parts of woolen shawl or curtain. White center with red outer border embroidered in horizontal darn stitch in a design of floral arabesque and cones. Shaped medallion of same design applied to center of field. Inner border of red flowering shrubs. Lining of brick red woolen. The embroidery is very finely done and imitates weaving. Some tears in border. #5 of exhibition. Embroidery."
Shawl,India,19th Century,Textiles,"Shawl, hand-loom woven in one piece with the border attached. Design of a 'moon' and four quarters in shades of yellow, red, green, and blue. The field surrounding central 'moon' medallion is filled with diagonal rows of flowered cones on a black ground. Lining of scarlet wool. Type of Indian Square shawl is called a 'chandar'. #6 of exhibition."
WOMAN'S SKIRT,China,19th Century,Clothing,"Skirt of ivory white figured silk, the side sections of tacked-down accordion pleats embroidered in the lower sections with tall sprays of flowers in cerise, purple, blue, and green. Main panels embroidered in satin stitch with a landscape design of birds, bats, flowers, mountains, and trees, in shades of blue, green, pink, cerise, yellow lanendar and orange. Main panels and bottom bordered with a wide band of black satin with pipings of light blue and grey silk. Bottom has a second inner border of white satin ribbon of floral design with blue borders. Main panels lined with thin, cerise silk."
Manchu Emperor's Semiformal Twelve-symbol Court Robe (chi-fu),China,18th Century,Clothing,"Imperial 12-symbol robe of yellow twilled silk embroidered with nine 5-clawed dragons in gold, those in profile grasping Heavenly Jewel. Agianst an embroidered diaper back-ground of blue swastikas and light jade green quatrefoil forms containing a conventionalized four-petalled flower, are distributed clouds, bats, long life characters in shades of blue, mauve, green, white, and rose. The twelve symbols embroidered with the same colors with the addition of orange in the millet. Border with unusually wide stripe section in slanting, slightly wavy stripes in tones of body colors. Above a line of scattered cloud forms the waves curl in short roll. Swastika, Taoist symbols, and branches of coral appear in the waves. Border pattern repeated on sleeve, where sleeve continues with a length of the plain yellow twilled silk and ends in dark blue silk cufs embroiderd with same design as body of robe. Design repeated in collar band. Embroidery chidfly in satin stitch, but couched stem, knot, and loop stitches also used. Robe slit at sides and lined with thin, gold-colored damask."
Chair cover,China,17th - 18th Century,Textiles,"Chair cover of brick-red k'ossu that has faded in exposed areas. In the top section, in a loose cloud field, a white crane. Just below, a medallion of gold k'ossu with lotus flower and various symbols. In the surrounding field are Buddhist symbols. Colors include shades of blue, green, pink, tan, yellow and red. In the lower section, in a shaped medallion, two dragons of K'ang Hsi type in green and dark blue on a medium blue ground. Below, in a cloud field, a white crane and good luck symbols. At the bottom, the waves of the Eternal Sea. Colors include shades of blue, green, yellow, brown, black. Note the restored block area of clouds. Border of tan satin brocaded with dragons and clouds in colors and gold. Bindings of medium blue silk. Lining of gold colored figured silk."
Tibetan Wedding Skirt,China,19th Century,Clothing,"Tibetan Wedding (?) skirt made of strips of yellow, fuschia, lavendar, pink, green , orange, purple, iron red and rose brocaded satin, some with the designs in color. Hanging from the skirt, knife-pleated in side sections, are wavy embroidered strips, finished with bells, tassels, and pearls. Main panels have an elaborate design of applied embroidered borders, braids, applique silk flowers and rosettes on the main and bottom borders. Lining of thinblue silk; an extremely elaborate skirt of quality not often found. Embroidery done in many stitches satin needlepoint, loop, knoot, stem, etc."
WOMAN'S SKIRT,China,19th Century,Clothing,"Skirt of patterned green gauze with stitched accordian-pleated side sections. Main panels decorated with an elaborate shaped triple border the outer border of white silk embroidered with small sprays of flowers in loop stitch in shades of blue, green, violet, pink, orange and red; middle border of gold silk braid; inner border magenta silk braid with stylized flowers. the bottom of the skirt has four borders three corresponding to those of the panels and one of purple silk braid with stylized flowers. No lining."
Woman's Skirt,China,19th Century,Clothing,"Skirt made up of gored sides of colored silks of cloud pattern, each bordered with a strip of peacock blue satin and having a band of white, flowered braid terminating in fungus form on lower third of skirt. Main panels of red silk with cloud pattern, and an applique design of a sage and symbols embroidered in couched gold threads and satin stitch in colors. Main panels have elaborate shaped borders of blue satin, white satin embroidered with flowers, and symbols in colored silks; narrow, striped satin ribbon, and white silk braid with pattern of stylized flowers in colors. The same four borders trim the bottom of the skirt; lining of badly faded red-rose silk."
Skirt,China,19th Century,Clothing,"Skirt made up of colored silks of cloud pattern yellow, dark blue, apricot, white, red, light blue, grey, etc.; accordion-pleated in sigle sections. Main panels of brick red color with applique design of sage with flowers embroidered in couched gold threads and colored silks. Triple, shaped border of black satin embroidered in blue; white silk and pale blue silk braid with floral design in colors. Same triple border at bottom of skirt. Panels lined with green silk of diaper pattern."
WOMAN'S SKIRT,China,19th Century,Clothing,"Skirt of dark wine-red cut velvet. The silk sections are gored, bound with black satin, and have a design of peony branches in the border area. In the main panels a seated, five-clawed dragon, clouds, bats, and the Eternal Sea. Main panels and bottom have a double border the outer one of white satin embroidered in satin and couched stitch with flowers and clouds in gold threads and colored silks; the outer one of bright blue silk braid with stylized flower pattern. Lining of blue satin."
Table Frontal,China,14th - 17th Century,Textiles,"Altar frontal of pale brick red kesi with design representing a blue-scaled chilin in a field of flowers, large fat clouds, and symbols in shades of blue, green, pink, yellow, brown and grey. Across the top a band of watery, run-together clouds.(?) Note the bat, of finer, later kesi inset above cloud over chilin's head. Double border inner one of worn, all-over flower and cloud pattern of brocade in shades of light green, yellow, blue and pink; outer of gold and blue kesi of dragon and cloud pattern, perhaps originally part of a robe? The kesi weave is quite coarse. It has been badly worn, and is mended in places. Lining of yellow satin which has been pieced out."
Panel,China,17th - 18th Century,Textiles,"Panel of gold k'ossu with two seated five-clawed dragons in green, partially woven with peacock feathers. In the field loose, rather fat clouds in shades of blue, green, orange, brown, red, and pink. Below, waves and sacred mountain, the latter a restoration in painted k'ossu. In the waves are symbols of the Eight Precious Things. Triple applied border narrow binding of red satin; strip of green and gold brocade; main border of mulberry satin brocade with diaper of flowered lozenges and octagons which is bound in turn with a narrow stipe of blue satin brocade. Lining of gold colored satin damask of cloud pattern."
Skirt,China,19th Century,Clothing,"Skirt made up of lime green, coral, blue, apricot, plum, red, yellow and pink silk, gored in side sections and edged with applied bands of blue satin shaped at bottom ends, and mounted with narrow braid in lower third of skirt. Main panels have an applique design of figure and landscape medallions embroidered in couched gold threads and silk threads in colors. Elaborate shaped triple border black satin bound with blue; white satin embroidered with flowers, bats and swastika in gold and colored threads; multi-colored silk braid of floral geometric design. Bottom corners of main panels have cut-out scroll motif. Panels lined with thin blue silk."
Picture Hanging,China,16th - 17th Century,Textiles,"Large picture hanging of embroidered blue-black satin. The design represents the birthday of the Western Queen Mother who is being waited on by attendants bringing gifts. Landscape with branching pine trees, flowers, sun disc, and clouds. Embroidery in satin, laid, couched, and knot stitch in shades of blue, tan, brown, green, rust, pink, and pale gray. The hanging is made up of two widths of satin seamed length-wise. Binding of black satin with inner strip of very narrow red and black braid. Lining of gold-colored raw silk. Inscription on back. Former Classification: Textiles - Tapestry"
Throne Back Cover,China,18th Century,Textiles,"Throne back cover of imperial yellow k'ossu with a central, spaced panel set off from a border by a narrow band embroidered with running flower and leaf pattern and edged with narrow lines couched in blue silk threads. Design of central panel and border is scattered peonies, loyus, chrysanthemums, bats and swastikas and double peach in in shades of green, pale blue, pink, red, peach. The panel has adiaper ground of swastikas and shaped quatrefoil medallions containing a narcissus blossom. Cf. diaper in Ch'ien Lung and Chia Ch'ing imperial robes. Boxed border has a running floral and bat design. cf. 42.8.236, 238. Painted details. Lining of yellow raw silk with cloud patterns. Two inscriptions, one a seal, on back."
Chinese Woman's Unofficial Informal Robe,China,19th Century,Clothing,Robe or jacket of cut red velvet on a gold woven background. The design consists of large peony blossoms and butterflies. Shaped collar band and skirt borders of white satin embroidered in a landscape design with figures of women; couched and satin stitch in pastel colors. Wide sleeves with cuffs of pale blue cut velvet of Hundred Antiques design. Cuffs bordered at upper edge with a band of black satin embroidered with flowers and emblems in shades of blue. Leaf-green satin lining. A woman's robe.
Robe,China,19th - 20th Century,Clothing,"Outer coat of deep blue silk of dragon medallion pattern embroidered with large phoenix and peony medallions, floral sprays and butterflies in shades of bule, yellow, green, peach, pink and rust. Shaped collar-band, bottom and side border of white satin embroidered in a landscape design with figures of men and women. Wide sleeves with cuffs of brocaded yellow silk embroidered with large peony and lotus blossoms and butterflies in shades of red, pink and blue. Secondary border of grey satin embroidered with flowers and long-life characters in shades of blue. This coat opens all the way up front, and is probably a woman's coat. Lining of thin blue patterned silk. Cheifly satin and knot stitch."
Medallion Robe,China,19th - 20th Century,Clothing,"Woman's robe of medium blue satin embroidered with floral and figure medallions, symbols of the Eight Precious Things and of the Hundred Antiques in shades of red, green, blue, pink, yellow and gold threads. The three medallions on the back feature the gods of office, wealth, and longevity. Sone of the eight immortals appear in the other medallions. Shaped collar band and skirt borders of white satin embroidered with symbols, flowers, and figures in a landscape. Wide sleeves with cuffs of white satin embroidered in colors with medallions containing the Eight Immortals and with Buddhist and Taoist symbols and the Hundred Antiques. Inner border of dark blue satin embroidered with flowers and emblems in couched gold threads. Embroidery in satin, knot, outline, and couched stitch. Lining of thin pink silk. Note this robe obtained from a Polish countess whose husband was in the diplomatic service. It was given her by a Chinese as a mark of favor to her husband."
Skirt,China,19th Century,Clothing,"Skirt, pleated, of ivory silk brocaded with swastika and gourd design, Front and back panels decorated at bottom with an applique design, embroidered in loop(?) stitch showing figures of women in a flowery landscape. Shades of pink, yellow, green and blue. Main panels, and lower area of pleats, have an elaborate applied border consisting of a wide strip of blue satin and two narrow inner strips of braid, one yellow and one brocaded blue silk. Outer edges of panel, and edges of pleats have a narrow strip of dark blue satin edging the border proper. The main blue satin border embroidered at the bottom with various emblems in colores and couched threads. Lining of thin blue silk."
Skirt,China,19th Century,Clothing,"Skirt of red satin with accordion-pleated side sections. Front and back panels embroidered with a design of large blossoms, phoenix, and sea motif in couched silver threads on red satin gorund which have been applied to the skirt proper. Bottom of skirt and main panels have a border of purple satin embroidered with running design of phoenix and flowers in couched silver threads. Main panels lined with white satin."
Skirt,China,19th Century,Clothing,"Skirt of brick-red brocaded silk accordion pleated in side sections. Bottom and main panels have double border the outer one double folds of black satin; the inner one of bright blue satin embroidered in satin stitch with a running design of flowers in shades of jade green, turquoise, and lavendar. Within the border at bottom of front and back panels, an appliqued strip of blue silk embroidered with dragon, phoenix and sea motifs in metal threads couched with colored silks. Cf. 42.8.74(C.294) for same technique. From the belt, on side sections hang narrow strips of floral-embroidered blue satin temrninating in tassels and little silver bells. Panels lined with thin turquoise blue silk."
skirt,China,19th Century,Clothing,"Skirt of lavendar brocaded silk with accordion-pleated side sections which are embroidered, in lower section with rows of bats in sharp blue and green. Bottom of front and back panels embroidered with a seated, five-clawed dragon in gold; phoenix, bats, clouds and Eternal Sea in shades of sharp blue, green, purple and yellow. Main panels and bottom have wide border of bright blue satin emboridered in satin stich with phoenix medallions, long life symbols, bats and flowers in sharp blues, purple, green and red, Bottom corners of panels have bat design in cutwork. Inner border of green satin braid with floral design in blue. Panels lined with cerise silk."
Skirt,China,19th Century,Clothing,"Skirt of red velvet with gored side sections bound in black satin and embroidered in bottom area with peonies and butterflies in blue. Bottom of main panels embroidered with design of flowers and sacred vessels in shades of blue, green, pink and yellow in satin and knot stitch Main panels and bottom bordered with a stip of dark blue satin embroidered with running floral design in couched gold threads and shades of blue silk in satin stitch. Inner border of narrow light blue braid with floral design in red; outer binding of black satin. Lining of blue figured silk. Inscription on belt band and lining."
Manchu Empress's Semiformal Twelve-Symbol Court Robe (jifu),China,18th Century,Clothing,"Imperial twelve-symbol robe of yellow kesi with nine 5-clawed dragons in field, those in profile clutching the Heavenly Jewel. Diaper background of swastikas and quatrefoil medallions enclosing a conventionalized 4-petal flower, (Cf. 42.8.20) against which appear in addition to the twelve ancient symbols, two versions of long life character, loosely drawn clouds, and bats. Tones of blue, green, red, pink, mauve, violet, yellow, and pink. wide border of slightly wavy slanting stripes in body colors, separated by a line of regularly disposed tight clouds from the spray and overlapping waves in which appear Daoist emblems, swastikas, and branches of coral. Border design repeated on sleeve above a strip of pale corn-colored silk ending in cuffs of dark blue kesi of body design and edged with a strip of fretwork brocade in gold and black. Collar band of the same. Painted areas in wave section of border. Note embroidered eyes of dragons; similarity of design to 42.8.20; and the increased use of violet in color scheme. Appearence of olive green in clouds. Coat slit at sides and lined with thin yellow silk."
Skirt,China,19th Century,Clothing,"Skirt of brocaded(?) brick-red gauze accordion pleated in side sections, which are hung with many narrow strips of bright blue satin edged with light blue, and embroidered with a design of flowers and waves in gold and silver threads and couched with colored silk. (see 42.8.217) Main panels have wide double border of bright blue and white satin, with embroidered bird and flower design in strong blues, greens, purple and yellow, Border at bottom the same with the addition of a a third border of embroidered yellow satin. No lining."
Dragon robe,China,18th Century,Clothing,"Imperial 12-symbol robe of yellow k'ossu with diaper background of swastikas and quatrefoil medallions enclosing a conventionalized 4-petal flower. Cf. 42.8.20,22. Nine five-clawed dragons in gold, those in profile clutching the Heavenly Jewel. Against diaper ground appear two versions of long life character and bats. Colors shades of blue, green, yellow, red, mauve, pink, white, and pale grey, as well,as the twelve symbols. Wide border of slightly wavy slanting stripes in body colors separated by a line of regularly disposed tight cloud forms from rolling waves in which appear swastikas and Taoist emblems. border design repeated on sleeve above stripe of blistered-ribbed yellow silk ending in cuffs of dark blue k'ossu of body pattern which are edged with a strip of worn blue and gold brocade. Collar band of same. Some painting in wave section of border. Slit at sides and lined with thin yellow silk. Note general similarity of the design of this robe to 42.8.22 and 42.8.20, but k'ossu of 42.8.22 superior in quality and colors brighter. Note stubbiness of coral branches in these Ch'ien Lung robes. Note appearance of an olive green in clouds, eyes of dragons embroidered."
Panel,China,20th Century,Textiles,"Panel with diapered ground embroidered in satin stitch. Design of figures in a landscape of branching trees and flowers. Figures and landscape in needlepoint in shades of blue, green, rust, yellow and pink. Background diaper in chartreuse yellow. Border of Greek key diaper in orange and white bound with a band of gold satin brocade piped with crimson satin. Lining of tan silk of dragon medallion pattern."
Panel,China,18th Century,Textiles,"Panel, embroidered in needlepoint with a diapered ground and interlocking medallions of two sizes containing stylized flowers and various religious and good luck symbols. Shades of blue, green, orange, yellow, red and pearl grey. Narrow binding of yellow satin brocade. Lining of blue silk."
Valance,China,19th Century,Textiles,"Long valance of embroidered pale jade green satin. The design represents an old man and his wife who are being honored on their birthday by various people. The central design is a temple with sacred objects on the altar. Landscape background with trees, trellis, flowers, etc.;chiefly satin stitch. At bottom and ends a narrow border of white satin embroidered with blossoms and good luck symbols, double swastika, etc., in shades of blue and in gold thread and peacock feathers. Inner border of ivory braid with trefoil design in colors. At the bottom, a strip of vari-colored tassels. Lining of coarse pink cotton."
Skirt,China,19th Century,Clothing,"Skirt of green k'ossu, the gored side sections bound with black satin and decorated in the lower area with a design of phoenix, peony, bat and the Eternal Sea in shades of blue, green, yellow, red and pink. Main panels have design of seated, five-clawed dragon in gold; flowers, Buddhist symbols, bats, clouds and the Etenrnal sea in shades of blue, green, red, pink, mauve and olive-green. Main panels and bottom bordered with band of black satin embroidered in satin stitch with floral design in shades of blue. Inner border of narrow orange braid. Lining of thin blue silk. K'ossu skirts are said to be rare."
Throne cushion,China,18th Century,Textiles,"Throne cushion of pinkish-tan satin brocaded with an all-over design of peonies, chrysanthemum, lotus and other flowers and trailing leaves in shades of pink, blue, green, yellow, peach, red and brown. Lining of gold-colored damask with long-life medallions. Cf.42.8.141"
Brocade Panel with Buddhist symbols,China,17th - 18th Century,Textiles,"Strip of pale cafe au lait satin brocade with a dsign of lotus flowers with strings of jewels, and the Eternal Sea pattern below. Shades of blue, green, pink, tan, mulberry, and yellow. Embroidered details. Clouds ? in blue, green, and steel grey. The strip is seamed in the middle so that each end has the Eternal Sea design at the bottom. In the waves appear symbols of the Eight Precious Things. Border of white satin embroidered with Buddhist and other symbols in blues, greens, reds, pink and rust. Border made of pieces seamed together irrespective of design motif. Lightly padded and lined with apricot colored cotton. The brocade much worn in places, but beautiful soft colors remain unaffected."
Panel,China,19th Century,Textiles,"Bed cover of rose satin brocade made up of two widths seamed up the middle. Design of rows of peonies, lotus, butterflies and trailing leaves in shades of blue, green, peach, mulberry, brown and mauve. Wide border of the same set off from main field by a band containing meander and swatika fret bands edged with narrow bands of bat, peach, and flower design. The double mean and fret bands edge the main border at ends. Lined with cotton. Seal inscription. Note. A.P. notes this is style of early 18th century, but may be later."
Manchu Woman's Semiformal Twelve-Symbol Court Robe,China,17th - 18th Century,Clothing,"Imperial 12-symbol robe of Kangxi blue kesiwith nine 5-clawed dragons in gold, those in profile grasping the Heavenly Jewel. Scattered through ground are loose cloud forms, bats, the double peach, swastika, and sprays of flowers. On this robe the twelve symbols, with exception of the sun, moon, constellation, and mountains, appear ont he border, which is formed of a rather narrow area of slanting wavy stripes with rolly waves, clouds, and Buddhist and Daoist symbols. A similar border in miniature at elbows where sleeves continue with a wide band of wave and earthe designs embroidered on poor quality blue sild, and end in an embroidered cuff edged all around with band of modern gold and black brocade. Collar and front band of dark blue kesi edged with same gold and black brocade. The disposition of the twelve ancient symbols is thought to indicate an early practice. On front border appear the phoenix, dragons, and the cups; dragons, phoenix, and cups with some painting. On back border are the fire, water, weed, millet, the axe. Coat slit at sides and lined with thin blue silk. Kesi worn and patched. Color appears faded in spots, but may be soiled."
Throne Seat Cushion,China,18th Century,Textiles,"Throne seat cushion of dark blue satin brocade. Square center panel with diapered background and large floral medallion in center. Diapers encased with single tight clouds, and each contains a stylized flower or symbol. Wider border of peonies, chrysanthemums and trailing leaves.(Cf.42.8.140). Colors pinks, blues, greens, tan, yellow, mulberry. Outer narrow border of floral sprays is boxed to fit over throne cushion. Lining of Imperial yellow satin."
Throne-back Cover,China,18th Century,Textiles,"Shaped Throne-back cover of imperial yellow satin brocade. Central medallion with large five-clawed dragon in blue and gold. Surrounding this motif, on a diapered ground of large and small, shaped, flowered medallions, four five-clawed dragons in profile, also in blue and gold threads. Other colors include green, pink, mauve and red. The sides of the cover are deeply boxed to fit cushion. Lining of gold colored damask with large cloud design. Inscription."
Altar Frontal,China,18th Century,Textiles,"Altar Frontal of rust-red brocade. Five four-clawed dragons, one large one in center, in gold. Field of loose clouds and bats gripping symbols in shades of blue, green, pink and peach. Below, the Eternal Sea with branches of Coral in the curling waves. Border of the satin brocaded with running design of flowers, bats and symbols. Across the top a loose strip of green satin brocade with a design of bats, clouds, sacred vessels, plum blossoms, narcissus, and Taoist symbols. Border of the green satin with design of running flowers and synbols. Linings of thin yellow damask and orange silk. Compare Eternal Sea area with that on K'ang-Hsi robes. For a similar altar frontal see London Ill. News, November 30,1935, p.988"
Woman's Quasi-Official Robe,China,19th Century,Clothing,"Outer coat of blue, diapered k'ossu with narcissus blossoms and green swastikas regularly spaced in ground. Eight 5-clawed dragons in gold; loose clouds, bats, Taoist emblems, and flowers in shades of blue, green, and yellow. Conventional border, with abbreviated strip area, in gold threads. Tight clouds; rolling waves in which appear Buddhist emblems. Below border on sleeve a wide, deep cuff of slanting stripes in gold and black threads. Collar band of dark blue k'ossu with dragons, bats, etc. Binding of blue and gold brocade. Lining of thin blue silk. Cf. robes in the 'Before 1835' lot."
Outer Coat,China,18th - 19th Century,Clothing,"Outer coat of deep blue satin embroidered with large peony blossoms, plum blossoms and moth butterflies in shades of red and blue. Border of rolling waves scattered with bats, swastikas, clouds, coral and precious symbols in shades of blue and large peonies in red. Cuffs of medium blue satin embroidered with flower vases and Taoist emblems, and banded with embroidered deep blue satin. Collar band of latter, Lining of yellow silk. The wide sleves indicate a woman's coat. Chiefly satin and knot stitch."
Dragon Robe,China,18th Century,Clothing,"Robe of embroidered dark blue satin. Nine five-clawed dragons in gold. Loose tight-headed clouds, bats, and flowers in shades of blue, green, peach, pink, red, yellow, and tan. Border of rolling clouds, bats, swastikas, and other symbols. Cuffs and collar band embroidered with dragons, bats, clouds, etc. Edging in gold brocade. Chiefly satin and couched stitch. Lining of pale gray floral damask."
Chinese Woman's Unofficial Informal Robe,China,20th Century,Clothing,"Coat of embroidered staw-colored satin. Design of floral sprays and large canopied lantern with long life character. Double sleeve bands of embroidered yellow and embroidered white satin. Collar band and border on bottom and sides of black satin embroidered with flowers. Colors pink, mauve, blue, green, red and orange. Chiefly satin and outline stitch.Wide sleeves. Lining of yellow satin."
