File,_ - accession_number,_ - artist,_ - title,_ - country,_ - dated,_ - description,_ - id,_ - style,_ - classification
116824.json,2013.29.1079.2,Artist: Unknown Japanese,Flower head,Japan,late 19th century,oval form with incised and inlaid designs mimicking sunflower head,http://api.artsmia.org/objects/116824,19th century, Accessories
116841.json,2013.29.1091,Artist: Watanabe Seitei,Seitei's Book of drawings of flowers and birds,Japan,1891,"bound book with colorful images of various and animals including birds, frogs, turtles, and crabs; cover is beige with pale blue flowers and reeds",http://api.artsmia.org/objects/116841,19th century, Books
116843.json,2013.29.1093,Artist: Kitagawa Utamaro,Picture Book: Flowers of Words,Japan,1818,bound book with light blue cover; white cranes and mushroom like figures on front cover; two white flowers on back; contains black and white images of people engaged in various activities with narration,http://api.artsmia.org/objects/116843,19th century, Books
116876.json,"2013.29.1119a,b",Artist: Suemura Shōbun,Reed-like hanging flower basket,Japan,mid 20th century,cone-shaped hanging basket with very open weave; small uneven opening near upper center; tighter weave at base; internal two-tiered cone inside,http://api.artsmia.org/objects/116876,20th century, Bamboo work
116897.json,2013.29.1138,Artist: Okuni Jurō,Flower,Japan,first half 20th century,bronze flower with curving stem; sculpture rests on leaf and arching vine; flower petals curve outward and have large circular cutouts,http://api.artsmia.org/objects/116897,20th century, Metalwork
116904.json,2013.29.1144a-e,Artist: Koma Kyūhaku,Four-case inro showing flowering clover plant,Japan,Early 18th century,five parts; brown background with gold flecks; oval-shaped bush clover foliage; red flowers near bottom and center on opposite side,http://api.artsmia.org/objects/116904,18th century, Accessories
116950.json,"2013.29.118a,b",Artist: Tanabe Chikuunsai,Openwork octagonal flower basket,Japan,early 20th century,"tall, slender deep red/black basket; 4-sided base flairs out into octagonal form near top; open weave with very thin, wiry strands of bamboo that form a star-shaped pattern; woven handle tapers towards center, with looping ornamentation; center lacquered bamboo cylinder with copper lining",http://api.artsmia.org/objects/116950,20th century, Bamboo work
116961.json,"2013.29.119a,b",Artist: Tanabe Chikuunsai,Chinese-Style Flower Basket,Japan,autumn 1921,"hexagonal basket with tapered, round mouth; squarish handle; patterned weaving along top of handle; swirling, elegant supports and decorations along handle; ornate, star-shaped close weaving pattern; carving on supports; large copper lined bamboo cylinder with grate at top",http://api.artsmia.org/objects/116961,20th century, Bamboo work
117114.json,2013.29.1317.1,Artist: Yamamoto Tarō,Blue Sheet and Yellow Flowers [left of a pair],Japan,2008,two-fold screen; seated figure with a staff behind bamboo blind at left; brown umbrella at center; yellow flowers in LRQ; blue sheet in background; gold at top,http://api.artsmia.org/objects/117114,21st century, Paintings
117183.json,"2013.29.162a,b",Artist: Tanabe Chikuunsai II,Senshū-ami Weave Flower Basket,Japan,c. 1935-1945,"flower basket with very wide mouth; dramatically tapering, vertical open woven neck; closed weave body widens below neck, tapering again at base; bamboo cylinder with copper lining",http://api.artsmia.org/objects/117183,20th century, Bamboo work
117187.json,2013.29.166,Artist: Tanabe Chikuunsai II,Tapered senshū-ami weave flower basket,Japan,c. 1935-1945,fine weave basket with raised loop handle; body tapers toward base; weave more open at top section with only vertical strands,http://api.artsmia.org/objects/117187,20th century, Bamboo work
117189.json,2013.29.168,Artist: Tōkōsai,Flower basket,Japan,early 20th century,"oval basket with subtle feet; alternating ridges of open and closed weaving; looping design within inner lip; two curved ""teacup"" like handles",http://api.artsmia.org/objects/117189,20th century, Bamboo work
117208.json,2013.29.181,Artist: Yamamoto Baioku,Flowers and Butterfly,Japan,1838,"horizontally oriented painting of two blossoming pink roses; foliage begins LLC, extends upward with a bud near top center, and horizontally towards LR with the two blossoming roses; black and blue butterfly at top rose; three lines of calligraphy at ULC with two part rectangular seal with rounded edges",http://api.artsmia.org/objects/117208,19th century, Paintings
117281.json,2013.29.237,Artist: Aone Kyūkō,Bird Among the Flowers,Japan,mid 19th century,small songbird perched on blossoming branch with pink blossoms; branch extends from URC to LLC; bird is situated near URC; small inscription along R edge in black ink,http://api.artsmia.org/objects/117281,19th century, Paintings
117359.json,2013.29.3,Artist: Saitō Ippo,Flowers of the Four Seasons,Japan,early 19th century,"from right to left: spring depicted with red camellias and cherry blossoms in upper half, green gentle mounds with some flowers in bottom; two center panels mainly show summer flowers in bottom half--hydrangea, red and white flowers and one large white peony; fifth panel shows blue-violet morning glories at top and at bottom snow covered branches extending from last panel; top left of last screen has large orange and white blossoms and small brown and white blooms",http://api.artsmia.org/objects/117359,19th century, Paintings
117364.json,"2013.29.302a,b",Artist: Unknown Japanese,(Rattan flower basket),Japan,late 19th century,"round, high-sided basket with taper towards bottom; looping, open weave anchored by concentric rings; wide lip with loops; handle with three strips adjoining at top",http://api.artsmia.org/objects/117364,19th century, Bamboo work
117381.json,2013.29.316,Artist: Okada Beisanjin; Artist: Okada Hankō,Rocks and Flowers,Japan,1817,angled gray rock formation at center and portion of rock formation at UL; bright orange and red blossoms overlap; inscription URQ,http://api.artsmia.org/objects/117381,19th century, Paintings
117382.json,2013.29.317,Artist: Yoda Chikkoku; Artist: Yamamoto Suiun; Artist: Yamamoto Shōtō; Artist: Ōkubo Shibutsu; Artist: Magata Dairei; Artist: Kameda Bōsai,Flowers and Poems,Japan,first half 19th century,"four different illustrations of flowers with seals and inscriptions: ULQ, small sprig with leaves and tiny yellow and white buds; yellow hollyhock at URQ; magnolia branch LLQ; violets LRC",http://api.artsmia.org/objects/117382,19th century, Paintings; Calligraphy
117392.json,2013.29.326,Artist: Fukuhara Gogaku,Lotus Flowers in a Basket,Japan,second half 18th century,"tapered gray basket holding green lotus leaves and one large, pink lotus blossom; light pink and green fronds behind",http://api.artsmia.org/objects/117392,18th century, Paintings
117889.json,2013.29.733,Artist: Unknown Japanese,Wedding robe with design of musical instruments and flowers,Japan,20th century,"purple uchikake with koto, biwa, taiko and flower motifs",http://api.artsmia.org/objects/117889,20th century, Clothing
117929.json,2013.29.77.3,Artist: Nakamura Hōchū,Flowers,Japan,early 19th century,white flowers with full leaves,http://api.artsmia.org/objects/117929,19th century, Paintings
117930.json,2013.29.77.2,Artist: Nakamura Hōchū,Flowers,Japan,early 19th century,two stalks with pink blossoms and buds,http://api.artsmia.org/objects/117930,19th century, Paintings
117931.json,2013.29.77.1,Artist: Nakamura Hōchū,Flowers,Japan,early 19th century,cluster of red painted berries at center of grey and green foliage near bottom; watercolor like quality to image; inscription and stamp at upper right; very small image,http://api.artsmia.org/objects/117931,19th century, Paintings
118032.json,"2013.29.854a,b",Artist: Tanabe Chikuunsai,Flower Basket,Japan,early 20th century,"tall, 4-sided basket; flares outward at top, forming wide mouth; 4-pronged handle, woven together at upper center; crisscrossing weave pattern; mountain pattern incised around bottom lip; bamboo inner cylinder",http://api.artsmia.org/objects/118032,20th century, Bamboo work
118105.json,2013.29.908,Artist: Suemura Shōbun,Tall Square Flower Basket with Handle,Japan,mid 20th century,"tall, square basket with open weave; minimal horizontal reinforcements; square bamboo handle; no cylinder in box",http://api.artsmia.org/objects/118105,20th century, Bamboo work
118197.json,2013.29.99,Artist: Kamisaka Sekka,(Gift Cover Cloth with Lotus Flower Decoration),Japan,1910s-1920s,square white cloth with white lotus painted with grey ink; gold details; black lotus leaf behind flower with gold detail; pink tassels at corners,http://api.artsmia.org/objects/118197,20th century, Textiles
118221.json,"2013.30.18a,b",Artist: Tanabe Chikuunsai,Yūdon-style flower basket,Japan,early 20th century,"bulbous, closely woven flower basket; center decorative band of open weaving in grid like pattern; bottom and top bands of open weave in crisscross pattern; tall handle with square-patterned weave that ends in two-pronged forks in basket interior; center lacquered bamboo cylinder",http://api.artsmia.org/objects/118221,20th century, Bamboo work
118229.json,"2013.30.24a,b",Artist: Tanabe Chikuunsai,Woven banana leaf yūdon-style flower basket,Japan,early 20th century,"round, closely woven horizontal chevron pattern; widening from base, narrowing slightly at top; bulbous shape; diamond pattern on bottom of interior; top lip of basket decorated with bamboo wound with decorative rosette rattan knots; handle is made of three bent pieces of bamboo secured together with two bands on either side, and three decorative knots at top; anchored by woven arches, forming four prongs on side; inner cylinder is large bamboo stained reddish brown with copper lining",http://api.artsmia.org/objects/118229,20th century, Bamboo work
118230.json,"2013.30.25a,b",Artist: Tanabe Chikuunsai,Backpack-shaped flower basket,Japan,early 20th century,"open, star-shaped weave with three bands of wider slats through center; four cornered basket with wide, round opening at top; round top wider than square bottom; gracefully curving handle peaks steeply at top; one end of handle is made from a forked, bent bamboo branch and supported by an arching bamboo twig; the other side is supported by a piece of curved bamboo that is wrapped in decorative woven rattan; inner bamboo cylinder with copper lining",http://api.artsmia.org/objects/118230,20th century, Bamboo work
118241.json,2013.30.32,Artist: Tanabe Chikuunsai II,Hanging Flower Basket,Japan,c. 1935-1945,"triangular, pouch-shaped basket with rounded corners; closed weave; dark coloring; hook on back for hanging",http://api.artsmia.org/objects/118241,20th century, Bamboo work
118242.json,"2013.30.33a,b",Artist: Iizuka Rōkansai,Six-sided flower basket with handle,Japan,c. 1927 - 1934,six sided tightly woven basket with raised rectangular handle; inner cylindrical water jar,http://api.artsmia.org/objects/118242,20th century, Bamboo work
118243.json,"2013.30.34a,b",Artist: Morita Chikuami,Chinese-style flower basket,Japan,late 19th century,"diamond-shaped basket with wider base; tiny, intricate weave patterns alternating between open and closed weave; small decorative coils and knots on some patterns; tall handle with ring at center of either side just above basket lip; black lacquered copper lined cylinder",http://api.artsmia.org/objects/118243,19th century, Bamboo work
118268.json,"2013.30.57a,b",Artist: Tanioka Shigeo,Flower Basket,Japan,2003,square basket with rounded corners; square opening at top center with smaller square opening visible through bottom center; bamboo cylinder for flowers,http://api.artsmia.org/objects/118268,21st century, Bamboo work
118317.json,"2013.31.130a,b",Artist: Tanaka Kōsai,(Wide-bottomed flower basket of sooted bamboo),Japan,second half 20th century,fan-shaped hanging basket made from thinly cut strips of bent bamboo; narrow mouth at top; oblong bamboo insert,http://api.artsmia.org/objects/118317,20th century, Bamboo work
118319.json,"2013.31.132a,b",Artist: Suemura Shōbun,Quiver-shaped hanging flower basket,Japan,mid 20th century,"open weave basket with decorative knots and braiding at joints; tall handle mounted at back with bottle-shaped design; looping, open weave pattern at top on L and R sides; inner bamboo cylinder with lattice top",http://api.artsmia.org/objects/118319,20th century, Bamboo work
118322.json,2013.31.135,Artist: Nakanishi Kōseki,Joint Work of Birds and Flowers,Japan,c. 1874,"a variety of images and studies of branches, flowers, foliage, birds, butterflies and other insects, as well as aquatic creatures",http://api.artsmia.org/objects/118322,19th century, Paintings; Calligraphy
118340.json,2013.31.144,Artist: Tanabe Chikuunsai II,Gourd-shaped flower basket,Japan,c. 1935-1945,"two-tiered round basket with squat, round shape; closed weave",http://api.artsmia.org/objects/118340,20th century, Bamboo work
118349.json,2013.31.151,Artist: Yonezawa Jirō,(Crescent-shaped flower basket),Japan,early 2000s,"slightly U-shaped, tubular vessel; crisscrossing bands of bamboo, small hole at C for water container; diamond-shaped water container",http://api.artsmia.org/objects/118349,21st century, Bamboo work
118361.json,2013.31.162,Artist: Unknown Japanese,Cicada-shaped Flower Basket,Japan,19th century,"hanging flower basket in shape of open-mouthed cicada; cone-shaped body with concentric half circles on back; chevron patterned close-weave wings; vertical orientation, with mouth opening facing upward",http://api.artsmia.org/objects/118361,19th century, Bamboo work
118362.json,"2013.31.163a,b",Artist: Suemura Shōbun,Ofuroshiki Flower Basket,Japan,mid 20th century,"honey colored basket with three corners folded upward and connected forming a somewhat closed parcel; openwork crisscrossing weave; small, dark lacquered bamboo dish",http://api.artsmia.org/objects/118362,20th century, Bamboo work
118368.json,"2013.31.168a,b",Artist: Matsumoto Hafū,Single strip hanging flower vase,Japan,2006,"U-shaped hanging flower holder made from one wide strip of bent bamboo; decorative knots hold the seams together at top; black lacquered water tube, with U-shaped cut-out",http://api.artsmia.org/objects/118368,21st century, Bamboo work
118371.json,"2013.31.170a,b",Artist: Tanabe Chikuunsai,Cicada-shaped hanging flower basket,Japan,early 20th century,"small woven basket in shape of cicada; open-weave star patterned wings; small bamboo insert in mouth for water; cicada should be oriented vertically, with mouth facing up",http://api.artsmia.org/objects/118371,20th century, Bamboo work
118420.json,"2013.31.25a,b",Artist: Chikukōen,Flower basket,Japan,1920s-1930s,"tall diamond-shaped basket with widened, bulbous bottom; angles sharpen at top; closed weave with loops near top; handle; inner bamboo cylinder",http://api.artsmia.org/objects/118420,20th century, Bamboo work
118427.json,2013.31.30,Artist: Miwata Beizan,Plum Flower calligraphy,Japan,mid 19th century,three character inscription,http://api.artsmia.org/objects/118427,19th century, Calligraphy
118447.json,2013.31.44a-d,Artist: Tanabe Chikuunsai,Hanging Flower Basket of Ryū Rikyō Taste,Japan,early 20th century,"round basket with decorative ring around mouth featuring woven circles and waving line; 2-pronged handle with two decorative knots flanking hook at handle's center; closed weave around bottom half; large, open, star-patterned weave upper half; rich, purple cord with copper hook attaches to basket; copper pan",http://api.artsmia.org/objects/118447,20th century, Bamboo work
118450.json,2013.31.45.3,Artist: Attributed to Yamamoto Shunshō VI,Small Serving Tray with Pink Flower Design,Japan,late 18th century,black lacquer tray with design of pink flowers with heart-shaped leaves,http://api.artsmia.org/objects/118450,18th century, Lacquer
118451.json,2013.31.45.4,Artist: Attributed to Yamamoto Shunshō VI,Small Serving Tray with Spearflower Design,Japan,late 18th century,black lacquer tray decorated with leafy plant with red berries,http://api.artsmia.org/objects/118451,18th century, Lacquer
118452.json,2013.31.45.5,Artist: Attributed to Yamamoto Shunshō VI,Small Serving Tray with Maiden Flower Design,Japan,late 18th century,black lacquer tray; plant with oblong leaves and delicate flowers with starburst petals lower corner,http://api.artsmia.org/objects/118452,18th century, Lacquer
118469.json,"2013.31.58a,b",Artist: Wada Waichisai,Diamond-shaped flower basket,Japan,late 19th century,"diamond-shaped basket with tall handle covered with many thin vertical strips; vertical weave; decorative weaves along bottom; tall, copper lined cylinder",http://api.artsmia.org/objects/118469,19th century, Bamboo work
118470.json,2013.31.59,Artist: Maeda Chikubōsai,Long Life and Good Fortune Flower Basket,Japan,spring 1934,"bulbous, squat basket with thick, crisscrossing weave; narrow mouth; slightly lopsided handle made from three bamboo sticks of varying thickness woven together with decorative knots; one side of handle has irregular twig",http://api.artsmia.org/objects/118470,20th century, Bamboo work
118481.json,"2013.31.67a,b",Artist: Sakaguchi Sōunsai,Hanging flower basket,Japan,mid 20th century,vertically oriented rectangular basket; square base widening to larger square mouth; low handle nearly flush with top made of one thick piece of bamboo with woven hook at center; vertical weave pattern; copper lined bamboo cylinder,http://api.artsmia.org/objects/118481,20th century, Bamboo work
118483.json,"2013.31.69a,b",Artist: Maeda Chikubōsai,Footed Flower Basket,Japan,autumn 1929,square basket with short feet; flares towards top; round mouth; crisscrossing open weave; copper lined bamboo cylinder,http://api.artsmia.org/objects/118483,20th century, Bamboo work
118488.json,"2013.31.72a,b",Artist: Chikusansai,"Narrow, oval flower basket",Japan,second half 19th century,"narrow oval basket with rectangular base; bowed sides; open weave with bamboo supports; shorter bamboo supports near top; organic, curving handle; bamboo cylinder mounted to flat base",http://api.artsmia.org/objects/118488,19th century, Bamboo work
118490.json,"2013.31.74a,b",Artist: Maeda Chikubōsai,(Boat-shaped flower basket),Japan,first half 20th century,"long, flat, boat-shaped basket with a four-cornered bottom; closely woven, chevron-patterned weave on sides; two bands at top of closely woven, twisted narrow strips; two wide strips with rosette-shaped knots at edges that form ""feet"" on base; low handle formed from irregularly shaped branches, woven with decorative knots at sides, and three rosettes at top; low, oblong copper tray insert",http://api.artsmia.org/objects/118490,20th century, Bamboo work
118491.json,"2013.31.75a,b",Artist: Tanabe Chikuunsai,Boat-Shaped Hanging Flower Basket,Japan,May 1921,"small oval basket with rectangular base; arcing, split handle with loop at top center; decorative knots across handle; woven external supports, with arcing supports at sides; closed weave; copper lined bamboo cylinder",http://api.artsmia.org/objects/118491,20th century, Bamboo work
118492.json,2013.31.76,Artist: Tanabe Chikuunsai II,Tapered flower basket with arrow shafts,Japan,second half 20th century,"woven basket with square bottom and circular top, predominately brown finish with some vertical elements painted red and gold, or black and gold; handle is a single piece of curved bamboo; smaller, braided arches intersect each handle a few inches above end",http://api.artsmia.org/objects/118492,20th century, Bamboo work
118493.json,2013.31.77,Artist: Suemura Shōbun,Old Man Hanging Flower Basket,Japan,mid 20th century,"cone-shaped hanging basket with vertical, open weave; ends in point with twisted sticks; uneven, scalloped, wide mouth",http://api.artsmia.org/objects/118493,20th century, Bamboo work
118494.json,"2013.31.78a,b",Artist: Maeda Chikubōsai,Eighth-Day Moon Flower Basket,Japan,first half 20th century,"hoop-shaped basket with bulbous body arcing into rounded handle made of one thick piece of bamboo with irregular twigs on either side; openwork weave with diamond pattern; round base; thin, horizontal bar with vertical supports at each opening; squat copper lined bamboo cylinder for flowers",http://api.artsmia.org/objects/118494,20th century, Bamboo work
118495.json,"2013.31.79a,b",Artist: Tanabe Chikuunsai,Round Handled Flower Basket,Japan,early 20th century,"hexagonal basket with bulbous sides; open, star patterned weave; stout handle; large bamboo cylinder",http://api.artsmia.org/objects/118495,20th century, Bamboo work
118500.json,"2013.31.83a,b",Artist: Ishida Chikubisai I,(Hanging lantern-shaped flower basket),Japan,Autumn 1931,"open sided square lantern-shaped basket: four bamboo posts support woven structure with open sides, wide, round opening at top, decorative knots at centers; crisscross woven base; crossing supports with loop for hanging at top; decorative weaving and knots at corners; short, squat bamboo insert for flowers",http://api.artsmia.org/objects/118500,20th century, Bamboo work
118502.json,"2013.31.85a,b",Artist: Maeda Chikubōsai,(Flower basket with handle),Japan,first half 20th century,"short, squat, crescent-shaped flower basket with low dipping front and back; open, crisscross weave with closely woven horizontal elements; handle made of three nearly symmetrical, crooked bamboo branches that come to a steep peak in the middle; oblong, deep copper flower tray in center",http://api.artsmia.org/objects/118502,20th century, Bamboo work
118686.json,2013.29.1317.2,Artist: Yamamoto Tarō,Blue Sheet and Yellow Flowers [right of a pair],Japan,2008,"two-fold screen; hanging blue sheet at left; white cloth on wire hanger, ULQ; some yellow flowers at bottom edge; gold at right, with white form in URC",http://api.artsmia.org/objects/118686,21st century, Paintings
118714.json,2013.63.41,Calligrapher: Tagami Kikusha,Flowers of the Four Seasons,Japan,18th-19th century,"short vertical lines of connected (like cursive) characters--20 lines total; small red seal, URC; two small red seals, LLC",http://api.artsmia.org/objects/118714,18th-19th century, Calligraphy
119021.json,2014.14.1,Artist: Li Jin,There is a Flower in my Family,China,2013,"standing woman at left wearing a long-sleeved red blouse and blue pants; seated bearded man with full face at center wearing a grey Asian-style jacket and white pants; man rests his PL elbow on a table with chopsticks, fish on a plate, bowl and flask; plant with red flower and left edge; green shaded ceiling light fixture hanging at top of image between man and woman's heads; tan paper",http://api.artsmia.org/objects/119021,21st century, Paintings; Works on Paper
119101.json,2017.139.5,Artist: Ichino Masahiko,Tanba red-clay flower vase,Japan,2011,"low, bulbous bowl with shallow interior; rim is higher on two sides; rust and red/orange in color",http://api.artsmia.org/objects/119101,21st century, Ceramics
119240.json,2014.41.10.1,Artist: Unknown Japanese,(Narrow-necked Vase with Flowers and Birds on Black Ground),Japan,late 19th-early 20th century,"square body shape; short neck with flaring mouth rim; black ground with chrysanthemum, hydrangea, smaller red flowers and flying bird at left side; tiny purple flowers on back, one of a pair",http://api.artsmia.org/objects/119240,19th-20th century, Metalwork
119241.json,2014.41.10.2,Artist: Unknown Japanese,(Narrow-necked Vase with Flowers and Birds on Black Ground),Japan,late 19th-early 20th century,"square body shape; short neck with flaring mouth rim; black ground with chrysanthemum, hydrangea, smaller red flowers and flying bird at right side; tiny purple flowers on back, one of a pair",http://api.artsmia.org/objects/119241,19th-20th century, Metalwork
120160.json,"2014.111a,b",Artist: Wada Seijiku,Flower basket with annular pattern,Japan,1970s-1980s,"straight sides; rounded at bottom with ring foot; wide inward-flaring rim; open wall between inner vertical strips of bamboo and outer woven bamboo, with some strips on outer wall twisted with slightly more golden-colored thin bamboo; black lacquer inner flower container",http://api.artsmia.org/objects/120160,20th century, Bamboo work
120193.json,2014.109.1,Artist: Ōtagaki Rengetsu,Hanging flower vase (hana ike),Japan,mid 19th century,"organic, pod-like shape with vertical ribs overall, with one pointed end and one lobed end; ovoid vertical opening near pointed end with scrolling applied stems and leaves below and around opening; incised text on body; small rectangular hole on side of body opposite ovoid opening; tan with orange undertones",http://api.artsmia.org/objects/120193,19th century, Ceramics
120745.json,X2015.1.1,Artist: Unknown Japanese,Water container for flower basket,Japan,Date Unknown,"squat, wide bamboo water cylinder for flower basket; very dark lacquer",http://api.artsmia.org/objects/120745,," Tools, Equipment and Utilitarian Objects"
120746.json,X2015.1.2,Artist: Unknown Japanese,Water container for flower basket,Japan,Date Unknown,"tall, thin-walled cylinder; dark coloring with deep reddish cast",http://api.artsmia.org/objects/120746,," Tools, Equipment and Utilitarian Objects"
120747.json,X2015.1.3,Artist: Unknown Japanese,Water container for flower basket,Japan,Date Unknown,large bamboo cylinder,http://api.artsmia.org/objects/120747,," Tools, Equipment and Utilitarian Objects"
120748.json,X2015.1.4,Artist: Unknown Japanese,Water container for flower basket,Japan,Date Unknown,"tall, slender cylinder with very dark, glossy, reddish cast; uneven base",http://api.artsmia.org/objects/120748,," Tools, Equipment and Utilitarian Objects"
120749.json,X2015.1.5,Artist: Unknown Japanese,Water container for flower basket,Japan,Date Unknown,un-lacquered and unpainted bamboo cylinder; unevenly cut,http://api.artsmia.org/objects/120749,," Tools, Equipment and Utilitarian Objects"
120750.json,X2015.1.6,Artist: Unknown Japanese,Water container for flower basket,Japan,Date Unknown,copper lined cylinder; lighter reddish brown coloring,http://api.artsmia.org/objects/120750,," Tools, Equipment and Utilitarian Objects"
120751.json,X2015.1.7,Artist: Unknown Japanese,Water container for flower basket,Japan,Date Unknown,dark cylinder with burgundy undertone,http://api.artsmia.org/objects/120751,," Tools, Equipment and Utilitarian Objects"
120752.json,X2015.1.8,Artist: Unknown Japanese,Water container for flower basket,Japan,Date Unknown,"wide, thick-walled bamboo cylinder with lattice top",http://api.artsmia.org/objects/120752,," Tools, Equipment and Utilitarian Objects"
120803.json,2013.29.272c,Artist: Aone Kyūkō,Flower in Bloom,Japan,second half 19th century,pink rose blossom with bud overlapping small pine bough,http://api.artsmia.org/objects/120803,19th century, Paintings
120804.json,2013.29.272d,Artist: Ueno Setsugaku,Three Small Flower Paintings,Japan,second half 19th century,three separate paintings attached to sheet: sprig of violets; delicate yellow flowers with insect; delicate white flowers on long thin stem with grasses extending toward UL,http://api.artsmia.org/objects/120804,19th century, Paintings
120812.json,X2015.1.9,Artist: Unknown Japanese,Water container for flower basket,Japan,Date Unknown,dark lacquered bamboo cylinder; two arches cut out along bottom edge,http://api.artsmia.org/objects/120812,," Tools, Equipment and Utilitarian Objects"
121538.json,2015.37.3,Artist: Unknown Japanese,Bonsai or flower basin made of forty scabbard pieces,Japan,late 19th century,"forty sections of several antique sword scabbards (saya) set about the basin; basin of copper inserted in a wood base with surrounding belts of tiger-striped, ebony-like hardwood; between belts are alternating sections of 19 scabbards made of different materials; handles on each end are the actual knobs (kurigata) to attach a braided cord (sageo) to the scabbard; see Notes for descriptions of each scabbard piece (from exhibition catalogue)",http://api.artsmia.org/objects/121538,19th century," Tools, Equipment and Utilitarian Objects"
122025.json,2015.93.167,Artist: Karl Schrag,"Sunflowers and Moon, from Eldindean Press XVII by XVII",United States,1985,stylized sunflowers; crescent in sky at L; tree forms at R,http://api.artsmia.org/objects/122025,20th century, Prints; Works on Paper
122070.json,2015.79.21,Artist: Unknown Japanese,"Chapter from the Expanded Flower Garland Sutra, one of the “Jingoji Sutras”",Japan,before 1156,"front image of Buddha on lotus pedestal, with four Bodhisattvas around, seated on lotus petals with halos; islands with trees at top; columns of gold inscription following, with scattered red correction marks; ornate lotus leaf decorative pattern on back of frontispiece",http://api.artsmia.org/objects/122070,12th century, Paintings; Calligraphy
122136.json,2015.79.77.1,Artist: Oki Ichiga,Autumn Flowers [left of a pair],Japan,mid 19th century,"cluster of morning glories, with vines, small pink flowers, and grasses; a few insects perched on grasses",http://api.artsmia.org/objects/122136,19th century, Paintings
122137.json,2015.79.77.2,Artist: Oki Ichiga,Autumn Flowers [right of a pair],Japan,mid 19th century,"morning glory vines and leaves interwoven with tiny white flowers, purple, and pink flowers; a few insects exploring the foliage",http://api.artsmia.org/objects/122137,19th century, Paintings
122146.json,2015.79.82,Artist: Tawaraya Sōsetsu,Flowers of Autumn,,first half 17th century,,http://api.artsmia.org/objects/122146,17th century, Paintings
122155.json,2015.79.88,Artist: Suzuki Kiitsu,Flowers and Bird,Japan,18th century,bird walking in water in front of dark blue flowers with rich green foliage; reeds extending toward top of image,http://api.artsmia.org/objects/122155,18th century, Paintings
122223.json,2015.79.149,Artist: Yamamoto Baiitsu,Flowers and Pheasants,Japan,19th century,"colorful pheasant near lower C, walking with head turned dramatically to LL, facing smaller brown bird; stepping between jagged rocks; foliage and pink flowers around rocks",http://api.artsmia.org/objects/122223,19th century, Paintings
122270.json,2015.79.198.1,Artist: Ishikawa Kosai,Flowers [left of a triptych of Kegon Falls and Flowers],Japan,20th century,"painting of a spray of colorful flowers including narcissus with exposed bulbs, pink lotuses; yellow chrysanthemums; trumped-shaped red velvet flower; white chrysanthemums; pink hollyhocks; large yellow mum, and purple flowers",http://api.artsmia.org/objects/122270,20th century, Paintings; Calligraphy
122271.json,2015.79.198.2,Artist: Ishikawa Kosai,Kegon Falls [center of a triptych of Kegon Falls and Flowers],Japan,1902,two narrow waterfalls on either side of one wider waterfall cascading from a billowing rock formation; waterfalls separate over boulders at bottom; inscription written in gold across center of image within fog,http://api.artsmia.org/objects/122271,20th century, Paintings
122272.json,2015.79.198.3,Artist: Ishikawa Kosai,Flowers [right of a triptych of Kegon Falls and Flowers],Japan,1902,"cluster of flowers: blue hydrangea, magenta roses; two white flowers; magenta and purple peonies; red chrysanthemums, and crooked branch of light green, white, and blue blossoms",http://api.artsmia.org/objects/122272,20th century, Paintings; Calligraphy
122311.json,2015.79.219.1,Artist: Shōmeian Rochū,"One Hundred Examples of Kai-Style Flower Arrangements (Kōyō seika hyakuhei zu 甲陽生花百瓶図), vol. 1",Japan,"1774, 5th lunar month",blue cover; inscriptions with images of flowers and plants in vases and hanging containers,http://api.artsmia.org/objects/122311,18th century, Books
122312.json,2015.79.219.2,Artist: Shōmeian Rochū,"One Hundred Examples of Kai-Style Flower Arrangements (Kōyō seika hyakuhei zu 甲陽生花百瓶図), vol. 2",Japan,"1774, 5th lunar month",blue cover; images of flowers in vases and hanging containers,http://api.artsmia.org/objects/122312,18th century, Books
122313.json,2015.79.219.3,Artist: Shōmeian Rochū,"One Hundred Examples of Kai-Style Flower Arrangements (Kōyō seika hyakuhei zu 甲陽生花百瓶図), vol. 3",Japan,"1774, 5th lunar month","book with blue cover; text inside, with a few images of plants in containers near end",http://api.artsmia.org/objects/122313,18th century, Books
122352.json,2015.79.237,Artist: Unknown Japanese,"Fragment from Volume 53 of the Flower Garland Sutra, one of the “Burnt Sutra Fragments”",Japan,c. 744,unsigned; lines of inscription written in silver against indigo blue paper; colorful brown and light green singe marks and tears along bottom,http://api.artsmia.org/objects/122352,8th century, Calligraphy
122411.json,2015.79.297,Artist: Unknown Japanese,Ewer with landscapes and flowers,Japan,c. 1660-1680,"white porcelain ewer with blue underglaze vignettes and scrolling floral patterns; vignettes of men with umbrellas in garden, and two garden scenes with birds; floral pattern on handle; narrow neck, wider body narrow spout",http://api.artsmia.org/objects/122411,17th century, Ceramics
122452.json,2015.79.348,Artist: Kawase Shinobu,Flower vase with flared lotus-shaped mouth,Japan,c. 1996,vase with flared mouth that mimics the shape of a lotus leaf; slightly flared base with narrow body; celadon glaze,http://api.artsmia.org/objects/122452,20th century, Ceramics
122458.json,2015.79.359,Artist: Ogata Kamio,Flower vase,Japan,20th century,beehive shaped vase with diagonal swirling pattern of gray gradient; incised circular lines ring vase; small mouth opening at top,http://api.artsmia.org/objects/122458,20th century, Ceramics
