objectid,accessionnum,title,displaydate,beginyear,endyear,visualbrowsertimespan,medium,attributioninverted,attribution,classification,visualbrowserclassification,wikidataid
72999,1991.114.3.w,Winged Passionflower,1984,1984,1984,1976 to 2000,"drypoint, engraving, and electric tool work on Rives BFK paper (facing _Passiflora_ by Robert Hass)","Dine, Jim",Jim Dine,Print,print,Q74891554
73000,1991.114.3.x,Blue Passionflower,1984,1984,1984,1976 to 2000,"drypoint, engraving, and electric tool work on Rives BFK paper","Dine, Jim",Jim Dine,Print,print,Q74891559
73001,1991.114.3.y,Quadrangular Passionflower,1984,1984,1984,1976 to 2000,"drypoint, engraving, and electric tool work on Rives BFK paper","Dine, Jim",Jim Dine,Print,print,Q74891565
73238,1991.116.218.12,Beautiful and white flowers,1966,1966,1966,1951 to 1975,etching and aquatint in black on Hevisier Art Drawing paper by H.V. Seir Limited,"Hockney, David",David Hockney,Print,print,Q74893179
73889,1991.189.2,Flower I,1981,1981,1981,1976 to 2000,color lithograph on wove paper,"Mitchell, Joan",Joan Mitchell,Print,print,Q74895995
74297,1991.232.5,The Flower Girl (vol.I),published 1905,1905,1905,1901 to 1925,1 vol: ill: 3 etchings and 1 photogravure,"de Kock, Charles Paul (author) and John Sloan",Charles Paul de Kock (author) and John Sloan,Print,volume,
74298,1991.232.6,The Flower Girl (vol.II),published 1905,1905,1905,1901 to 1925,1 vol: ill: 4 etchings,"de Kock, Charles Paul (author) and John Sloan",Charles Paul de Kock (author) and John Sloan,Print,volume,
75873,1995.52.5,Flowers on a Windowsill,before 1959,1959,1959,1951 to 1975,graphite on tracing paper,"Bemelmans, Ludwig",Ludwig Bemelmans,Drawing,drawing,Q64594325
75978,1995.52.63,Vase of Flowers,,1881,1963,1876 to 1900,graphite on wove paper,"Hale, Lilian Westcott",Lilian Westcott Hale,Drawing,drawing,Q64593051
76008,1995.52.66.aa,Study of a Tree and Flowers,1932/1936,1932,1936,1926 to 1950,graphite on wove paper,"Hale, Lilian Westcott",Lilian Westcott Hale,Drawing,drawing,Q64593080
76209,1992.51.3,Vase of Flowers in a Niche,"mid 18th century, reworked in 20th century",1725,1992,1701 to 1725,oil on panel,"Bosschaert, Abraham, Imitator of",Imitator of Abraham Bosschaert,Painting,painting,Q20177823
76442,1996.56.66,Still Life with Pitcher and Flowers,1974,1974,1974,1951 to 1975,color lithograph and screenprint on Rives BFK paper,"Lichtenstein, Roy",Roy Lichtenstein,Print,print,Q75119510
76675,1992.99.1.ddd,Fiorer (Flower Seller),published 1753,1753,1753,1751 to 1775,engraving and etching on laid paper,"Zompini, Gaetano",Gaetano Zompini,Print,print,Q75119972
77306,1991.205.93,Through the Flower 1,1972,1972,1972,1951 to 1975,color lithograph on wove paper,"Chicago, Judy",Judy Chicago,Print,print,Q75120554
77307,1991.205.94,Through the Flower 2,1972,1972,1972,1951 to 1975,color lithograph on wove paper,"Chicago, Judy",Judy Chicago,Print,print,Q75120556
77308,1991.205.95,Through the Flower 3,1972,1972,1972,1951 to 1975,color lithograph on wove paper,"Chicago, Judy",Judy Chicago,Print,print,Q75120560
77309,1991.205.96,Through the Flower Twice,1972,1972,1972,1951 to 1975,color lithograph on wove paper,"Chicago, Judy",Judy Chicago,Print,print,Q75120562
77311,1991.205.98,Through the Flower 4,1972,1972,1972,1951 to 1975,color lithograph on wove paper,"Chicago, Judy",Judy Chicago,Print,print,Q75120573
77314,1991.205.93-98,Through the Flower,published 1972,1972,1972,1951 to 1975,"portfolio of six color lithographs on wove paper with one additional color lithograph as the title page, and colophon page","Chicago, Judy",Judy Chicago,Print,portfolio,
78138,1994.17.6,Upside Down Flowers,1976,1976,1976,1976 to 2000,charcoal on laid paper,"Borofsky, Jonathan",Jonathan Borofsky,Drawing,drawing,Q64584514
78942,1994.37.461,Cactus flowers,1941-1945,1941,1945,1926 to 1950,gelatin silver print,"Frank, Robert",Robert Frank,Photograph,photograph,Q64161348
81102,1996.147.11,Yellow Flower--Like a Dog,1992,1992,1992,1976 to 2000,2 gelatin silver prints,"Frank, Robert",Robert Frank,Photograph,photograph,Q64161417
82354,2000.177.73,Flower Head,1991,1991,1991,1976 to 2000,color etching on Meirat Velasquez wove paper,"Borofsky, Jonathan",Jonathan Borofsky,Print,print,Q75123575
84097,1990.28.175,"Flower vendor, Paris",1951,1951,1951,1951 to 1975,gelatin silver print,"Frank, Robert",Robert Frank,Photograph,photograph,Q64164359
84111,1990.28.189,"Woman with flowers, Paris",1951,1951,1951,1951 to 1975,gelatin silver print,"Frank, Robert",Robert Frank,Photograph,photograph,Q64164373
84126,1990.28.202,"Woman buying flowers, Paris",1951,1951,1951,1951 to 1975,gelatin silver print,"Frank, Robert",Robert Frank,Photograph,photograph,Q64164404
84127,1990.28.203,"Woman buying flowers, Paris",1951,1951,1951,1951 to 1975,gelatin silver print,"Frank, Robert",Robert Frank,Photograph,photograph,Q64164405
84129,1990.28.205,"Woman with flowers, Paris",1951,1951,1951,1951 to 1975,gelatin silver print,"Frank, Robert",Robert Frank,Photograph,photograph,Q64164407
84136,1990.28.212,"Man buying flowers, Paris",1951,1951,1951,1951 to 1975,gelatin silver print,"Frank, Robert",Robert Frank,Photograph,photograph,Q64164414
84137,1990.28.213,"Flower cart, Paris",1951,1951,1951,1951 to 1975,gelatin silver print,"Frank, Robert",Robert Frank,Photograph,photograph,Q64164415
84138,1990.28.214,"Flower cart, Paris",1951,1951,1951,1951 to 1975,gelatin silver print,"Frank, Robert",Robert Frank,Photograph,photograph,Q64164416
84142,1990.28.218,"Flower cart on street, Paris",1951,1951,1951,1951 to 1975,gelatin silver print,"Frank, Robert",Robert Frank,Photograph,photograph,Q64164420
84148,1990.28.224,"Flower cart outside café, Paris",1951,1951,1951,1951 to 1975,gelatin silver print,"Frank, Robert",Robert Frank,Photograph,photograph,Q64164427
84163,1990.28.239,"Woman with flowers on street, Paris",1951,1951,1951,1951 to 1975,gelatin silver print,"Frank, Robert",Robert Frank,Photograph,photograph,Q64164442
84169,1990.28.245,"Flower vendor on street, Paris",1951,1951,1951,1951 to 1975,gelatin silver print,"Frank, Robert",Robert Frank,Photograph,photograph,Q64164448
84170,1990.28.246,"Flower vendor on street, Paris",1951,1951,1951,1951 to 1975,gelatin silver print,"Frank, Robert",Robert Frank,Photograph,photograph,Q64164449
84171,1990.28.247,"Flower vendor on street, Paris",1951,1951,1951,1951 to 1975,gelatin silver print,"Frank, Robert",Robert Frank,Photograph,photograph,Q64164450
84172,1990.28.248,"Sculpture detail and flowers, Paris",1951,1951,1951,1951 to 1975,gelatin silver print,"Frank, Robert",Robert Frank,Photograph,photograph,Q64164451
84184,1990.28.260,"Flower vendor, Paris",1951,1951,1951,1951 to 1975,gelatin silver print,"Frank, Robert",Robert Frank,Photograph,photograph,Q64164464
84189,1990.28.265,"Flower stand, Paris",1951,1951,1951,1951 to 1975,gelatin silver print,"Frank, Robert",Robert Frank,Photograph,photograph,Q64164469
84190,1990.28.266,"Man with child holding flowers, Paris",1951,1951,1951,1951 to 1975,gelatin silver print,"Frank, Robert",Robert Frank,Photograph,photograph,Q64164470
84191,1990.28.267,"Bicyclist passing flower vendor, Paris",1951,1951,1951,1951 to 1975,gelatin silver print,"Frank, Robert",Robert Frank,Photograph,photograph,Q64164471
84192,1990.28.268,"Flowers on sidewalk, Paris",1951,1951,1951,1951 to 1975,gelatin silver print,"Frank, Robert",Robert Frank,Photograph,photograph,Q64164472
84194,1990.28.270,"Hanging flowers in store window, Paris",1951,1951,1951,1951 to 1975,gelatin silver print,"Frank, Robert",Robert Frank,Photograph,photograph,Q64164474
84195,1990.28.271,"Hanging flowers in store window, Paris",1951,1951,1951,1951 to 1975,gelatin silver print,"Frank, Robert",Robert Frank,Photograph,photograph,Q64164475
84208,1990.28.282,"Flower cart in rain, Paris",1951,1951,1951,1951 to 1975,gelatin silver print,"Frank, Robert",Robert Frank,Photograph,photograph,Q64164487
84210,1990.28.284,"Flower vendor in rain, Paris",1951,1951,1951,1951 to 1975,gelatin silver print,"Frank, Robert",Robert Frank,Photograph,photograph,Q64164489
84230,1990.28.304,"Flower vendor, Paris",1951,1951,1951,1951 to 1975,gelatin silver print,"Frank, Robert",Robert Frank,Photograph,photograph,Q64164509
84677,1990.28.812,Boy with flowers--San Francisco,1956,1956,1956,1951 to 1975,gelatin silver print,"Frank, Robert",Robert Frank,Photograph,photograph,Q64164834
84731,1990.28.865,Man holding flowers--San Francisco,1956,1956,1956,1951 to 1975,gelatin silver print,"Frank, Robert",Robert Frank,Photograph,photograph,Q64164889
84825,1990.28.954,"Flower vendor--Reno or Elko, Nevada",1956,1956,1956,1951 to 1975,gelatin silver print,"Frank, Robert",Robert Frank,Photograph,photograph,Q64164980
84870,1990.28.999,"Flowers in window--Butte, Montana",1956,1956,1956,1951 to 1975,gelatin silver print,"Frank, Robert",Robert Frank,Photograph,photograph,Q64165027
86273,1990.28.1210,Flowers on Cadillac hearse--Early New York City 3,1955,1955,1955,1951 to 1975,contact sheet,"Frank, Robert",Robert Frank,Photograph,photograph,Q64162400
86903,1990.28.1831,Flower festival--Spain 1,1952,1952,1952,1951 to 1975,contact sheet,"Frank, Robert",Robert Frank,Photograph,photograph,Q64163165
86904,1990.28.1832,Flower festival--Spain 2,1952,1952,1952,1951 to 1975,contact sheet,"Frank, Robert",Robert Frank,Photograph,photograph,Q64163139
86905,1990.28.1833,Flower festival--Spain 3,1952,1952,1952,1951 to 1975,contact sheet,"Frank, Robert",Robert Frank,Photograph,photograph,Q64163155
86906,1990.28.1834,Flower festival--Spain 4,1952,1952,1952,1951 to 1975,contact sheet,"Frank, Robert",Robert Frank,Photograph,photograph,Q64163147
86907,1990.28.1835,Flower festival--Spain 5,1952,1952,1952,1951 to 1975,contact sheet,"Frank, Robert",Robert Frank,Photograph,photograph,Q64162938
86908,1990.28.1836,Flower festival--Spain 6,1952,1952,1952,1951 to 1975,contact sheet,"Frank, Robert",Robert Frank,Photograph,photograph,Q64163148
121272,2002.50.96.l,Two Flowers,,1865,1927,1851 to 1875,watercolor and graphite,"Masek, Karel Vitezslav",Karel Vitezslav Masek,Drawing,drawing,Q64591825
121273,2002.50.96.m,Dangling Flowers,,1865,1927,1851 to 1875,watercolor and graphite,"Masek, Karel Vitezslav",Karel Vitezslav Masek,Drawing,drawing,Q64591826
121277,2002.50.96.q,Four Flowers,,1865,1927,1851 to 1875,graphite,"Masek, Karel Vitezslav",Karel Vitezslav Masek,Drawing,drawing,Q64591830
89284,1994.37.962,Flowers no number,mid-late 1950s,1954,1959,1951 to 1975,contact sheet,"Frank, Robert",Robert Frank,Photograph,photograph,Q64165856
89285,1994.37.963,Flowers no number,mid-late 1950s,1954,1959,1951 to 1975,contact sheet,"Frank, Robert",Robert Frank,Photograph,photograph,Q64165857
89286,1994.37.964,Flowers no number,mid-late 1950s,1954,1959,1951 to 1975,contact sheet,"Frank, Robert",Robert Frank,Photograph,photograph,Q64165858
89442,1994.37.713,Flowercart--New York City no number,1954,1954,1954,1951 to 1975,contact sheet,"Frank, Robert",Robert Frank,Photograph,photograph,Q64166022
89688,1994.59.28,"Bouquet of Flowers, Vernon",1930/1935,1930,1935,1926 to 1950,watercolor and graphite on smooth wove paper,"Bonnard, Pierre",Pierre Bonnard,Drawing,drawing,Q64619563
92184,2002.152.18,"Woman in Flowered Dress, Promenade des Anglais, Riviera","1934-1937, printed 1976",1934,1937,1926 to 1950,gelatin silver print,"Model, Lisette",Lisette Model,Photograph,photograph,
92733,1996.120.5,Cascading Flowers,1949,1949,1949,1926 to 1950,"metal, wire, and paint","Calder, Alexander",Alexander Calder,Sculpture,sculpture,Q63860630
92735,1996.120.29,"White Flower, Red Flower",1954,1954,1954,1951 to 1975,painted sheet metal,"Calder, Alexander",Alexander Calder,Sculpture,sculpture,Q63860632
93572,1995.85.7.v,Flower,1964-1968,1964,1968,1951 to 1975,green ballpoint pen on tracing paper,"Lozowick, Louis",Louis Lozowick,Drawing,drawing,Q64593473
93574,1995.85.8.a,"Studies of Picture Frames, Head of a Man, and Flower [recto]",c. 1950,1950,1950,1926 to 1950,"graphite, blue ballpoint pen, and colored pencil on wove paper","Lozowick, Louis",Louis Lozowick,Drawing,drawing,Q64593474
93591,1995.85.5.g,Studies of Flowers,1929/1959,1929,1959,1926 to 1950,graphite on wove paper,"Lozowick, Louis",Louis Lozowick,Drawing,drawing,Q64593490
93592,1995.85.5.h,Studies of Flowers,1929/1959,1929,1959,1926 to 1950,graphite on wove paper,"Lozowick, Louis",Louis Lozowick,Drawing,drawing,Q64593491
93620,1995.85.6.z,Shadows of Flowers [verso],1960/1973,1960,1973,1951 to 1975,graphite and blue ballpoint pen on wove paper,"Lozowick, Louis",Louis Lozowick,Drawing,drawing,Q64593521
93622,1995.85.6.bb,Shadows of Flowers,1960/1973,1960,1973,1951 to 1975,graphite on wove paper,"Lozowick, Louis",Louis Lozowick,Drawing,drawing,Q64593524
93817,1995.88.4,Fiori (Flowers),1994,1994,1994,1976 to 2000,watercolor over graphite on wove paper,"Tognoni, Giancarlo",Giancarlo Tognoni,Drawing,drawing,Q64572220
93821,1995.88.7,Piccoli Girasoli (Small Sunflowers),1989,1989,1989,1976 to 2000,etching in black on wove paper,"Tognoni, Giancarlo",Giancarlo Tognoni,Print,print,Q75395066
95974,1996.84.1,Untitled (Cactus Flower),1940s,1940,1950,1926 to 1950,pastel on paperboard,"O'Keeffe, Georgia",Georgia O'Keeffe,Drawing,drawing,Q64571685
96249,1995.85.10.62,Study of a Flower [verso],1939/1945,1939,1945,1926 to 1950,graphite on wove paper,"Lozowick, Louis",Louis Lozowick,Drawing,drawing,Q64593690
96250,1995.85.10.63,Studies of Flowers [recto],1939/1945,1939,1945,1926 to 1950,graphite on wove paper,"Lozowick, Louis",Louis Lozowick,Drawing,drawing,Q64593691
96299,1995.85.10.113,Study of a Flower [recto],1939/1945,1939,1945,1926 to 1950,graphite on wove paper,"Lozowick, Louis",Louis Lozowick,Drawing,drawing,Q64593743
96320,1995.85.10.134,Studies of Flowers,1939/1945,1939,1945,1926 to 1950,graphite on wove paper,"Lozowick, Louis",Louis Lozowick,Drawing,drawing,Q64593764
96321,1995.85.10.135,Branch with Flowers,1939/1945,1939,1945,1926 to 1950,graphite on wove paper,"Lozowick, Louis",Louis Lozowick,Drawing,drawing,Q64593765
96326,1995.85.10.140,Branch with Flowers,1939/1945,1939,1945,1926 to 1950,graphite on wove paper,"Lozowick, Louis",Louis Lozowick,Drawing,drawing,Q64593771
96332,1995.85.10.146,Studies of Flowers [verso],1939/1945,1939,1945,1926 to 1950,graphite on wove paper,"Lozowick, Louis",Louis Lozowick,Drawing,drawing,Q64593777
96338,1995.85.10.152,Flowers and Foliage,1939/1945,1939,1945,1926 to 1950,graphite on wove paper,"Lozowick, Louis",Louis Lozowick,Drawing,drawing,Q64593784
96339,1995.85.10.153,Flowers and Foliage [recto],1939/1945,1939,1945,1926 to 1950,graphite on 2 joined sheets of wove paper,"Lozowick, Louis",Louis Lozowick,Drawing,drawing,Q64593785
96340,1995.85.10.154,"Studies of Reclining Female Nude, Flowers, and Foliage [verso]",1939/1945,1939,1945,1926 to 1950,graphite on wove paper,"Lozowick, Louis",Louis Lozowick,Drawing,drawing,Q64593786
96356,1995.85.10.112,Studies of Flowers,1939/1945,1939,1945,1926 to 1950,graphite on wove paper,"Lozowick, Louis",Louis Lozowick,Drawing,drawing,Q64593802
96374,1995.85.11.q,Flowers and Other Study [recto],1935/1945,1935,1945,1926 to 1950,graphite on wove paper,"Lozowick, Louis",Louis Lozowick,Drawing,drawing,Q64593821
96377,1995.85.11.t,Flowers,1935/1945,1935,1945,1926 to 1950,graphite on wove paper,"Lozowick, Louis",Louis Lozowick,Drawing,drawing,Q64593824
96436,1995.85.12.ll,House and Flower,c. 1970,1970,1970,1951 to 1975,colored pencil on wove paper,"Lozowick, Louis",Louis Lozowick,Drawing,drawing,Q64593886
97848,1996.86.14,Putti with a Lily and other Flowers,1758,1753,1758,1751 to 1775,etching on China paper,"Cochin II, Charles-Nicolas",Charles-Nicolas Cochin II,Print,print,Q75401684
99646,1997.8.145,Flowered Mat for the Joy of Ornament,1982,1982,1982,1976 to 2000,"aquatint, drypoint, and softground etching on Somerset Satin mounted on mat board","Kushner, Robert",Robert Kushner,Print,print,Q75404582
99956,2007.6.73,Sunflower Head Series,1973,1973,1973,1951 to 1975,graphite on tracing paper,"Vollmer, Ruth",Ruth Vollmer,Drawing,drawing,Q64630191
99958,2007.6.74,Sunflower Head Series,1973,1973,1973,1951 to 1975,graphite on tracing paper,"Vollmer, Ruth",Ruth Vollmer,Drawing,drawing,Q64630192
101119,1997.8.126,Black Flowers,1980,1980,1980,1976 to 2000,one from a portfolio of 20 prints: aquatint and drypoint on Arches Satiné Heavyweight paper with rubber-stamped number,"Kushner, Robert",Robert Kushner,Print,print,Q75405197
101890,1997.95.14,Greeting Card (Angel with a Bird and Flowering Tree),1964/1965,1964,1965,1951 to 1975,4-color lithograph on wove paper,"Chagall, Marc",Marc Chagall,Print,print,Q75406422
103893,1996.151.36,Fleurs (Flowers),1895,1895,1895,1876 to 1900,etching and aquatint in green on beige wove paper,"Houdard, Charles-Louis-M.",Charles-Louis-M. Houdard,Print,print,Q75408422
103894,1996.151.43,Fleurs (Flowers),1895,1895,1895,1876 to 1900,"etching and aquatint in yellow, blue, and pink (printed from 3 plates) on laid paper","Houdard, Charles-Louis-M.",Charles-Louis-M. Houdard,Print,print,Q75408426
105240,1998.40.8,To Insert: Person and Ladder (Red) / Hose / Smoke; Flowers and Plates (Blue Hope),1991,1991,1991,1976 to 2000,color photogravure with aquatint and spitbite on Somerset wove paper,"Baldessari, John",John Baldessari,Print,print,Q75412588
105643,1998.40.471,Sunflower,1986,1986,1986,1976 to 2000,color woodcut on Echizen-Mashi paper,"Steir, Pat",Pat Steir,Print,print,Q75415976
105670,1998.40.476,"Cut Flowers, Unexpected",1989,1989,1989,1976 to 2000,color woodcut on Echizen Kozo paper,"True, David",David True,Print,print,Q75416353
109168,1999.82.3.53,Vase of Flowers,1938,1938,1938,1926 to 1950,graphite on wove paper,"Kainen, Jacob",Jacob Kainen,Drawing,drawing,Q64579590
109766,1999.43.1,Le Tournesol (The Sunflower),c. 1920,1920,1920,1901 to 1925,tempera and oil on canvas,"Steichen, Edward",Edward Steichen,Painting,painting,Q20192303
109913,1999.97.1,A Flower in the Forest,1997,1997,1997,1976 to 2000,four-color lithograph on Rives BFK paper,"Bourgeois, Louise",Louise Bourgeois,Print,print,Q75423743
117246,2002.111.5,Black Flower Hand,1997,1950,2002,1926 to 1950,2-color screenprint on copper plate with patina,"Dill, Lesley",Lesley Dill,Print,print,Q76347376
119897,2002.98.104,Pipe and Flowers,1926,1926,1926,1926 to 1950,lithograph in black on wove paper,"Gág, Wanda",Wanda Gág,Print,print,Q76359710
119937,2002.98.134,The Flowered Toque,1919,1919,1919,1901 to 1925,etching,"John, Augustus",Augustus John,Print,print,Q76336368
120638,2002.98.391,Entrance to Rear Tenement where Many Flowers are Made,c. 1908,1908,1908,1901 to 1925,gelatin silver print,"Hine, Lewis",Lewis Hine,Photograph,technical material,Q64157445
120948,2002.98.243,Sunflowers,1956,1956,1956,1951 to 1975,color woodcut on wove paper,"Sanstrom, Robert",Robert Sanstrom,Print,print,Q76356607
121053,2001.112.2,Girl with Flowers,c. 1910,1905,1915,1901 to 1925,gouache on paperboard,"Weber, Max",Max Weber,Drawing,drawing,Q64614256
121101,2020.112.4,"Flower Garden, Kneeling Woman with Hat",1908,1908,1908,1901 to 1925,oil on canvas,"Nolde, Emil",Emil Nolde,Painting,painting,Q108686787
121202,2002.50.50,Nude Reclining beneath Flowers,c. 1923,1923,1923,1901 to 1925,aquatint on cream paper,"Drtikol, Frantisek",Frantisek Drtikol,Print,print,Q76340188
123732,2002.10.8,Omega and the Flower,1908/1909,1908,1909,1901 to 1925,lithograph in black,"Munch, Edvard",Edvard Munch,Print,print,Q76338507
126861,2003.21.1,Woman Sitting in a Coffin with Flowers in Her Hair,,1897,1966,1876 to 1900,black chalk on wove paper,"Roshardt, Walter",Walter Roshardt,Drawing,drawing,Q64634316
127529,2004.30.15,Still Life with Flowers in a Pitcher,1983,1983,1983,1976 to 2000,pastel and conté crayon on brown wove paper,"Segal, George",George Segal,Drawing,drawing,Q64571568
130995,2004.109.45.10,Untitled (Hand and Flower),1967,1967,1967,1951 to 1975,drypoint on pale green paper,Toyen (pseudonym),Toyen (pseudonym),Print,print,Q76359197
131319,2004.149.11,Ms. Minnie with Flowers,1985,1985,1985,1976 to 2000,gelatin silver print,"Cassis, Joan",Joan Cassis,Photograph,photograph,Q64155855
131321,2004.149.5,Gussie on a Bed with Flowers,1987,1987,1987,1976 to 2000,gelatin silver print,"Cassis, Joan",Joan Cassis,Photograph,photograph,Q64155856
131883,2018.44.29,Study: Budding Flower,1976,1976,1976,1976 to 2000,silverpoint on paperboard,"Dinnerstein, Harvey",Harvey Dinnerstein,Drawing,drawing,Q64573348
151091,2008.115.5239,Still Life (Two Vases of Flowers),c. 1940-1941,1935,1945,1926 to 1950,screenprint,"Gottlieb, Harry and Leonard Pytlak",Harry Gottlieb and Leonard Pytlak,Print,print,Q76552866
151092,2008.115.5240,Still Life (Vase of Flowers),c. 1940-1941,1935,1945,1926 to 1950,screenprint,"Pytlak, Leonard",Leonard Pytlak,Print,print,Q76552867
151093,2008.115.5241,Still Life (Vase of Flowers),c. 1940-1941,1935,1945,1926 to 1950,screenprint,"Pytlak, Leonard",Leonard Pytlak,Print,print,Q76552869
133148,2008.134.5,Untitled (Woman with flower in front of head),"July 28, 1940",1930,1950,1926 to 1950,gelatin silver print,American 20th Century,American 20th Century,Photograph,photograph,Q64144110
133218,2008.134.11,Untitled (Man lying on grass holding flowers in front of car),"September 1, 1940",1930,1950,1926 to 1950,gelatin silver print,American 20th Century,American 20th Century,Photograph,photograph,Q64144159
136091,2006.169.8,Fruit and Flowers,c. 1910,1910,1910,1901 to 1925,Autochrome,French 20th Century,French 20th Century,Photograph,photograph,Q64144484
136109,2006.169.26,Etude de fleurs (Flower Study),c. 1910,1910,1910,1901 to 1925,Autochrome in board surround,"Porte, A.",A. Porte,Photograph,photograph,Q64032364
136110,2006.169.25,Etude de fleurs (Flower Study),c. 1910,1910,1910,1901 to 1925,Autochrome in board surround,"Porte, A.",A. Porte,Photograph,photograph,Q64032365
136247,2006.125.13,"Young Girl in Profile, Crowned with Flowers (Jeune Fille de Profil Couronnée de Fleurs)",1944,1944,1944,1926 to 1950,drypoint in black on laid paper,"Picasso, Pablo",Pablo Picasso,Print,print,Q76349308
136325,2006.126.8,Fortín de las Flores (Block-House of Flowers),1967,1967,1967,1951 to 1975,color screenprint with graphite on English Vellum wove graph paper,"Stella, Frank",Frank Stella,Print,print,Q76340170
136490,2015.23.267,Sunflower I,2004,2004,2004,2001 to present,lithograph in black on Somerset Satin wove paper,"Kelly, Ellsworth",Ellsworth Kelly,Print,print,
136491,2015.23.268,Sunflower II,2004,2004,2004,2001 to present,lithograph in black on Rives BFK wove paper,"Kelly, Ellsworth",Ellsworth Kelly,Print,print,
138632,2007.123.1,"Study for ""Le Tournesol (The Sunflower)""",c. 1920,1920,1920,1901 to 1925,tempera and oil on canvas,"Steichen, Edward",Edward Steichen,Painting,painting,Q20192329
139932,2007.141.4,Frau mit Blume (Woman with a Flower),1918,1918,1918,1901 to 1925,woodcut in black on japan paper,"Campendonk, Heinrich",Heinrich Campendonk,Print,print,Q76438976
143318,2008.115.164,Black Flowers,1980,1980,1980,1976 to 2000,etching,"Kushner, Robert",Robert Kushner,Print,print,Q76440341
143658,2009.70.115,A Beggar Girl Selling Flowers to a Woman,,1852,1931,1851 to 1875,black crayon with black and gray wash and touches of watercolor on brown-blue card,"Forain, Jean-Louis",Jean-Louis Forain,Drawing,drawing,Q64581554
143686,2009.70.177,Flowers,c.1968-1970,1917,2002,1901 to 1925,Ripolin enamel on kaolin-coated paperboard,"Nolan, Sidney",Sidney Nolan,Drawing,drawing,Q64631346
144044,2008.115.372,Untitled (Woman with Flowers),c. 1939,1935,1943,1926 to 1950,lithograph,"Dunn, Lucille",Lucille Dunn,Print,print,Q76440730
144933,2008.115.2369,Flowers in Goblet #2,1923,1923,1923,1901 to 1925,lithograph in black on wove paper,"Hartley, Marsden",Marsden Hartley,Print,print,Q76441255
144934,2008.115.4946,Flowers,1970,1970,1970,1951 to 1975,color screenprint on wove paper,"Warhol, Andy",Andy Warhol,Print,print,Q76441256
144935,2008.115.4945-4954,Flowers,1970,1970,1970,1951 to 1975,portfolio of ten screenprints,"Warhol, Andy",Andy Warhol,Print,portfolio,
144936,2008.115.4947,Flowers,1970,1970,1970,1951 to 1975,color screenprint on wove paper,"Warhol, Andy",Andy Warhol,Print,print,Q76441258
144937,2008.115.4948,Flowers,1970,1970,1970,1951 to 1975,color screenprint on wove paper,"Warhol, Andy",Andy Warhol,Print,print,Q76441259
144938,2008.115.4949,Flowers,1970,1970,1970,1951 to 1975,color screenprint on wove paper,"Warhol, Andy",Andy Warhol,Print,print,Q76441260
144939,2008.115.4950,Flowers,1970,1970,1970,1951 to 1975,color screenprint on wove paper,"Warhol, Andy",Andy Warhol,Print,print,Q76441261
144940,2008.115.4951,Flowers,1970,1970,1970,1951 to 1975,color screenprint on wove paper,"Warhol, Andy",Andy Warhol,Print,print,Q76441262
144941,2008.115.4952,Flowers,1970,1970,1970,1951 to 1975,color screenprint on wove paper,"Warhol, Andy",Andy Warhol,Print,print,Q76441264
144942,2008.115.4953,Flowers,1970,1970,1970,1951 to 1975,color screenprint on wove paper,"Warhol, Andy",Andy Warhol,Print,print,Q76441268
144943,2008.115.4954,Flowers,1970,1970,1970,1951 to 1975,color screenprint on wove paper,"Warhol, Andy",Andy Warhol,Print,print,Q76441270
144944,2008.115.4945,Flowers,1970,1970,1970,1951 to 1975,color screenprint on wove paper,"Warhol, Andy",Andy Warhol,Print,print,Q76441271
145048,2008.115.4245,Flower Forms,1954,1954,1954,1951 to 1975,woodcut,"Sanstrom, Robert",Robert Sanstrom,Print,print,Q76441441
145317,2008.115.709,Desert Flower,1965,1965,1965,1951 to 1975,lithograph,"Asawa, Ruth",Ruth Asawa,Print,print,Q76441881
145473,2008.115.687.3,Flower Piece,c. 1939,1935,1943,1926 to 1950,wood engraving,"Billmyer, John Edward",John Edward Billmyer,Print,print,Q76442143
145983,2008.115.3642,Flowers,c. 1930,1930,1930,1926 to 1950,woodcut,"Mullineux, Mary",Mary Mullineux,Print,print,Q76442914
146073,2008.115.4226,Passion Flowers,c. 1945,1945,1945,1926 to 1950,lithograph,"Saltonstall, Elizabeth",Elizabeth Saltonstall,Print,print,Q76443062
146081,2008.115.4074,Untitled (Still Life with Flowers and China Cat),1942,1942,1942,1926 to 1950,lithograph,"Reindel, Edna",Edna Reindel,Print,print,Q76443077
146124,2008.115.2676,Flowers Maxwell Str. Market,1930,1930,1930,1926 to 1950,linocut,"Jacobs, William",William Jacobs,Print,print,Q76443152
146285,2008.115.1108,Sunflowers and Red Barn,c. 1942,1942,1942,1926 to 1950,screenprint,"Burchfield, Charles",Charles Burchfield,Print,print,Q76454418
146354,2008.115.4027-4033,The Flowering Rock,1943,1943,1943,1926 to 1950,portfolio of seven etchings with blue cloth cover,"Racz, André",André Racz,Print,portfolio,
146512,2008.115.3867,Flower Seller,1997,1997,1997,1976 to 2000,etching,"Peck, Bruce",Bruce Peck,Print,print,Q76454844
146873,2008.115.1497,Untitled (Jug with Flowers and Leaves),,1908,1975,1901 to 1925,woodcut,"Dobkin, Alexander",Alexander Dobkin,Print,print,Q76455369
146989,2008.115.2414,Flowers,c. 1936,1936,1936,1926 to 1950,linocut,"Heins, John P.",John P. Heins,Print,print,Q76455570
