Title,Period,Country,Classification,Description
Pasture Rose (Rosa Carolina Corymbosa),19th Century,France,Drawing,"Born in Belgium, Pierre-Joseph Redouté was trained by his father and began a ten-year career as an itinerant artist at age 13. He joined his brother in Paris working on theater sets and decorations, but his true love was flower painting, such as this drawing. Redouté achieved an international reputation for his botanical illustrations and enjoyed a long, successful career."
Parshva,9th Century,Null,Sculpture,"Parshva is the 23rd of the 24 Jinas who achieved liberation. He is the only one who is depicted with a serpent. This sculpture was made for followers of the branch of Jainism called Digambara, who enforce the regulations of total nudity among those actively seeking liberation. The only adornment of his figure is the auspicious symbol on his chest and the wheels of righteousness on his palms. The stark form of thenude body standing in a posture of meditation is masterfully set off from the array of gods and serpent divinities who venerate him. He stands with his feet on a lotus pedestal, but his hierarchically tall form reaches to the heavens, where gods fly to honor him with flower garlands. Three umbrellas over his head indicate his status as a liberated being worthy of worship."
Cleveland Flower,21st Century,United States,Print,
Basket of Anemones,20th Century,France,Painting,"Georges Braque and Pablo Picasso worked closely together in the invention of Cubism from 1908 to 1914. “We were like two mountain climbers roped together,” Braque recalled. They separated when Braque enlisted in the French army at the outbreak of WWI in August 1914. Following a severe head wound and hospitalization, he returned to painting in 1916, but worked alone developing a personal Cubist style concerned with complex spatial constructions, color relationships, and textured surfaces. The flowers and basket in this still life are flattened, pressed tightly against the upright forms in the background, and surrounded by an illusionistic shadow. A decorator’s comb was used to create the wood grain pattern in the tabletop."
Border with Double-Headed Birds and Vases with Vines and Flowers,19th Century,Null,Lace,"Double-headed birds alternating with flowering vases appear on this filet/lacis lace. The pattern repeats horizontally, with organic spirals which burst into the upper and lower registers."
"Virgin and Child with St. John, St. Catherine of Siena and St. Francis",16th Century,Italy,Print,"Printed from four blocks in brown, this chiaroscuro woodcut shows the Virgin and Child flanked by the infant Saint John the Baptist and Saint Francis at right. Saint Catherine of Siena takes place on the left, and holds a flower."
Flower Seller at the Trocadéro,20th Century,France,Print,
"A Mughal Prince, Perhaps Danyal, Holding a Sprig of Flowers",16th Century,Null,Painting,"Prince Danyal (1527–1605), the emperor Akbar’s youngest son, is said to have been his favorite. Danyal served his father as a military officer, leading contingents to the Deccan plateau in southern India, until he succumbed to an untimely death of alcoholism; Akbar himself died later that year. Here, Danyal wears the thumb ring of an archer and grasps a white flower in his hand, recalling his epithet, Nosegay of Fortune’s Spring. In his right hand he holds prayer beads. A sword, knife, and dagger hang from his sash. This early Mughal portrait depicts him as he appeared in his mid-teens."
Large Bowl with Molded Decoration,14th - 15th Century,Null,Ceramics,"The lobed sides of this bowl open like a flower and rise to a solidly molded and pointed rim reminiscent of metalware. The bowl with a thick, shiny, jadelike green glaze was made by potters who mastered techniques to fire vessels of enormous sizes for the export market. Large bowls and plates were primarily shipped to the Middle East where they were used for banquets, in which food was traditionally offered in the center of a seated gathering."
"Noblewoman at a Jharokha Window Holding a Rose, from a Portraits of Women series",18th Century,Null,Painting,The term jaharoka refers to a window where royalty present themselves to the public. Her jharoka is framed with a cusped arch and floral pattern. A carpet is placed over the baluster to mark the importance of the window. This royal woman holds a rose sprig in her right hand and a blossom in her left.
Sake Pourer with Flowers,19th - 20th Century,Japan,Ceramics,This sake pourer with purple thistles and orange peonies shows off Seifū Yohei III’s technique of enamels painted over the glaze.
Peppi's Flowers,20th Century,United States,Textile,"Called Peppi as a child, Joanne Segal Brandford created this ethereal work, influenced by such historic textiles as knotless netted bags of South America and European needle laces. In her words, ""as I became aware of the variety and strength of traditional netting throughout the world, I felt encouraged to continue and expand my own explorations. . . . Recently I have explored ideas of openess/closedness and of spatial ambiguity. Illusion, especially the question of shadow and substance (real/not real), has been of particular interest."" Having taken Dr. Sherman Lee’s first year-long course of Far Eastern art, the donor of Peppi’s Flowers admires this museum, where Peruvian textiles can be displayed along with contemporary fiber art."
Glazed Chintz with Pheasant and Flower Design,19th Century,England,Textile,
Tulips,20th Century,France,Painting,"Henri Matisse, leader of the French Fauves (“Wild Beasts”), advocated the complete liberation of color from natural appearances and reducing formal elements to absolute essentials. “What I dream of,” he wrote, “is an art of balance, purity, and serenity.” In Tulips a vase of flowers floats mysteriously against fields of thinly applied turquoise, aqua, and lavender. While the colorful tulips express a joyful sentiment, the vase rests precariously on a planar shape, perhaps a tabletop. The uncertainty of the vase’s position as it extends over the edge, and whether the tabletop continues to the right through a plane of transparent color, together with the strange black rectangle in the background, inserts a contravening feeling of disquiet and visual tension into the time-honored genre of still-life painting."
Flower,20th Century,Korea,Print,
"Bowl with Poppies, Tree Peony, and Flowering Mimosa",18th Century,Null,Ceramics,"Developments in enamel technology led to new possibilities in polychrome decoration. Pinks appeared, lending their name to the new palette of overglaze colors (famille rose), and the addition of opaque white allowed painters to vary the value of pigments, enhancing the painterly quality of porcelain decoration. As on painted scrolls and album leaves, the image is accompanied with a poem, in this case: ""Branches come alive in the moonlight; Blossoms fill the autumn realms."""
Women enjoying the river at the forest’s edge (recto) and flowering marigold (verso),18th Century,India,Painting,"The image of young women at play, in association with water and the fruiting of trees, such as this mango, has been used in Indian art to signal the idea of prosperity and abundance. Rain clouds approach that will nourish the land. The pairs of women on the banks sample perfumes, and in front of them bowls made of leaves appear to hold jasmine flowers for adorning the hair. One woman smokes a hookah and looks on as two companions frolic in the rivulet. The palace’s white marble buildings are barely indicated in the far distance."
Royal Female Donor,16th Century,Null,Sculpture,"Carrying a lamp in one hand, this female figure draped in finery was probably included as the donor of a sculptural group. She wears a complex headdress consisting of a network of beads and plaques joined together, ending in a bell at her forehead and crowning a long cloth that reaches to her waist. Her position on a lotus flower may indicate the transcendent state she attained as a result of the karmic merit of her donation."
Herbaceous Peony,17th Century,China,Painting,"Yun Shouping came from Piling (modern Changzhou), Jiangsu province, a center of floral, plant, and insect painting. He had joined the anti-Manchu resistance, was briefly imprisoned, and witnessed the death of family members in 1644. Like other artists, Yun Shouping expressed his Ming loyalism in coded pictures. The peony, king of flowers, and a spring garden motif developed new meaning during the Qing dynasty. The inscription indicates that Yun turns the flower into a motif representing the glorious past. The herbaceous peonies here appear somewhat withered and pale, with faint reddish veins running through its broken branches, perhaps a coded message. The inscription reads, An old painting by an anonymous painter of the Northern Song Dynasty has five varieties of flowers painted in the boneless manner. Its colors are so beguiling and beautiful, that even after several hundred years its lead pigments are like new. The skill with which the ink and colors were applied and the subtlety of its composition find no equal among modern followers."
Fragment with Tulip and Flower Design,19th Century,England,Textile,
Seven Wise Women of the Pleasure Quarters,18th Century,Japan,Print,"The courtesan standing at the center of this print holds a writing brush. She is identified by the fan in her left hand, which has a poem signed Hanaōgi, or Flower-Fan."
Covent Garden Labourers,19th Century,England,Photograph,"Covent Garden workers, whose day started before 5 a.m., were divided into job-workers or odd-men—who were paid for each parcel they delivered and thus received little income in the off-seasons—and a much smaller group of salaried workers who were paid year-round to create arrangements and stock and help run the stalls."
Merging Emerging,21st Century,United States,Painting,"After decades of working primarily in a figurative mode, Skuodas turned to pure abstraction only recently. Her art often addresses connections between the spiritual and physical realms; in her words, ""I believe our psyches are linked to the laws which manifest themselves in the formation of a flower, a snowflake, or a seashell.""Befitting its title, the painting's composition is structured, yet openended along its perimeter."
"Equivalent #1, Moon Flower",20th Century,United States,Photograph,
Bed cover with floral medallion pattern,17th - 18th Century,Null,Embroidery,"In the center, a blue and gold bird grasps the curling stem of a trilobed flower. Bright colors and dizzying patterns radiate from this medallion, creating a delicate garden set against a soft white ground. In changing light, the gilt- and silver-wrapped threads animate the entire textile.Techniques for creating metal-wrapped threads were introduced to Indian workshops in the early 1700s by Portuguese merchants, who frequently traded in Indian textiles. However, embroidery techniques have been in use on the subcontinent since ancient times, as evidenced by the discovery of bronze needles and the representation of textiles in sculpture and paintings."
Abstract Flower and Leaf,20th Century,England,Textile,
Supports with Addorsed Figures,15th Century,Null,Sculpture,"These small pillars were part of the multitiered bases of stupas—sacred Buddhist monuments. The figures that faced toward the viewer are four-armed bodhisattvas—beings on the path to perfect enlightenment. The Tibetan syllable carved at the top of the moldings denotes the position where this piece belongs in the series of other small double-sided pillars. The figures on the opposite sides, facing the stupa and unseen by visitors, are figures of four-armed goddesses who make offerings of music or gifts to the stupa. On these examples, one plays a drum; the other holds a lotus.  The figures stand on the center of a lotus flower that emerges from an overflowoing pot of abundance. Such imagery indicates that the faithful veneration of this monument will bring productive and abundant good results."
Cosmetics Box with Chrysanthemums,14th Century,Null,Lacquer,"In China, the chrysanthemum was historically appreciated for its association with the Double Nine Festival and the reclusive life of the poet Tao Yuanming (AD 365-427). In Japan, the 16-petaled chrysanthemum came to symbolize the Japanese imperial family after Emperor Gotoba (1180-1239) chose the motif as his personal emblem, having it applied to his sword and everyday utensils. This box proves that the flower also appeared on lacquer wares as early as the Kamakura period."
Buddhist Vestment (Kesa),20th Century,Null,Garment,Kesa are Buddhist monastic robes that originated in India. The robes are named after the brown or saffron dye originally used in their production. The primary motif on this seven-paneled kesa is a long-tailed bird with a flower in its mouth. This motif was imported from Persia (present-day Iran) through China during the Nara period (710–794)and is interpreted as a positive symbol. The bird delivers happiness in its mouth.
Printed Silk with Flower Design,19th Century,Null,Textile,
Tile- Flower,20th Century,United States,Ceramics,
Flower Holder (Bouquetiere),18th Century,France,Ceramics,
Flower Study,Date Unknown,United States,Drawing,
Plate with Nandi in Center,19th Century,Null,Enamel,"Petal-shaped canopies filled with floral designs and birds encircle an image of Nandi, the white bull mount of the Hindu destroyer god Shiva. Together they form a lotus flower. The birds are individualized species, showing the care of the metalworker to depict nature in all its variety and splendor. The fowl include peacocks, parakeets, bluebirds, and possibly even Indian rollers. To make the birds’ wings and the details on Nandi, the artist used thin gold wire to create cells, called cloisons, that could then be filled with colored glass. Some of the red glass has been lost on the outer rim of the plate."
Studies of Flowers after Nature:  Spray of Flowers,Date Unknown,France,Print,"Crayon manner etching was invented in the 18th century to simulate the texture of chalk drawings, which were very popular at the time. A tool with toothed points of varying thicknesses set at irregular intervals and angles (mattoir) imitated the random character of grains of chalk on textured paper. Etudes de fleurs d’après nature demonstrates how prints propagated floral designs that could be used in the applied arts. Artisans designing textiles or decorating furniture, for instance, were inspired by the compositions found on prints."
Flower Fantasy,20th Century,United States,Print,
Birds and Flowers Textile,20th Century,England,Textile,Familiar designs by Arts and Crafts architect C. F. A. Voysey were still popular in the 1920s. The Cleveland Museum of Art acquired this colorful textile in 1926 from a traveling exhibition of works from the 1925 Paris exposition.
Monk Mending Clothes in the Morning Sun (Chōyō Hotetsuzu),14th Century,Null,Painting,"This painting illustrates the Zen ideal of cultivating one’s spirit through all moments of life, from the mundane to the marvelous. The monk pictured is simply mending his robes, but it is a meditative activity. A “mending clothes” image would typically form a pair with another on the theme of “reading by moonlight.” While the seals on the painting were added at a later date, similar seals appear on other ink figures and bird-and-flower compositions."
Chrysanthemum,20th Century,Netherlands,Painting,"Fascinated by the complex structure of chrysanthemums, Mondrian painted these delicate flowers throughout his career. This single, frontal blossom recalls the stylized chrysanthemums of Japanese prints. Mondrian added the initials and date near the bottom edge sometime after painting the flower. Since he returned to this subject repeatedly, even during his later years, this painting may have been produced as late as 1942, the year Mondrian exhibited it in New York."
Flowers of a Hundred Worlds (Momoyogusa),20th Century,Japan,Drawing,This is the cover for a group of 22 preparatory drawings for Kamisaka Sekka's print series Flowers of a Hundred Worlds.
Mirror,5th Century BCE,Null,Metalwork,"Named for their figured handles, Greek caryatid mirrors may derive from similar types created in ancient Egypt many centuries earlier (like CMA 1983.196). Greek caryatid handles typically take the form of a beautiful, draped woman like this one, whether mortal or divine (perhaps the love goddess Aphrodite). Often, she holds a small offering, here a flower. The small, winged women (Nikai) flanking her are unusual among such mirrors, which often feature Erotes in this position. In antiquity, the unadorned disk would have been highly polished and reflective, and the figure would have stood on an integrated base."
Gooseberries on a Table,18th Century,Netherlands,Painting,"Coorte worked in Middelburg, a wealthy maritime city in the southern part of the Netherlands that fostered a poetic, scientific, and spiritual examination of the natural world. Gooseberries—a modest, local pleasure—could be picked in the wild, although Dutch gardeners in the 1600s were the first to cultivate them to improve their taste. The strong illumination gives the plant a stark grandeur, despite the small scale, and the dark background emphasizes the fruit's delicate translucency. The dessicated flower petals and waxy leaves contrast with the succulent gooseberries, with their skin on the verge of bursting."
Flower Girl,20th Century,Finland,Print,
Flower Study,20th Century,United States,Drawing,
Flower Motifs,Date Unknown,United States,Drawing,
Bowl with Carved Lotus Design,12th - 14 Century,Null,Ceramics,"This pale green–glazed bowl is decorated with a medallion at the center and a lotus motif on the inside and outside walls. China’s increasingly prosperous ceramic industry began exporting green stoneware during the Tang dynasty (618–906) as far as North Africa. Imitations in Korea, Japan, Southeast Asia, and the Middle East are evidence of its popularity and enormous success as export ware."
Flower Vase,19th - 20th Century,Japan,Ceramics,
Flower and Girl,20th Century,Japan,Print,
Writing Box (Suzuribako) with Hydrangea at Night,20th Century,Null,Lacquer,"Japanese writing boxes are designed to hold all the tools for traditional calligraphy, including an inkstone, water dropper, ink cake, and brushes. This box retains its inkstone and water dropper, the latter of which has a design of the sun behind clouds—a contrast to the hydrangea flower in moonlight motif on the box’s lid."
Pair of Potpourri Vases with Covers,18th Century,France,Ceramics,"These vases were created to contain potpourri, a mixture of flowers, herbs, and spices emitting ambient fragrance. This specific function offered a particularly fertile ground for the development of French porcelain, as manufactories experimented with forms, surface ornamentations, and placement of perforations."
"Dish with Dragons, Pomegranates, and Peaches",17th - 18th Century,Null,Ceramics,"Various techniques are applied to the decoration of susancai or ""plain three-color"" ware. The hidden dragons are incised, over which are painted decoration of fruit and flower sprays outlined with black pigment and colored with yellow, green, turquoise, and purplish brown enamels. The ground is filled with ivory enamel over unglazed clay."
"A Woman Charms Snakes in the Wilderness: Asavari Ragini, from a Ragamala",18th Century,Null,Painting,"Wearing a blouse and skirt made of leaves, the heroine retains her jewelry and diaphanous veil. She speaks to a snake, and others approach, charmed by her beauty. The multiple colors used for the rocks add to the otherworldly quality of the scene, and even they seem drawn to her spiritual magnetism."
Tong-Shaped Vase with Flowers and Grasses,20th Century,Japan,Ceramics,"Seifū Yohei III (1851–1914) was a son of the Maruyama school painter Okada Ryōhei (dates unknown). Though he studied painting, he ultimately succeeded his ceramics mentor, Seifū Yohei II (1845–1878), in Kyoto. He distinguished himself as a remarkable porcelain artist, taking Qing dynasty Chinese wares as his inspiration. He experimented widely with new glazing techniques. In 1893, he became the first ceramicist to be appointed as an Imperial Household Artist under a system introduced by the Japanese government in 1890. He produced many works for use in Chinese-style tea gatherings called sencha."
"Two Women Pluck Flowers on a Terrace: Gunakari Ragini, from a Ragamala",17th Century,Null,Painting,"A woman with dark complexion and her fair-skinned companion collect flowers in a white bowl from a plant growing in a golden pot. Two huge yellow bolsters set rakishly on the bed suggest restlessness inside the chamber. A gold box for breath-freshening betel (paan) is on the bed, and golden wine vessels are in the two turrets and on the roof, probably to be drunk while watching for her lover to arrive."
Duvor (Doves),20th Century,Sweden,Textile,"This mid-1900s design harkens back to royal Swedish taste around 1800. The subdued pastel color palette is distinctly Gustavian, referring to the reigns of two Swedish kings named Gustav in the late 1700s. The flower vase is evocative of ceramics produced by the Gustavsberg Porcelain Company in the 1800s and popular among Sweden’s aristocracy."
Flower Study,19th Century,United States,Print,
Flower Vase,20th Century,Japan,Ceramics,
Wind,20th Century,Japan,Ceramics,"Kohyama Yasuhisa is known for his exploration of natural forms. This piece is part of a series examining wind, which he began in the 1980s. Intended for ikebana, the Japanese art of flower arrangement, the vessel was fired in the kiln at Kent State University while Kohyama was in residence at the Cleveland Institute of Art."
Flowers in Blue and Black Striped Vase,20th Century,United States,Drawing,"Baumann loved flowers and made many drawings (exemplified by House and Garden and Hollyhock Garden in this gallery) and several color woodcuts of gardens. He also painted vases of flowers in front of decorative octagonal or oval backgrounds, some of which he then executed as prints. Although, Flowers in Blue and Black Striped Vase was never translated into a color woodcut. Sunny Messengers, with a similar format, was made in 1915.   Sunny Messengers was included in the first exhibition of contemporary American woodblock prints. Organized by Baumann, the show opened at the Art Institute of Chicago in 1916. Color woodcuts were growing in popularity; Baumann’s prints won a gold medal at the Panama Pacific International Exposition in San Francisco in 1915."
Birds and Flowers,15th Century,Japan,Painting,"These two paintings are possibly by Sesshū Tōyō. They once flanked a central scroll with an ink landscape. The unbalanced nature of the compositions, however, suggests they may be images recycled from larger paintings. The one with sweet osmanthus and hibiscus is an autumn scene, the other is a summer scene with daylilies and gardenias. Folding screens often contrast two seasons or depict all four across a single pair of screens. Sesshū’s works were sufficiently prized that repurposing them in fragmentary form to display in an alcove of a luxurious room would not be an unusual choice."
Roller-Printed Cotton with Heron and Flower Design,19th Century,Null,Textile,
Flower Fantasy,Date Unknown,Netherlands,Print,
Flower Stand,Date Unknown,United States,Print,
Roller-Printed Glazed Chintz with Flower and Vase Design,19th Century,Null,Textile,
"Folio 141, from a Kalpa-sutra and Story of Kalakacharya: Text (recto); Monk Holding a Flower Venerated by a Lay disciple (verso)",13th Century,Null,Painting,"Palm leaf was the preferred material for sacred texts before the 1400s in India. The text here was often appended to the Kalpa-sutra, the most sacred book of Jainism. This story concerns the life of a Jain teacher named Kalaka, a prince who developed the ability to work magic after he become a monk, inspired by the teachings of a holy man.The painting on this page shows a monk clad in white, indicating his affiliation with the Shvetambara (“white clad”) branch of Jainism. It is the second to the last page of the manuscript and includes the beginning of the colophon, which contains information about when and where this manuscript was produced."
"Makaras, Phoenixes and Flowers",13th Century,Null,Textile,"Central Asian designers drew from a wide variety of motifs, both imaginary and real. In this silk, rows of soaring phoenixes alternate with rows of makaras. Combining a fish body and tail, wings, and a dragon's head, the makara originated in India as a water creature. With the spread of Buddhism, the motif migrated into the art of Central Asia and, from there, into the art of northern China. In Italy, exotic Central Asian patterns such as this inspired flights of imagination. One such example (seen in the photograph below) shows a creature, strikingly similar to the makara, spewing forth a dragon while a dog walks up its back."
Flower Study,19th Century,United States,Print,
Flower Girl,20th Century,United States,Enamel,
A marbled picture of Rustam catching Rakhsh,17th Century,India,Painting,"This scene depicts the young hero Rustam catching a foal, Rakhsh (meaning “light”), who will be his faithful companion through many adventures. A prophet-like shepherd figure with a staff at the upper left predicts that Rustam will be the savior of Iran. At the top of the page a feline has caught its prey, while a hunter steps on its tail. This extraordinary painting has more applications of marbled colorant than any other known example. Even all the flowers and birds have been articulated through marbling in a feat of registration and control by a master of the technique."
Flower Study,Date Unknown,United States,Drawing,
Flower Study,Date Unknown,United States,Drawing,
Summer Flowers,17th Century,Japan,Painting,"White hydrangea, orange-colored demon’s lantern, and greenbrier vine appear together in this scroll. The artist used the dripping-in (tarashikomi) technique to create a sense of depth and dimension in the leaves of the plants. A carefully controlled brush loaded with a high ratio of water to ink or color is key to the success of this brush method. Gold lines indicate the veins of leaves and the seams of pods."
Silk Sleeve Decoration with Hunters,8th Century,Null,Textile,"This silk sleeve blends technical and stylistic elements that occurred in early Islamic art. The sides of the sleeve are decorated with a lotus flower design, an ancient Egyptian motif that was absorbed into Hellenistic and Byzantine art. The upper panel displays a large medallion composed of leaves and palmettes, common vegetal motifs in Islamic art of this period. Below, the mace-wielding horseman is identified in Coptic inscriptions as Joseph, father of Jesus and saint within the Coptic faith. The image is likely derived from the Byzantine representation of the victorious emperor."
In Blue,20th Century,United States,Textile,"In his work, Jim Hodges reveals qualities of beauty and grace in the most unassuming materials. Through relatively simple acts of manipulation and reappraisal, he invests the man-made with a previously absent level of emotion and authenticity. In Blue is a diaphanous curtain of lush, tropical colors that is both imposing for its monumental scale and delicate in its fragility. Activated by the slightest breeze, its artificial elements ripple with the movement of natural life forms. To create In Blue, Hodges took apart hundreds of silk flowers, flattened and ironed each element, pinned the pieces together, and then carefully hand-sewed them into a scrim."
Lozenge Shaped Dish from Dessert Service: Large Flowered St. John's Wort,19th Century,England,Ceramics,"Each dish is decorated with recognizable plants, the names of which are inscribed on the base in both Latin and English. Identifying the blossoms only became customary in the late 18th century when a single piece of porcelain was decorated with one species, and flowers were represented along with leaves, stems, seed pods, and roots. All of this reflects Carolus Linnaeus’s recent invention of a scientific method to categorize all known flora. The decorations on the Derby factory’s products derive from contemporary English botanical publications. For instance, illustrations in William Curtis’s The Botanical Magazine served as models for the French marigold and nettle-leaved bell flower on the dessert service."
"A Decorated Car in the Flower Market, Calcutta",20th Century,United States,Photograph,
"Jar with Flowers, Rocks and Pheasants",17th - 18th Century,Null,Ceramics,"In the Qing dynasty, art reached a high standard of technical perfection despite a tendency for extravagance and exaggerated ornament. This jar with susancai (plain three-color) decoration uses shades of light green, purple, and yellow, but no red. The vase features a pair of pheasants looking at each other among flowering plants, such as peonies and magnolia. The porcelain painter used fine dark outlines in a more graphic style to delineate motifs, to texture rocks, and depict minute details such as holes in weathered leaves of plants."
Velvet panel with four youths smelling flowers,17th Century,Null,Velvet,"A new style depicting single figures with limited modeling and European artistic influence was spearheaded by the Iranian painter Riza ‘Abbasi and adopted by textile designers in sumptuous brocaded velvets. Even with faded colors, this grand length retains ten colors of velvet pile, a feat that Iranian velvet weavers achieved by skillfully replacing colored pile warp during weaving, and thereby creating the most colorful velvets in the world. Elegant youths dominate the simplified outdoor setting here with diminutive cypresses and silver ponds on a ground originally covered with gold thread. Fashionably dressed young men wear wide-brimmed hats, silver robes, stole-like scarves, and knotted sashes that are symbols of status and rank."
Side Table,17th Century,Null,Furniture,"Long, rectangular tables were often placed against a wall to hold candlestands, flower vases, or incense burners. It was customary to hang ancestor portraits, images of religious figures, or seasonal paintings above the table that would convey auspicious wishes and blessings to the family. The high legs show stylized cloud-shaped spandrels. At each end of the table, between the recessed legs, are carved openwork panels with a lively dragon motif."
Brocade with Lotus Flowers,13th - 14th Century,Null,Textile,"The tradition of brocade weaving in northern China continued after the Mongol conquest. However, the arrival of eastern Iranian craftsmen affected both the design and the structure of the brocades: patterns became symmetrical and paired warps replaced single warps. Both of these modifications can be observed in this example. At the same time, however, the Jin tradition of floating foundation wefts across the back sides of the brocaded areas continued. Brocades such as this may have been woven in Hongzhou (in Hebei province), where weavers from both western Asia and from the former Jin capital, Bianjing, are known to have worked together."
Cloth with Winged and Two-Tailed Animals,17th - 18th Century,Null,Lace,"Strange two-tailed animals accompanied by birds appear on the filet/lacis lace. The compact pattern repeats horizontally, with inserted bands of two-tailed animals confronting birds. The bird motif is also depicted alongside a flower motif on the outer filet/lacis border."
Utopia,20th Century,Belgium,Drawing,"René Magritte was among the leading figures of the Surrealist movement, whose work emphasized dreams, the subconscious, and a break from reason and logic during the early 20th century. Magritte, in particular, often situated realistic imagery within ridiculous or unusual situations in order to question perception. Here, a rose grows on a rocky island amid a vast sea, set against a blue sky filled with large white clouds. By situating the flower within a barren and inhospitable setting, Magritte invites the viewer to question its purpose and survival. Created as World War II came to an end, the enigmatic image could symbolize a new beginning, although Magritte avoided assigning it a specific meaning."
Girl with Flower Pot,20th Century,United States,Photograph,
"Women Worshipping a Shiva Linga: Devagandhari Ragini of Hindol, from a Chamba Ragamala",18th Century,Null,Painting,"Removed from any temple setting, the focus of the scene is on the intensity of the women’s devotions to the Hindu god Shiva in his abstract form of a linga. The figure on the right tosses flower petals on the linga and offers incense in a handheld censer. Her taller companion wearing a yellow blouse holds two lotus flowers in her hands cupped in devotion as she bows reverently."
Standing Buddha,12th Century,Null,Metalwork,"Along with manuscripts, small-scale images of the Buddha could be commissioned by pilgrims or devotees and offered to a monastery in connection with a vow or the consecration of a sacred monument or object. The Buddha stands on a lotus flower that indicates his transcendence above ordinary beings. He is surrounded by flames that communicate his radiance and the intensity of the heat or power he acquired through meditation and discipline. His hands are in the mudra communicating the transmission of the teachings."
Study of a Flower,20th Century,France,Photograph,
Maharana Sangram Singh II (r. 1710–34) Worshipping a Linga Under a Banyan Tree,18th Century,Null,Painting,"The king kneels in worship at an ancient tree shrine on the banks of a lake. Such shrines were often associated with serpent deities, and a four-headed snake painted in gold is wrapped around the linga, the phallic emblem marking the sacred presence of the god Shiva. Flowers, packets of paan (areca nut and sweetmeats wrapped in betel leaf), coconuts, and a flower garland are among the offerings."
A Pair of Decorated Palanquin Hooks and Rings,12th Century,Null,Sculpture,"Hooks, suspension rings, and finials cast in bronze are very common fixtures in Cambodian decorative art. Frequently they served a practical function, such as the present set, used for a palanquin in which a person was carried from place to place. The litter or throne was fastened to the rings which in turn were suspended from the books fixed by bolts to transverse poles carried on the shoulders of the palanquin bearers. Chariots, palanquins, furniture, and harnesses were frequently embellished with various bronze decorations, finials, and fixtures. Those, as a rule, were gilded making the objects they served look very sumptuous. The relief sculpture found on various Khmer monuments, such as Angkor Wat or Bayon for instance, illustrates well the use and context of those bronze implements in ancient Cambodian life. These frequently elaborate bronze fixtures were decorated with motifs generally popular in Cambodian art: such as nagas, garudas, floral, or animal patterns. This pair of hooks and rings, unusually large in size, take on a naga form in the hooks. They are decorated with perforated floral and animal motifs done with great care and precision. The rings, suspended from hooks, are in the form of tri-fold flower stalks with naga motifs repeated at the end of the curved stalks. Such elaborate and huge hooks and rings must have, no doubt, decorated a palanquin of an important individual, possible a ruler himself. Their decoration is typical of the mature Angkor Wat style."
Bodhisattva Avalokiteshvara,7th Century,Null,Sculpture,"This rare image survives from the early phase of Buddhist sculpture in Southeast Asia. Made in what is known as the Pra Khon Chai style, it has the characteristic sensitivity of expression, slender physique, and looped locks of hair. This figure once held a lotus flower in the right hand and flask in the left—identifying features of Avalokiteshvara in this region."
"Virgin and Child with St. John, St. Catherine of Siena and Saint Francis",16th Century,Italy,Print,"Printed from four blocks in light blue, green, and black, this chiaroscuro woodcut shows the Virgin and Child flanked by the infant St. John the Baptist and St. Francis at right. St. Catherine of Siena takes a place on the left and holds a flower."
"Portrait of a Woman near a Fountain, a Rose in Her Hand",17th Century,Netherlands,Drawing,"The Dutch artist Johann Thopas made meticulous drawn portraits of merchants and intellectuals in the Dutch city of Assendelft. His drawn portraits—made faster and for less expense than painted portraits—appealed to middle-class patrons, as did his unique style combining naturalistic likenesses with elaborate background settings. Using a combination of leadpoint and ink, Thopas achieved remarkable tonal subtlety in this image of a well-dressed woman holding a flower in front of an ornate neoclassical garden."
Settee,19th Century,England,Wood,"An art collector, designer, and champion of neoclassicism, Thomas Hope designed this settee for display in his London house. Hope’s design exemplifies the continued interest in neoclassical ornament around 1800 through the use of elaborately carved friezes, a central pediment, and a lavishly gilded surface. In 1807 Hope published Household Furniture and Interior Decoration, featuring descriptions of his renowned collection of antiquities and the interior furnishings from his London house, including this settee. Many architects and cabinetmaking firms took inspiration from Hope’s designs, adapting Greek and Roman forms to create bold expressions of neoclassicism in their architecture and decoration."
Flowers and Grasses,19th Century,Japan,Books,"This album contains six small paintings, each of which takes a different plant as its subject. The paintings include depictions of pomegranates, as well as flowering narcissus and orchid."
Basket of Peonies,19th Century,Japan,Print,"A surimono is a privately commissioned print used to announce or commemorate a special event. This picture celebrates an event in the life of the actor Ichikawa Danjuro VII, whose emblem was the peony. According to Japanese tradition, the peony–one of the flowers of the four seasons–is the flower of summer."
Flower Vase with Floral Scroll,19th - 20th Century,Japan,Ceramics,
Inkstand,19th Century,Null,Jewelry,"This enamel inkstand takes the fanciful form of a pleasure boat, linking the composing of poetry and the writing of calligraphy to the amusement of the senses. The luxurious materials and elegant form also indicate that scribal activities require a certain level of refinement. Cleverly, the enamelist placed a lotus design on the bottom of the vessel; as a flower that floats on water, the bloom represents both the water imaginatively splashing against the underside of the boat and the actual ink swishing inside the bilge. This inkstand was purchased by Cleveland Museum of Art founder Jeptha Homer Wade II (1857–1926) and his wife Ellen Garretson Wade (1857–1917) as they made a tour of India on their own pleasure boat, the Wadena."
Famous Views of Ōmi,17th Century,Null,Painting,"Ōmi is an area around Lake Biwa near Kyoto. The Shinto shrine Hiyoshi Taisha and the Buddhist temple Ishiyamadera are in the upper right and upper left of the composition, respectively. At center is the pilgrimage route, and people in the town before the temple gates. Harvested rice fields at right and cherry blossom trees in flower at left show seasonal change from winter to spring."
